,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,K'Waun Williams,SFO,1,4,0,4,1,0.0,5,4,1,0,0,0,0,0,1
1,Arik Armstead,SFO,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0
2,Nick Bosa,SFO,0,0,0,0,0,1.0,3,3,0,0,3,0,0,0,1
3,Jordan Willis,SFO,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0
4,Azeez Al-Shaair,SFO,0,0,0,0,0,0.5,15,11,4,1,1,0,0,0,1
5,Arden Key,SFO,0,0,0,0,0,0.5,3,0,3,0,1,0,0,0,0
6,D.J. Jones,SFO,0,0,0,0,0,0.0,7,7,0,2,0,0,0,0,1
7,Dontae Johnson,SFO,0,0,0,0,0,0.0,5,3,2,0,0,1,0,0,0
8,Demetrius Flannigan-Fowles,SFO,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
9,Talanoa Hufanga,SFO,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
10,Jaquiski Tartt,SFO,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
11,Jimmie Ward,SFO,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
12,Samson Ebukam,SFO,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
13,Deommodore Lenoir,SFO,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
14,Josh Norman,SFO,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
15,Ambry Thomas,SFO,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
16,Daniel Brunskill,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
17,Jamycal Hasty,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Kyle Juszczyk,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Kentavius Street,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Charlie Woerner,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Emmanuel Moseley,SFO,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
24,Bobby Wagner,SEA,1,3,0,3,1,0.0,9,6,3,0,0,0,0,0,0
25,Quandre Diggs,SEA,1,29,0,29,1,0.0,4,3,1,0,0,0,0,0,0
26,Carlos Dunlap,SEA,0,0,0,0,1,1.0,1,1,0,1,1,0,0,0,0
27,Jordyn Brooks,SEA,0,0,0,0,0,0.0,12,6,6,1,0,0,0,0,0
28,Ryan Neal,SEA,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
29,Jamal Adams,SEA,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
30,Darrell Taylor,SEA,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
31,Poona Ford,SEA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
32,Sidney Jones,SEA,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
33,D.J. Reed,SEA,0,0,0,0,2,0.0,3,1,2,0,0,0,0,0,0
34,Ugo Amadi,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,Nick Bellore,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,1
36,Penny Hart,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,Benson Mayowa,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
38,Blessuan Austin,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Jake Curhan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Rasheem Green,SEA,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
41,Kerry Hyder,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Bryan Mone,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,John Reid,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Jon Rhattigan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Al Woods,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
46,L.J. Collier,SEA,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
47,Will Dissly,SEA,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
48,Travis Homer,SEA,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
49,Ethan Pocic,SEA,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
