,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Jimmy Garoppolo,SFO,20,30,299,2,2,1,5,48,93.6,2,0,0,1,0,0,0,0,0,0,0
1,Elijah Mitchell,SFO,0,0,0,0,0,0,0,0,,22,66,1,9,3,3,18,0,11,0,0
2,George Kittle,SFO,0,0,0,0,0,0,0,0,,1,5,0,5,12,9,181,2,48,0,0
3,Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,55,0,21,0,0
4,Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,13,0,0
5,Trent Sherfield,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,0,9,0,0
6,Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
9,Russell Wilson,SEA,30,37,231,2,1,4,50,33,99.4,3,15,0,12,0,0,0,0,0,1,0
10,Travis Homer,SEA,0,0,0,0,0,0,0,0,,3,80,1,73,5,4,10,0,4,0,0
11,Rashaad Penny,SEA,0,0,0,0,0,0,0,0,,10,35,0,11,1,1,27,0,27,0,0
12,Adrian Peterson,SEA,0,0,0,0,0,0,0,0,,11,16,1,7,0,0,0,0,0,1,0
13,Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,68,1,16,0,0
14,D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,60,0,33,0,0
15,D'Wayne Eskridge,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,35,1,17,0,0
16,Freddie Swain,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,18,0,7,0,0
17,Gerald Everett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,7,0,5,2,2
18,Will Dissly,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,5,0,0
19,Penny Hart,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
