,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Jonathan Taylor,IND,32,143,12,92,2.9,51,1.6,2,16.0
1,Deon Jackson,IND,6,19,2,10,1.7,9,1.5,1,6.0
2,Nyheim Hines,IND,3,24,2,11,3.7,13,4.3,2,1.5
3,Carson Wentz,IND,3,8,1,5,1.7,3,1.0,0,
4,Michael Pittman Jr.,IND,2,33,1,29,14.5,4,2.0,0,
5,Sam Ehlinger,IND,1,-1,,-1,-1.0,0,0.0,0,
6,Zach Pascal,IND,1,12,,10,10.0,2,2.0,0,
8,Rex Burkhead,HOU,8,30,0,22,2.8,8,1.0,0,
9,Royce Freeman,HOU,3,10,0,8,2.7,2,0.7,0,
10,Tyrod Taylor,HOU,3,15,1,8,2.7,7,2.3,1,3.0
11,Davis Mills,HOU,2,11,1,11,5.5,0,0.0,0,
12,Jaylen Samuels,HOU,2,2,,0,0.0,2,1.0,0,
13,Brandin Cooks,HOU,1,16,1,12,12.0,4,4.0,0,
