,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Hakeem Adeniji,G,CIN,76,100%,0,0%,3,10%
1,Trey Hill,C,CIN,76,100%,0,0%,3,10%
2,Isaiah Prince,T,CIN,76,100%,0,0%,3,10%
3,Quinton Spain,G,CIN,76,100%,0,0%,3,10%
4,Jonah Williams,T,CIN,76,100%,0,0%,3,10%
5,Joe Burrow,QB,CIN,76,100%,0,0%,0,0%
6,Ja'Marr Chase,WR,CIN,73,96%,0,0%,0,0%
7,C.J. Uzomah,TE,CIN,66,87%,0,0%,9,30%
8,Tee Higgins,WR,CIN,60,79%,0,0%,0,0%
9,Tyler Boyd,WR,CIN,57,75%,0,0%,0,0%
10,Joe Mixon,RB,CIN,50,66%,0,0%,0,0%
11,Samaje Perine,RB,CIN,26,34%,0,0%,19,63%
12,Drew Sample,TE,CIN,26,34%,0,0%,18,60%
13,Jackson Carman,G,CIN,11,14%,0,0%,3,10%
14,Stanley Morgan Jr.,WR,CIN,5,7%,0,0%,21,70%
15,Trenton Irwin,WR,CIN,5,7%,0,0%,4,13%
16,Mitchell Wilcox,TE,CIN,1,1%,0,0%,21,70%
17,Kevin Huber,P,CIN,1,1%,0,0%,7,23%
18,Vonn Bell,SS,CIN,0,0%,64,100%,6,20%
19,Jessie Bates III,FS,CIN,0,0%,63,99%,6,20%
20,Eli Apple,CB,CIN,0,0%,63,99%,0,0%
21,Germaine Pratt,LB,CIN,0,0%,62,97%,16,53%
22,Sam Hubbard,DE,CIN,0,0%,60,94%,6,20%
23,Mike Hilton,CB,CIN,0,0%,57,89%,0,0%
24,Larry Ogunjobi,DT,CIN,0,0%,51,80%,6,20%
25,D.J. Reader,NT,CIN,0,0%,43,67%,6,20%
26,Trey Hendrickson,DE,CIN,0,0%,41,64%,0,0%
27,Joe Bachie,LB,CIN,0,0%,39,61%,24,80%
28,Chidobe Awuzie,CB,CIN,0,0%,38,59%,3,10%
29,Vernon Hargreaves III,CB,CIN,0,0%,29,45%,4,13%
30,Cameron Sample,DE,CIN,0,0%,23,36%,0,0%
31,B.J. Hill,DT,CIN,0,0%,21,33%,6,20%
32,Logan Wilson,LB,CIN,0,0%,18,28%,4,13%
33,Josh Tupou,NT,CIN,0,0%,17,27%,6,20%
34,Tre Flowers,CB,CIN,0,0%,6,9%,19,63%
35,Ricardo Allen,SS,CIN,0,0%,3,5%,5,17%
36,Wyatt Ray,DE,CIN,0,0%,2,3%,12,40%
37,Jalen Davis,CB,CIN,0,0%,2,3%,7,23%
38,Clay Johnston,LB,CIN,0,0%,1,2%,21,70%
39,Michael Thomas,SS,CIN,0,0%,0,0%,21,70%
40,Evan McPherson,K,CIN,0,0%,0,0%,8,27%
41,Pooka Williams,RB,CIN,0,0%,0,0%,8,27%
42,Trayveon Williams,RB,CIN,0,0%,0,0%,8,27%
43,Clark Harris,LS,CIN,0,0%,0,0%,7,23%
44,Markus Bailey,LB,CIN,0,0%,0,0%,4,13%
0,Rashawn Slater,T,LAC,64,100%,0,0%,6,20%
1,Michael Schofield,G,LAC,64,100%,0,0%,6,20%
2,Storm Norton,T,LAC,64,100%,0,0%,6,20%
3,Matt Feiler,G,LAC,64,100%,0,0%,6,20%
4,Corey Linsley,C,LAC,64,100%,0,0%,0,0%
5,Justin Herbert,QB,LAC,64,100%,0,0%,0,0%
6,Mike Williams,WR,LAC,56,88%,0,0%,0,0%
7,Keenan Allen,WR,LAC,53,83%,0,0%,0,0%
8,Austin Ekeler,RB,LAC,47,73%,0,0%,0,0%
9,Jared Cook,TE,LAC,35,55%,0,0%,0,0%
10,Jalen Guyton,WR,LAC,34,53%,0,0%,5,17%
11,Stephen Anderson,TE,LAC,22,34%,0,0%,21,70%
12,Josh Palmer,WR,LAC,22,34%,0,0%,5,17%
13,Justin Jackson,RB,LAC,16,25%,0,0%,15,50%
14,Donald Parham,TE,LAC,16,25%,0,0%,6,20%
15,Tre' McKitty,TE,LAC,16,25%,0,0%,5,17%
16,Joshua Kelley,RB,LAC,2,3%,0,0%,0,0%
17,Scott Quessenberry,C,LAC,1,2%,0,0%,6,20%
18,Nasir Adderley,FS,LAC,0,0%,76,100%,11,37%
19,Derwin James,FS,LAC,0,0%,74,97%,0,0%
20,Tevaughn Campbell,CB,LAC,0,0%,73,96%,13,43%
21,Michael Davis,CB,LAC,0,0%,72,95%,2,7%
22,Kyzir White,LB,LAC,0,0%,71,93%,3,10%
23,Drue Tranquill,LB,LAC,0,0%,66,87%,9,30%
24,Jerry Tillery,DT,LAC,0,0%,62,81%,1,3%
25,Chris Harris Jr.,CB,LAC,0,0%,61,80%,0,0%
26,Uchenna Nwosu,LB,LAC,0,0%,57,75%,0,0%
27,Kyler Fackrell,LB,LAC,0,0%,51,67%,4,13%
28,Christian Covington,NT,LAC,0,0%,41,54%,3,10%
29,Chris Rumph,LB,LAC,0,0%,31,41%,24,80%
30,Joe Gaziano,DE,LAC,0,0%,30,39%,3,10%
31,Justin Jones,DT,LAC,0,0%,24,32%,2,7%
32,Breiden Fehoko,NT,LAC,0,0%,14,18%,9,30%
33,Joey Bosa,LB,LAC,0,0%,9,12%,0,0%
34,Kenneth Murray,LB,LAC,0,0%,8,11%,0,0%
35,Davontae Harris,CB,LAC,0,0%,6,8%,16,53%
36,Trey Marshall,SS,LAC,0,0%,5,7%,20,67%
37,Nick Niemann,LB,LAC,0,0%,2,3%,24,80%
38,Kemon Hall,CB,LAC,0,0%,2,3%,24,80%
39,Amen Ogbongbemiga,LB,LAC,0,0%,2,3%,21,70%
40,Dustin Hopkins,K,LAC,0,0%,0,0%,14,47%
41,Matt Overton,LS,LAC,0,0%,0,0%,10,33%
42,Ty Long,P,LAC,0,0%,0,0%,10,33%
43,Andre Roberts,WR,LAC,0,0%,0,0%,9,30%
44,Brenden Jaimes,G,LAC,0,0%,0,0%,6,20%
45,Larry Rountree,RB,LAC,0,0%,0,0%,5,17%
