,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Justin Britt,C,HOU,52,100%,0,0%,0,0%
1,Max Scharping,G,HOU,52,100%,0,0%,0,0%
2,Lane Taylor,G,HOU,52,100%,0,0%,0,0%
3,Tytus Howard,T,HOU,52,100%,0,0%,0,0%
4,Charlie Heck,T,HOU,52,100%,0,0%,0,0%
5,Brandin Cooks,WR,HOU,43,83%,0,0%,0,0%
6,Pharaoh Brown,TE,HOU,32,62%,0,0%,1,5%
7,Nico Collins,WR,HOU,32,62%,0,0%,0,0%
8,Chris Conley,WR,HOU,30,58%,0,0%,1,5%
9,Tyrod Taylor,QB,HOU,29,56%,0,0%,0,0%
10,Rex Burkhead,RB,HOU,24,46%,0,0%,0,0%
11,Davis Mills,QB,HOU,23,44%,0,0%,0,0%
12,Royce Freeman,RB,HOU,22,42%,0,0%,6,27%
13,Brevin Jordan,TE,HOU,22,42%,0,0%,0,0%
14,Davion Davis,WR,HOU,20,38%,0,0%,4,18%
15,Antony Auclair,TE,HOU,14,27%,0,0%,8,37%
16,Chris Moore,WR,HOU,13,25%,0,0%,7,32%
17,Jaylen Samuels,RB,HOU,8,15%,0,0%,0,0%
18,Desmond King,CB,HOU,0,0%,64,89%,3,14%
19,Eric Murray,FS,HOU,0,0%,63,88%,3,14%
20,Justin Reid,SS,HOU,0,0%,62,86%,6,27%
21,Kamu Grugier-Hill,LB,HOU,0,0%,62,86%,2,9%
22,Christian Kirksey,LB,HOU,0,0%,62,86%,0,0%
23,Terrance Mitchell,CB,HOU,0,0%,62,86%,0,0%
24,Jacob Martin,DE,HOU,0,0%,56,78%,6,27%
25,Tavierre Thomas,CB,HOU,0,0%,42,58%,16,73%
26,Maliek Collins,DT,HOU,0,0%,41,57%,7,32%
27,Roy Lopez,DT,HOU,0,0%,38,53%,6,27%
28,Jonathan Greenard,DE,HOU,0,0%,38,53%,0,0%
29,Ross Blacklock,DT,HOU,0,0%,34,47%,5,23%
30,Derek Rivers,DE,HOU,0,0%,30,42%,7,32%
31,Jaleel Johnson,DT,HOU,0,0%,30,42%,3,14%
32,Kevin Pierre-Louis,LB,HOU,0,0%,22,31%,19,87%
33,Chris Smith,LB,HOU,0,0%,21,29%,1,5%
34,Garret Wallow,LB,HOU,0,0%,18,25%,16,73%
35,Neville Hewitt,LB,HOU,0,0%,10,14%,21,96%
36,Jonathan Owens,FS,HOU,0,0%,10,14%,14,64%
37,Lonnie Johnson Jr.,CB,HOU,0,0%,10,14%,7,32%
38,A.J. Moore,FS,HOU,0,0%,9,13%,22,101%
39,Jimmy Moreland,CB,HOU,0,0%,8,11%,1,5%
40,Tremon Smith,CB,HOU,0,0%,0,0%,22,101%
41,Eric Wilson,LB,HOU,0,0%,0,0%,13,60%
42,Cameron Johnston,P,HOU,0,0%,0,0%,6,27%
43,Jon Weeks,LS,HOU,0,0%,0,0%,6,27%
44,Ka'imi Fairbairn,K,HOU,0,0%,0,0%,1,5%
0,Danny Pinter,G,IND,72,100%,0,0%,6,27%
1,Braden Smith,T,IND,72,100%,0,0%,0,0%
2,Eric Fisher,T,IND,62,86%,0,0%,6,27%
3,Quenton Nelson,G,IND,62,86%,0,0%,6,27%
4,Carson Wentz,QB,IND,62,86%,0,0%,0,0%
5,Mark Glowinski,G,IND,62,86%,0,0%,0,0%
6,Jonathan Taylor,RB,IND,55,76%,0,0%,0,0%
7,Zach Pascal,WR,IND,54,75%,0,0%,1,5%
8,Michael Pittman Jr.,WR,IND,54,75%,0,0%,0,0%
9,Jack Doyle,TE,IND,42,58%,0,0%,1,5%
10,T.Y. Hilton,WR,IND,32,44%,0,0%,0,0%
11,Mo Alie-Cox,TE,IND,31,43%,0,0%,8,36%
12,Kylen Granson,TE,IND,30,42%,0,0%,0,0%
13,Ashton Dulin,WR,IND,22,31%,0,0%,16,73%
14,Dezmon Patmon,WR,IND,17,24%,0,0%,0,0%
15,Nyheim Hines,RB,IND,14,19%,0,0%,6,27%
16,Matt Pryor,T,IND,11,15%,0,0%,6,27%
17,Chris Reed,G,IND,10,14%,0,0%,6,27%
18,Will Fries,G,IND,10,14%,0,0%,0,0%
19,Sam Ehlinger,QB,IND,10,14%,0,0%,0,0%
20,Deon Jackson,RB,IND,8,11%,0,0%,7,32%
21,Bobby Okereke,LB,IND,0,0%,45,87%,4,18%
22,Kenny Moore,CB,IND,0,0%,45,87%,3,14%
23,Khari Willis,SS,IND,0,0%,45,87%,3,14%
24,Darius Leonard,LB,IND,0,0%,45,87%,0,0%
25,Andrew Sendejo,FS,IND,0,0%,45,87%,0,0%
26,Rock Ya-Sin,CB,IND,0,0%,41,79%,9,41%
27,DeForest Buckner,DT,IND,0,0%,31,60%,6,27%
28,Kwity Paye,DE,IND,0,0%,31,60%,0,0%
29,Xavier Rhodes,CB,IND,0,0%,30,58%,0,0%
30,Al-Quadin Muhammad,DE,IND,0,0%,29,56%,0,0%
31,Taylor Stallworth,DT,IND,0,0%,28,54%,0,0%
32,Grover Stewart,DT,IND,0,0%,26,50%,6,27%
33,Dayo Odeyingbo,DE,IND,0,0%,22,42%,0,0%
34,Isaiah Rodgers,CB,IND,0,0%,20,38%,7,32%
35,Kemoko Turay,DE,IND,0,0%,17,33%,0,0%
36,Zaire Franklin,LB,IND,0,0%,14,27%,16,73%
37,E.J. Speed,LB,IND,0,0%,14,27%,16,73%
38,Isaac Rochell,DE,IND,0,0%,13,25%,0,0%
39,Antwaun Woods,DT,IND,0,0%,10,19%,6,27%
40,George Odum,FS,IND,0,0%,7,13%,16,73%
41,Jahleel Addae,FS,IND,0,0%,7,13%,13,59%
42,T.J. Carrie,CB,IND,0,0%,7,13%,6,27%
43,Jordan Glasgow,LB,IND,0,0%,0,0%,16,73%
44,Matthew Adams,LB,IND,0,0%,0,0%,16,73%
45,Rigoberto Sanchez,P,IND,0,0%,0,0%,15,68%
46,Luke Rhodes,LS,IND,0,0%,0,0%,9,41%
47,Michael Badgley,K,IND,0,0%,0,0%,6,27%
