,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Alijah Vera-Tucker,G,NYJ,59,100%,0,0%,2,8%
1,Morgan Moses,T,NYJ,59,100%,0,0%,2,8%
2,Zach Wilson,QB,NYJ,59,100%,0,0%,0,0%
3,Connor McGovern,C,NYJ,59,100%,0,0%,0,0%
4,George Fant,T,NYJ,59,100%,0,0%,0,0%
5,Elijah Moore,WR,NYJ,51,86%,0,0%,0,0%
6,Jamison Crowder,WR,NYJ,46,78%,0,0%,0,0%
7,Laurent Duvernay-Tardif,G,NYJ,33,56%,0,0%,2,8%
8,Ryan Griffin,TE,NYJ,32,54%,0,0%,12,50%
9,Ty Johnson,RB,NYJ,28,47%,0,0%,8,33%
10,Greg Van Roten,G,NYJ,26,44%,0,0%,2,8%
11,Corey Davis,WR,NYJ,25,42%,0,0%,0,0%
12,Tevin Coleman,RB,NYJ,23,39%,0,0%,0,0%
13,Denzel Mims,WR,NYJ,21,36%,0,0%,0,0%
14,Braxton Berrios,WR,NYJ,19,32%,0,0%,9,38%
15,Jeff Smith,WR,NYJ,15,25%,0,0%,6,25%
16,Kenny Yeboah,TE,NYJ,14,24%,0,0%,10,42%
17,Austin Walter,RB,NYJ,8,14%,0,0%,0,0%
18,Nick Bawden,RB,NYJ,6,10%,0,0%,15,63%
19,Dan Feeney,G,NYJ,5,8%,0,0%,2,8%
20,Daniel Brown,TE,NYJ,2,3%,0,0%,17,71%
21,Javelin Guidry,CB,NYJ,0,0%,71,100%,12,50%
22,Bryce Hall,CB,NYJ,0,0%,71,100%,7,29%
23,C.J. Mosley,LB,NYJ,0,0%,71,100%,7,29%
24,Ashtyn Davis,SS,NYJ,0,0%,71,100%,0,0%
25,Quincy Williams,LB,NYJ,0,0%,68,96%,0,0%
26,Elijah Riley,DB,NYJ,0,0%,63,89%,0,0%
27,Quinnen Williams,NT,NYJ,0,0%,49,69%,6,25%
28,John Franklin-Myers,DE,NYJ,0,0%,45,63%,0,0%
29,Folorunso Fatukasi,DT,NYJ,0,0%,42,59%,1,4%
30,Shaq Lawson,DE,NYJ,0,0%,42,59%,0,0%
31,Michael Carter,CB,NYJ,0,0%,40,56%,0,0%
32,Ronald Blair,DE,NYJ,0,0%,32,45%,7,29%
33,Kyle Phillips,DE,NYJ,0,0%,31,44%,7,29%
34,Isaiah Dunn,CB,NYJ,0,0%,28,39%,1,4%
35,Nathan Shepherd,DT,NYJ,0,0%,24,34%,9,38%
36,Jonathan Marshall,DT,NYJ,0,0%,19,27%,0,0%
37,Jarrad Davis,LB,NYJ,0,0%,6,8%,20,83%
38,Sharrod Neasman,CB,NYJ,0,0%,4,6%,22,92%
39,Jason Pinnock,CB,NYJ,0,0%,4,6%,5,21%
40,Del'Shawn Phillips,LB,NYJ,0,0%,0,0%,22,92%
41,Justin Hardee,CB,NYJ,0,0%,0,0%,22,92%
42,Hamsah Nasirildeen,LB,NYJ,0,0%,0,0%,15,63%
43,Alex Kessman,K,NYJ,0,0%,0,0%,6,25%
44,Braden Mann,P,NYJ,0,0%,0,0%,4,17%
45,Thomas Hennessy,LS,NYJ,0,0%,0,0%,4,17%
0,Jordan Mailata,T,PHI,71,100%,0,0%,7,29%
1,Nate Herbig,G,PHI,71,100%,0,0%,7,29%
2,Gardner Minshew II,QB,PHI,71,100%,0,0%,0,0%
3,Lane Johnson,T,PHI,71,100%,0,0%,0,0%
4,Landon Dickerson,G,PHI,70,99%,0,0%,7,29%
5,Jason Kelce,C,PHI,70,99%,0,0%,0,0%
6,Dallas Goedert,TE,PHI,68,96%,0,0%,0,0%
7,Quez Watkins,WR,PHI,55,77%,0,0%,0,0%
8,Jalen Reagor,WR,PHI,48,68%,0,0%,5,21%
9,DeVonta Smith,WR,PHI,44,62%,0,0%,0,0%
10,Miles Sanders,RB,PHI,41,58%,0,0%,0,0%
11,Jack Stoll,TE,PHI,28,39%,0,0%,14,58%
12,Tyree Jackson,TE,PHI,27,38%,0,0%,15,63%
13,Kenneth Gainwell,RB,PHI,27,38%,0,0%,0,0%
14,JJ Arcega-Whiteside,WR,PHI,14,20%,0,0%,15,63%
15,Boston Scott,RB,PHI,3,4%,0,0%,1,4%
16,Sua Opeta,G,PHI,2,3%,0,0%,7,29%
17,Darius Slay,CB,PHI,0,0%,59,100%,0,0%
18,T.J. Edwards,LB,PHI,0,0%,57,97%,1,4%
19,Alex Singleton,LB,PHI,0,0%,55,93%,3,13%
20,Avonte Maddox,CB,PHI,0,0%,49,83%,8,33%
21,Anthony Harris,FS,PHI,0,0%,48,81%,0,0%
22,Fletcher Cox,DT,PHI,0,0%,44,75%,0,0%
23,Derek Barnett,DE,PHI,0,0%,40,68%,2,8%
24,Rodney McLeod,FS,PHI,0,0%,38,64%,0,0%
25,Javon Hargrave,DT,PHI,0,0%,37,63%,0,0%
26,Marcus Epps,SS,PHI,0,0%,34,58%,17,71%
27,Josh Sweat,DE,PHI,0,0%,34,58%,0,0%
28,Zech McPhearson,CB,PHI,0,0%,33,56%,10,42%
29,Steven Nelson,CB,PHI,0,0%,26,44%,0,0%
30,Hassan Ridgeway,DT,PHI,0,0%,22,37%,9,38%
31,Milton Williams,DT,PHI,0,0%,20,34%,2,8%
32,Ryan Kerrigan,DE,PHI,0,0%,20,34%,0,0%
33,Tarron Jackson,DE,PHI,0,0%,19,32%,2,8%
34,Genard Avery,LB,PHI,0,0%,14,24%,3,13%
35,Andre Chachere,CB,PHI,0,0%,0,0%,17,71%
36,K'Von Wallace,SS,PHI,0,0%,0,0%,17,71%
37,Shaun Bradley,LB,PHI,0,0%,0,0%,17,71%
38,Jake Elliott,K,PHI,0,0%,0,0%,15,63%
39,Jared Mayden,FS,PHI,0,0%,0,0%,14,58%
40,Josiah Scott,CB,PHI,0,0%,0,0%,12,50%
41,Greg Ward,WR,PHI,0,0%,0,0%,9,38%
42,Rick Lovato,LS,PHI,0,0%,0,0%,8,33%
43,Arryn Siposs,P,PHI,0,0%,0,0%,8,33%
44,Andre Dillard,T,PHI,0,0%,0,0%,7,29%
45,Patrick Johnson,LB,PHI,0,0%,0,0%,5,21%
