,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Kolton Miller,T,LVR,59,100%,0,0%,3,13%
1,Alex Leatherwood,T,LVR,59,100%,0,0%,3,13%
2,John Simpson,G,LVR,59,100%,0,0%,3,13%
3,Brandon Parker,T,LVR,59,100%,0,0%,3,13%
4,Derek Carr,QB,LVR,59,100%,0,0%,0,0%
5,Andre James,C,LVR,59,100%,0,0%,0,0%
6,Hunter Renfrow,WR,LVR,54,92%,0,0%,4,17%
7,Zay Jones,WR,LVR,51,86%,0,0%,0,0%
8,Foster Moreau,TE,LVR,50,85%,0,0%,7,30%
9,Josh Jacobs,RB,LVR,50,85%,0,0%,0,0%
10,Bryan Edwards,WR,LVR,40,68%,0,0%,0,0%
11,DeSean Jackson,WR,LVR,24,41%,0,0%,0,0%
12,Kenyan Drake,RB,LVR,7,12%,0,0%,1,4%
13,Sutton Smith,FB,LVR,6,10%,0,0%,9,39%
14,Peyton Barber,RB,LVR,5,8%,0,0%,3,13%
15,Jackson Barton,T,LVR,3,5%,0,0%,0,0%
16,Daniel Helm,TE,LVR,2,3%,0,0%,11,48%
17,Marcus Mariota,QB,LVR,2,3%,0,0%,0,0%
18,Nick Martin,C,LVR,1,2%,0,0%,3,13%
19,Trevon Moehrig,FS,LVR,0,0%,67,100%,12,52%
20,Brandon Facyson,CB,LVR,0,0%,67,100%,8,35%
21,Johnathan Abram,SS,LVR,0,0%,67,100%,4,17%
22,Casey Hayward,CB,LVR,0,0%,67,100%,0,0%
23,Maxx Crosby,DE,LVR,0,0%,60,90%,3,13%
24,Yannick Ngakoue,DE,LVR,0,0%,54,81%,0,0%
25,Nate Hobbs,CB,LVR,0,0%,49,73%,8,35%
26,Denzel Perryman,LB,LVR,0,0%,47,70%,0,0%
27,Quinton Jefferson,DT,LVR,0,0%,45,67%,3,13%
28,Divine Deablo,LB,LVR,0,0%,38,57%,17,74%
29,Johnathan Hankins,NT,LVR,0,0%,37,55%,2,9%
30,K.J. Wright,LB,LVR,0,0%,35,52%,0,0%
31,Solomon Thomas,DT,LVR,0,0%,33,49%,3,13%
32,Cory Littleton,LB,LVR,0,0%,23,34%,12,52%
33,Damion Square,NT,LVR,0,0%,17,25%,1,4%
34,Clelin Ferrell,DE,LVR,0,0%,13,19%,8,35%
35,Dallin Leavitt,FS,LVR,0,0%,8,12%,20,87%
36,Malcolm Koonce,DE,LVR,0,0%,7,10%,4,17%
37,Marquel Lee,LB,LVR,0,0%,3,4%,19,83%
38,Keisean Nixon,CB,LVR,0,0%,0,0%,17,74%
39,Roderic Teamer,CB,LVR,0,0%,0,0%,17,74%
40,Nick Kwiatkoski,LB,LVR,0,0%,0,0%,8,35%
41,Daniel Carlson,K,LVR,0,0%,0,0%,8,35%
42,Matt Bushman,TE,LVR,0,0%,0,0%,8,35%
43,AJ Cole III,P,LVR,0,0%,0,0%,7,30%
44,Carson Tinker,LS,LVR,0,0%,0,0%,7,30%
45,Dillon Stoner,WR,LVR,0,0%,0,0%,4,17%
46,Jordan Simmons,G,LVR,0,0%,0,0%,3,13%
