,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Rob Havenstein,T,LAR,68,100%,0,0%,7,27%
1,Austin Corbett,G,LAR,68,100%,0,0%,7,27%
2,Coleman Shelton,G,LAR,67,99%,0,0%,7,27%
3,Sony Michel,RB,LAR,66,97%,0,0%,0,0%
4,David Edwards,G,LAR,64,94%,0,0%,5,19%
5,Cooper Kupp,WR,LAR,64,94%,0,0%,3,12%
6,Andrew Whitworth,T,LAR,64,94%,0,0%,0,0%
7,Tyler Higbee,TE,LAR,63,93%,0,0%,7,27%
8,Matthew Stafford,QB,LAR,63,93%,0,0%,0,0%
9,Van Jefferson,WR,LAR,53,78%,0,0%,0,0%
10,Odell Beckham Jr.,WR,LAR,36,53%,0,0%,0,0%
11,Ben Skowronek,WR,LAR,16,24%,0,0%,14,54%
12,Joseph Noteboom,T,LAR,16,24%,0,0%,7,27%
13,Brycen Hopkins,TE,LAR,14,21%,0,0%,5,19%
14,Kendall Blanton,TE,LAR,10,15%,0,0%,7,27%
15,Bobby Evans,G,LAR,8,12%,0,0%,7,27%
16,John Wolford,QB,LAR,5,7%,0,0%,0,0%
17,Mekhi Sargent,RB,LAR,2,3%,0,0%,4,15%
18,Brian Allen,C,LAR,1,1%,0,0%,0,0%
19,Darious Williams,CB,LAR,0,0%,58,98%,0,0%
20,Ernest Jones,LB,LAR,0,0%,56,95%,0,0%
21,Taylor Rapp,FS,LAR,0,0%,54,92%,8,31%
22,Jalen Ramsey,CB,LAR,0,0%,54,92%,4,15%
23,Jordan Fuller,SS,LAR,0,0%,54,92%,0,0%
24,Aaron Donald,DT,LAR,0,0%,52,88%,0,0%
25,Greg Gaines,NT,LAR,0,0%,48,81%,0,0%
26,Leonard Floyd,LB,LAR,0,0%,48,81%,0,0%
27,Von Miller,LB,LAR,0,0%,47,80%,0,0%
28,Donte Deayon,CB,LAR,0,0%,42,71%,0,0%
29,A'Shawn Robinson,DT,LAR,0,0%,33,56%,4,15%
30,Troy Reeder,LB,LAR,0,0%,29,49%,17,66%
31,Nick Scott,SS,LAR,0,0%,19,32%,19,73%
32,Marquise Copeland,DT,LAR,0,0%,16,27%,4,15%
33,Ogbonnia Okoronkwo,LB,LAR,0,0%,16,27%,2,8%
34,Jamir Jones,LB,LAR,0,0%,7,12%,19,73%
35,Michael Hoecht,DT,LAR,0,0%,5,8%,21,81%
36,Terrell Burgess,FS,LAR,0,0%,5,8%,13,50%
37,Bobby Brown,NT,LAR,0,0%,5,8%,4,15%
38,Robert Rochell,CB,LAR,0,0%,1,2%,16,62%
39,Christian Rozeboom,LB,LAR,0,0%,0,0%,19,73%
40,Antoine Brooks Jr.,DB,LAR,0,0%,0,0%,15,58%
41,Matt Gay,K,LAR,0,0%,0,0%,15,58%
42,Matthew Orzech,LS,LAR,0,0%,0,0%,10,39%
43,Johnny Hekker,P,LAR,0,0%,0,0%,10,39%
44,Brandon Powell,WR,LAR,0,0%,0,0%,4,15%
45,J.J. Koski,WR,LAR,0,0%,0,0%,1,4%
0,Andrew Norwell,G,JAX,59,100%,0,0%,1,4%
1,Cam Robinson,T,JAX,59,100%,0,0%,1,4%
2,Jawaan Taylor,T,JAX,59,100%,0,0%,1,4%
3,Trevor Lawrence,QB,JAX,58,98%,0,0%,0,0%
4,Laquon Treadwell,WR,JAX,55,93%,0,0%,8,31%
5,Marvin Jones,WR,JAX,49,83%,0,0%,0,0%
6,Ben Bartch,T,JAX,46,78%,0,0%,1,4%
7,James O'Shaughnessy,TE,JAX,39,66%,0,0%,0,0%
8,Tyler Shatley,G,JAX,33,56%,0,0%,1,4%
9,Laviska Shenault Jr.,WR,JAX,31,53%,0,0%,0,0%
10,Carlos Hyde,RB,JAX,29,49%,0,0%,0,0%
11,Chris Manhertz,TE,JAX,29,49%,0,0%,0,0%
12,James Robinson,RB,JAX,26,44%,0,0%,0,0%
13,Brandon Linder,G,JAX,26,44%,0,0%,0,0%
14,Will Richardson,T,JAX,17,29%,0,0%,1,4%
15,Tavon Austin,WR,JAX,16,27%,0,0%,0,0%
16,Luke Farrell,TE,JAX,13,22%,0,0%,8,31%
17,Jaydon Mickens,WR,JAX,3,5%,0,0%,11,43%
18,Malcom Brown,DT,JAX,1,2%,39,57%,6,23%
19,C.J. Beathard,QB,JAX,1,2%,0,0%,0,0%
20,Rayshawn Jenkins,SS,JAX,0,0%,68,100%,9,35%
21,Nevin Lawson,CB,JAX,0,0%,68,100%,3,12%
22,Andrew Wingard,FS,JAX,0,0%,67,99%,5,19%
23,Myles Jack,LB,JAX,0,0%,59,87%,0,0%
24,Tyson Campbell,CB,JAX,0,0%,57,84%,8,31%
25,Josh Allen,LB,JAX,0,0%,51,75%,7,27%
26,Rudy Ford,SS,JAX,0,0%,47,69%,5,19%
27,Damien Wilson,LB,JAX,0,0%,43,63%,0,0%
28,Dawuane Smoot,DE,JAX,0,0%,42,62%,1,4%
29,Roy Robertson-Harris,DT,JAX,0,0%,38,56%,0,0%
30,Adam Gotsis,DE,JAX,0,0%,30,44%,8,31%
31,Jay Tufele,DT,JAX,0,0%,29,43%,6,23%
32,Jihad Ward,LB,JAX,0,0%,23,34%,0,0%
33,K'Lavon Chaisson,LB,JAX,0,0%,21,31%,8,31%
34,Taven Bryan,DT,JAX,0,0%,19,28%,6,23%
35,Shaquille Quarterman,LB,JAX,0,0%,14,21%,14,54%
36,Chris Claybrooks,CB,JAX,0,0%,11,16%,22,85%
37,Chapelle Russell,LB,JAX,0,0%,10,15%,18,70%
38,Andre Cisco,SS,JAX,0,0%,8,12%,20,77%
39,Lerentee McCray,DE,JAX,0,0%,4,6%,25,97%
40,Dare Ogunbowale,RB,JAX,0,0%,0,0%,18,70%
41,Dakota Allen,LB,JAX,0,0%,0,0%,18,70%
42,Daniel Thomas,SS,JAX,0,0%,0,0%,18,70%
43,Tre Herndon,CB,JAX,0,0%,0,0%,10,39%
44,Ross Matiscik,LS,JAX,0,0%,0,0%,6,23%
45,Logan Cooke,P,JAX,0,0%,0,0%,6,23%
46,Matthew Wright,K,JAX,0,0%,0,0%,3,12%
47,Walker Little,T,JAX,0,0%,0,0%,1,4%
