,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Dont'a Hightower,NWE,0,5,5,100.0%,41,8.2,8.2,0,100.8,3.2,16,25,7,2,0,0.0,2,7,3,30.0%
1,Myles Bryant,NWE,0,5,3,60.0%,38,12.7,7.6,0,83.7,6.6,24,14,0,0,0,0.0,0,5,0,0.0%
2,J.C. Jackson,NWE,0,5,3,60.0%,30,10.0,6.0,0,77.1,8.0,22,8,0,0,0,0.0,0,2,1,33.3%
3,Ja'Whaun Bentley,NWE,0,2,2,100.0%,18,9.0,9.0,0,104.2,5.0,10,8,5,0,0,0.0,0,8,0,0.0%
4,Adrian Phillips,NWE,0,6,2,33.3%,11,5.5,1.8,0,42.4,12.2,10,1,1,0,0,0.0,0,5,1,16.7%
5,Jamie Collins,NWE,0,1,1,100.0%,19,19.0,19.0,0,118.7,12.0,12,7,2,0,0,0.0,0,0,0,
6,Jalen Mills,NWE,0,4,1,25.0%,14,14.0,3.5,1,81.2,13.0,14,0,0,0,0,0.0,0,0,0,
7,Kyle Van Noy,NWE,0,0,0,,,,,,,,,,9,2,1,0.0,3,1,1,50.0%
8,Matt Judon,NWE,0,1,0,0.0%,,,0.0,,39.6,12.0,,,10,1,1,1.0,3,3,0,0.0%
9,Christian Barmore,NWE,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
10,Daniel Ekuale,NWE,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
11,Devin McCourty,NWE,0,3,0,0.0%,,,0.0,,39.6,26.3,,,2,1,0,0.0,1,2,0,0.0%
12,Deatrich Wise Jr.,NWE,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
13,Lawrence Guy,NWE,0,0,0,,,,,,,,,,0,0,0,0.0,0,4,1,20.0%
14,Sean Davis,NWE,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
16,Dane Jackson,BUF,0,2,1,50.0%,12,12.0,6.0,0,68.7,9.0,10,2,0,0,0,0.0,0,5,1,16.7%
17,Tremaine Edmunds,BUF,0,1,1,100.0%,7,7.0,7.0,0,95.8,-3.0,-3,10,0,0,0,0.0,0,7,1,12.5%
18,Taron Johnson,BUF,0,0,0,,,,,,,,,,1,1,0,0.0,1,1,1,50.0%
19,Mario Addison,BUF,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
20,Micah Hyde,BUF,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,2,40.0%
21,Jerry Hughes,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,2,66.7%
22,A.J. Epenesa,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
23,Matt Milano,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,5,1,16.7%
24,Harrison Phillips,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,8,2,20.0%
25,Jordan Poyer,BUF,0,0,0,,,,,,,,,,1,0,0,0.0,0,9,4,30.8%
26,Carlos Basham,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
27,Levi Wallace,BUF,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,1,25.0%
