,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Ahkello Witherspoon,PIT,2,45,0,41,3,0.0,4,4,0,0,0,0,0,0,0
1,Devin Bush Jr.,PIT,0,0,0,0,2,0.0,8,3,5,0,0,0,0,0,0
2,Joe Schobert,PIT,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
3,Minkah Fitzpatrick,PIT,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
4,Cameron Heyward,PIT,0,0,0,0,0,0.0,6,3,3,1,0,0,0,0,0
5,Terrell Edmunds,PIT,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
6,Taco Charlton,PIT,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
7,Cameron Sutton,PIT,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
8,Montravius Adams,PIT,0,0,0,0,0,0.0,2,1,1,1,2,0,0,0,0
9,Miles Killebrew,PIT,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
10,Isaiahh Loudermilk,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
11,Derrek Tuszka,PIT,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Chris Wormley,PIT,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0
13,Marcus Allen,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,Ulysees Gilbert,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Najee Harris,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Alex Highsmith,PIT,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
17,Buddy Johnson,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Justin Layne,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Arthur Maulet,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Henry Mondeaux,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Tre Norwood,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,T.J. Watt,PIT,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
23,Derek Watt,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
24,Ben Roethlisberger,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
27,Bashaud Breeland,MIN,1,18,0,18,1,0.0,8,7,1,0,0,0,0,0,0
28,Eric Kendricks,MIN,0,0,0,0,0,1.0,11,5,6,2,1,0,0,0,0
29,Harrison Smith,MIN,0,0,0,0,1,1.0,5,4,1,1,1,0,0,0,0
30,Michael Pierce,MIN,0,0,0,0,0,1.0,3,2,1,0,1,0,0,0,1
31,Sheldon Richardson,MIN,0,0,0,0,1,1.0,3,3,0,2,1,0,0,0,0
32,Armon Watts,MIN,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0
33,Anthony Barr,MIN,0,0,0,0,0,0.0,9,4,5,1,1,0,0,0,0
34,Xavier Woods,MIN,0,0,0,0,1,0.0,8,6,2,1,0,0,0,0,0
35,Mackensie Alexander,MIN,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
36,Kris Boyd,MIN,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
37,Patrick Peterson,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
38,Cameron Dantzler,MIN,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
39,Troy Dye,MIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
40,James Lynch,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
41,Dalvin Tomlinson,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
42,D.J. Wonnum,MIN,0,0,0,0,2,0.0,2,0,2,0,0,0,0,0,0
43,Patrick Jones II,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,K.J. Osborn,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
45,Nick Vigil,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
46,Dede Westbrook,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
47,Kenny Willekes,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
