,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Brian O'Neill,T,MIN,70,100%,0,0%,8,24%
1,Oli Udoh,T,MIN,70,100%,0,0%,8,24%
2,Mason Cole,C,MIN,70,100%,0,0%,8,24%
3,Garrett Bradbury,C,MIN,70,100%,0,0%,8,24%
4,Ezra Cleveland,G,MIN,70,100%,0,0%,8,24%
5,Kirk Cousins,QB,MIN,70,100%,0,0%,0,0%
6,Justin Jefferson,WR,MIN,67,96%,0,0%,0,0%
7,K.J. Osborn,WR,MIN,60,86%,0,0%,0,0%
8,Dalvin Cook,RB,MIN,54,77%,0,0%,0,0%
9,Tyler Conklin,TE,MIN,49,70%,0,0%,0,0%
10,C.J. Ham,FB,MIN,31,44%,0,0%,22,67%
11,Dede Westbrook,WR,MIN,29,41%,0,0%,6,18%
12,Blake Brandel,T,MIN,17,24%,0,0%,8,24%
13,Luke Stocker,TE,MIN,16,23%,0,0%,16,48%
14,Alexander Mattison,RB,MIN,13,19%,0,0%,5,15%
15,Chris Herndon,TE,MIN,9,13%,0,0%,5,15%
16,Ihmir Smith-Marsette,WR,MIN,3,4%,0,0%,0,0%
17,Dan Chisena,WR,MIN,2,3%,0,0%,22,67%
18,Xavier Woods,FS,MIN,0,0%,74,100%,7,21%
19,Harrison Smith,SS,MIN,0,0%,74,100%,3,9%
20,Patrick Peterson,CB,MIN,0,0%,74,100%,3,9%
21,Eric Kendricks,LB,MIN,0,0%,74,100%,3,9%
22,Anthony Barr,LB,MIN,0,0%,74,100%,3,9%
23,D.J. Wonnum,DE,MIN,0,0%,67,91%,3,9%
24,Mackensie Alexander,CB,MIN,0,0%,64,86%,9,27%
25,Sheldon Richardson,DT,MIN,0,0%,56,76%,3,9%
26,Bashaud Breeland,CB,MIN,0,0%,50,68%,0,0%
27,Armon Watts,NT,MIN,0,0%,39,53%,3,9%
28,Dalvin Tomlinson,DT,MIN,0,0%,38,51%,3,9%
29,Kenny Willekes,DE,MIN,0,0%,31,42%,6,18%
30,Michael Pierce,NT,MIN,0,0%,30,41%,0,0%
31,James Lynch,NT,MIN,0,0%,18,24%,0,0%
32,Patrick Jones II,DE,MIN,0,0%,17,23%,0,0%
33,Kris Boyd,CB,MIN,0,0%,12,16%,17,52%
34,Cameron Dantzler,CB,MIN,0,0%,11,15%,11,33%
35,Nick Vigil,LB,MIN,0,0%,10,14%,21,64%
36,Camryn Bynum,FS,MIN,0,0%,1,1%,22,67%
37,Troy Dye,LB,MIN,0,0%,0,0%,22,67%
38,Josh Metellus,SS,MIN,0,0%,0,0%,22,67%
39,Greg Joseph,K,MIN,0,0%,0,0%,16,48%
40,Tuf Borland,LB,MIN,0,0%,0,0%,15,45%
41,Ryan Connelly,LB,MIN,0,0%,0,0%,11,33%
42,Andrew DePaola,LS,MIN,0,0%,0,0%,11,33%
43,Jordan Berry,P,MIN,0,0%,0,0%,11,33%
44,Rashod Hill,T,MIN,0,0%,0,0%,8,24%
45,Kene Nwangwu,RB,MIN,0,0%,0,0%,6,18%
0,Chukwuma Okorafor,T,PIT,74,100%,0,0%,3,9%
1,Dan Moore,T,PIT,74,100%,0,0%,3,9%
2,Ben Roethlisberger,QB,PIT,74,100%,0,0%,0,0%
3,Trai Turner,G,PIT,74,100%,0,0%,0,0%
4,Kendrick Green,C,PIT,74,100%,0,0%,0,0%
5,Diontae Johnson,WR,PIT,72,97%,0,0%,0,0%
6,John Leglue,T,PIT,72,97%,0,0%,0,0%
7,Najee Harris,RB,PIT,71,96%,0,0%,0,0%
8,Ray-Ray McCloud,WR,PIT,63,85%,0,0%,11,33%
9,Pat Freiermuth,TE,PIT,55,74%,0,0%,3,9%
10,Chase Claypool,WR,PIT,44,59%,0,0%,0,0%
11,James Washington,WR,PIT,30,41%,0,0%,0,0%
12,Zach Gentry,TE,PIT,26,35%,0,0%,3,9%
13,Derek Watt,FB,PIT,5,7%,0,0%,22,67%
14,Benny Snell Jr.,RB,PIT,3,4%,0,0%,22,67%
15,Rashaad Coward,T,PIT,2,3%,0,0%,3,9%
16,Kevin Rader,TE,PIT,1,1%,0,0%,8,24%
17,Minkah Fitzpatrick,SS,PIT,0,0%,70,100%,8,24%
18,Cameron Sutton,CB,PIT,0,0%,70,100%,8,24%
19,Terrell Edmunds,SS,PIT,0,0%,68,97%,8,24%
20,Cameron Heyward,DT,PIT,0,0%,63,90%,5,15%
21,Ahkello Witherspoon,CB,PIT,0,0%,61,87%,8,24%
22,Joe Schobert,LB,PIT,0,0%,58,83%,8,24%
23,Devin Bush Jr.,LB,PIT,0,0%,58,83%,7,21%
