,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Myles Jack,JAX,0,9,7,77.8%,63,9.0,7.0,0,95.8,4.9,31,32,2,0,0,0.0,0,9,1,10.0%
1,Damien Wilson,JAX,0,4,4,100.0%,49,12.3,12.3,0,117.7,2.8,11,38,4,0,0,1.0,1,10,2,16.7%
2,Shaquill Griffin,JAX,0,4,3,75.0%,24,8.0,6.0,0,89.6,7.0,19,5,1,0,1,0.0,1,4,0,0.0%
3,Rudy Ford,JAX,0,5,3,60.0%,32,10.7,6.4,0,78.7,1.4,1,31,5,0,0,0.0,0,3,0,0.0%
4,Andrew Wingard,JAX,0,3,2,66.7%,8,4.0,2.7,0,70.1,-1.3,0,8,0,0,0,0.0,0,8,0,0.0%
5,Rayshawn Jenkins,JAX,0,3,1,33.3%,12,12.0,4.0,0,46.5,14.7,3,9,1,1,0,0.0,1,3,0,0.0%
6,Tyson Campbell,JAX,0,2,1,50.0%,12,12.0,6.0,0,68.7,4.0,11,1,0,0,0,0.0,0,4,0,0.0%
7,Dawuane Smoot,JAX,0,0,0,,,,,,,,,,0,1,2,1.0,4,2,0,0.0%
8,Malcom Brown,JAX,0,0,0,,,,,,,,,,0,2,0,0.0,2,4,0,0.0%
9,Roy Robertson-Harris,JAX,0,0,0,,,,,,,,,,0,0,1,1.0,2,5,0,0.0%
10,Josh Allen,JAX,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,1,0,0.0,1,2,0,0.0%
11,Jihad Ward,JAX,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%
12,Adam Gotsis,JAX,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
13,Taven Bryan,JAX,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
15,Elijah Molden,TEN,0,6,4,66.7%,14,3.5,2.3,0,70.1,1.7,-11,25,4,1,0,0.0,1,5,0,0.0%
16,Buster Skrine,TEN,1,7,4,57.1%,64,16.0,9.1,0,48.2,16.6,59,5,1,0,0,0.0,0,4,0,0.0%
17,Kristian Fulton,TEN,1,5,3,60.0%,26,8.7,5.2,0,34.2,16.2,23,3,1,0,0,0.0,0,4,0,0.0%
18,Jayon Brown,TEN,1,4,3,75.0%,23,7.7,5.8,0,49.0,9.0,17,6,1,0,0,0.0,0,3,0,0.0%
19,Greg Mabin,TEN,0,3,2,66.7%,26,13.0,8.7,0,93.7,22.7,17,9,0,0,0,0.0,0,2,0,0.0%
20,Kevin Byard,TEN,0,4,2,50.0%,12,6.0,3.0,0,56.2,8.3,8,4,3,0,0,0.0,0,5,0,0.0%
21,Harold Landry,TEN,0,1,1,100.0%,5,5.0,5.0,0,87.5,-6.0,-6,11,0,2,0,1.0,3,3,0,0.0%
22,Rashaan Evans,TEN,1,2,1,50.0%,7,7.0,3.5,0,18.7,0.0,0,7,0,0,0,0.0,0,6,0,0.0%
23,Amani Hooker,TEN,0,3,1,33.3%,7,7.0,2.3,0,42.4,13.7,4,3,0,0,0,0.0,0,2,0,0.0%
24,Dane Cruikshank,TEN,0,2,1,50.0%,3,3.0,1.5,0,56.2,-2.0,-4,7,0,0,0,0.0,0,1,0,0.0%
25,Chris Jones,TEN,0,2,1,50.0%,3,3.0,1.5,0,56.2,5.5,1,2,0,0,0,0.0,0,2,0,0.0%
26,Derick Roberson,TEN,0,0,0,,,,,,,,,,0,3,0,1.0,4,4,0,0.0%
27,Denico Autry,TEN,0,0,0,,,,,,,,,,0,2,0,1.0,3,2,0,0.0%
28,Jeffery Simmons,TEN,0,0,0,,,,,,,,,,0,2,0,0.0,2,3,0,0.0%
29,Olasunkanmi Adeniyi,TEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
30,Kyle Peko,TEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
31,Dylan Cole,TEN,0,0,0,,,,,,,,,,3,0,1,0.0,1,0,0,
32,Matthias Farley,TEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
