,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Jourdan Lewis,DAL,0,4,3,75.0%,31,10.3,7.8,0,96.9,4.8,12,19,0,0,0,0.0,0,6,2,25.0%
1,Keanu Neal,DAL,0,4,2,50.0%,25,12.5,6.3,0,69.8,3.3,3,22,1,0,1,0.0,1,2,0,0.0%
2,Anthony Brown,DAL,0,9,2,22.2%,22,11.0,2.4,0,39.6,17.2,14,8,0,0,0,0.0,0,2,0,0.0%
3,Trevon Diggs,DAL,0,5,2,40.0%,50,25.0,10.0,1,116.7,13.8,47,3,0,0,0,0.0,0,2,0,0.0%
4,Jayron Kearse,DAL,0,3,2,66.7%,38,19.0,12.7,0,109.7,11.3,14,24,2,0,0,0.0,0,3,0,0.0%
5,DeMarcus Lawrence,DAL,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-5.0,-5,4,0,0,1,1.0,2,2,0,0.0%
6,Carlos Watkins,DAL,0,1,1,100.0%,2,2.0,2.0,0,79.2,0.0,0,2,0,0,0,0.0,0,2,0,0.0%
7,Leighton Vander Esch,DAL,0,3,1,33.3%,3,3.0,1.0,0,42.4,4.0,2,1,2,0,0,0.0,0,4,0,0.0%
8,Malik Hooker,DAL,0,2,1,50.0%,5,5.0,2.5,0,56.2,26.5,5,0,0,0,0,0.0,0,2,0,0.0%
9,Micah Parsons,DAL,0,1,0,0.0%,,,0.0,,39.6,0.0,,,12,1,0,2.0,3,3,0,0.0%
10,Randy Gregory,DAL,1,0,0,,,,,,,,,,1,0,1,1.0,2,1,0,0.0%
11,Dorance Armstrong Jr.,DAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,6,0,0.0%
12,Neville Gallimore,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
13,Tarell Basham,DAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,1,33.3%
14,Damontae Kazee,DAL,0,1,0,0.0%,,,0.0,,39.6,48.0,,,0,0,0,0.0,0,3,1,25.0%
16,William Jackson III,WAS,0,7,6,85.7%,87,14.5,12.4,0,118.5,7.7,51,36,0,0,0,0.0,0,7,0,0.0%
17,Cole Holcomb,WAS,1,9,4,44.4%,56,14.0,6.2,0,25.5,6.4,25,31,4,0,0,0.0,0,8,0,0.0%
18,Kendall Fuller,WAS,0,9,4,44.4%,15,3.8,1.7,0,51.6,5.2,11,4,0,0,0,0.0,0,6,0,0.0%
19,Landon Collins,WAS,1,4,3,75.0%,15,5.0,3.8,1,80.2,7.3,10,5,3,0,0,2.0,2,5,2,28.6%
20,Jamin Davis,WAS,0,3,2,66.7%,19,9.5,6.3,0,84.0,1.7,6,13,1,0,0,0.0,0,5,0,0.0%
21,Bobby McCain,WAS,0,3,2,66.7%,17,8.5,5.7,0,81.2,8.0,3,14,0,0,0,0.0,0,2,1,33.3%
22,Kamren Curl,WAS,0,4,1,25.0%,2,2.0,0.5,0,39.6,4.0,1,1,1,0,0,0.0,0,8,0,0.0%
23,Jonathan Allen,WAS,0,0,0,,,,,,,,,,0,0,1,1.0,2,7,0,0.0%
24,Daron Payne,WAS,0,0,0,,,,,,,,,,0,0,0,1.0,1,6,0,0.0%
25,Shaka Toney,WAS,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
26,Danny Johnson,WAS,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
27,Tim Settle,WAS,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%
