,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,AJ Terrell,ATL,1,0,0,0,3,0.0,4,1,3,0,0,0,0,0,0
1,Mykal Walker,ATL,1,66,1,66,1,0.0,0,0,0,0,0,0,0,0,0
2,Dante Fowler,ATL,0,0,0,0,0,1.0,3,3,0,3,1,0,0,0,0
3,Foyesade Oluokun,ATL,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0
4,Deion Jones,ATL,0,0,0,0,0,0.0,6,5,1,0,1,0,0,0,0
5,Steven Means,ATL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
6,Brandon Copeland,ATL,0,0,0,0,0,0.0,4,3,1,2,0,0,0,0,0
7,Darren Hall,ATL,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
8,Grady Jarrett,ATL,0,0,0,0,0,0.0,4,2,2,0,1,1,0,0,0
9,Duron Harmon,ATL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
10,Jaylinn Hawkins,ATL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
11,Mike Pennel,ATL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
12,John Cominsky,ATL,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
13,Fabian Moreau,ATL,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
14,James Vaughters,ATL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
15,Emmanuel Ellerbee,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Erik Harris,ATL,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
17,Younghoe Koo,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Shawn Williams,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Avery Williams,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Ta'Quon Graham,ATL,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
23,Jeremy Chinn,CAR,0,0,0,0,0,0.0,13,8,5,0,0,0,0,0,0
24,Shaq Thompson,CAR,0,0,0,0,0,0.0,11,9,2,1,0,0,0,0,0
25,Jermaine Carter Jr.,CAR,0,0,0,0,0,0.0,7,3,4,0,0,1,0,0,0
26,Derrick Brown,CAR,0,0,0,0,0,0.0,5,4,1,2,2,0,0,0,0
27,DaQuan Jones,CAR,0,0,0,0,0,0.0,4,4,0,0,1,0,0,0,1
28,Juston Burris,CAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
29,C.J. Henderson,CAR,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
30,Haason Reddick,CAR,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
31,Brian Burns,CAR,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0
32,Morgan Fox,CAR,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
33,Marquis Haynes,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
34,Robby Anderson,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,A.J. Bouye,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Stephon Gilmore,CAR,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
37,Zane Gonzalez,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Yetur Gross-Matos,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Myles Hartsfield,CAR,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
40,Phil Hoskins,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
41,Rashaan Melvin,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Bravvion Roy,CAR,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
43,Keith Taylor,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Cam Newton,CAR,0,0,0,0,0,0.0,0,0,0,0,0,1,8,0,0
45,P.J. Walker,CAR,0,0,0,0,0,0.0,0,0,0,0,0,1,2,0,0
