,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Clelin Ferrell,LVR,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
1,Yannick Ngakoue,LVR,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
2,Malcolm Koonce,LVR,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
3,Johnathan Abram,LVR,0,0,0,0,0,0.0,10,4,6,0,0,0,0,0,0
4,Divine Deablo,LVR,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0
5,Maxx Crosby,LVR,0,0,0,0,1,0.0,5,1,4,1,1,0,0,0,0
6,Johnathan Hankins,LVR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
7,Quinton Jefferson,LVR,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
8,Trayvon Mullen,LVR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
9,K.J. Wright,LVR,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
10,Casey Hayward,LVR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
11,Nate Hobbs,LVR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
12,Trevon Moehrig,LVR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
13,Brandon Facyson,LVR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Solomon Thomas,LVR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,DeSean Jackson,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Marquel Lee,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Cory Littleton,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Foster Moreau,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Brandon Parker,LVR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
20,Hunter Renfrow,LVR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
23,Tyrann Mathieu,KAN,1,6,0,6,1,0.0,5,5,0,0,0,1,-2,0,0
24,Alex Okafor,KAN,0,0,0,0,0,1.5,3,1,2,0,2,0,0,0,1
25,Tershawn Wharton,KAN,0,0,0,0,0,1.0,3,1,2,0,2,0,0,0,0
26,Frank Clark,KAN,0,0,0,0,0,0.5,1,0,1,0,4,0,0,0,0
27,Melvin Ingram,KAN,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
28,Chris Jones,KAN,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
29,Mike Hughes,KAN,0,0,0,0,0,0.0,9,8,1,0,0,1,23,1,2
30,Nick Bolton,KAN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
31,Willie Gay Jr.,KAN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
32,Jarran Reed,KAN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,1
33,Rashad Fenton,KAN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
34,Armani Watts,KAN,0,0,0,0,0,0.0,4,2,2,0,0,1,0,0,0
35,Deandre Baker,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
36,Ben Niemann,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
37,Charvarius Ward,KAN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
38,Dorian O'Daniel,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
39,Michael Burton,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Michael Danna,KAN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
41,Anthony Hitchens,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Josh Jackson,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Marcus Kemp,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Derrick Nnadi,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Daniel Sorensen,KAN,0,0,0,0,2,0.0,1,1,0,0,0,0,0,0,0
46,Clyde Edwards-Helaire,KAN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
47,Juan Thornhill,KAN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
