,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Kwon Alexander,NOR,0,0,0,0,0,2.0,4,4,0,1,1,0,0,0,0
1,Carl Granderson,NOR,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
2,Demario Davis,NOR,0,0,0,0,1,0.0,8,6,2,1,0,0,0,0,0
3,Paulson Adebo,NOR,0,0,0,0,1,0.0,6,6,0,0,0,0,0,0,0
4,Marshon Lattimore,NOR,0,0,0,0,2,0.0,5,5,0,0,0,0,0,0,0
5,Marcus Williams,NOR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
6,J.T. Gray,NOR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
7,Malcolm Jenkins,NOR,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,0
8,Shy Tuttle,NOR,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
9,P.J. Williams,NOR,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
10,Andrew Dowell,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Jalyn Holmes,NOR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Christian Ringo,NOR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Marcus Davenport,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,Chauncey Gardner-Johnson,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Jeff Heath,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Albert Huggins,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Adam Prentice,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Bradley Roby,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Dwayne Washington,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Taysom Hill,NOR,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0
23,Kyle Phillips,NYJ,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
24,Ashtyn Davis,NYJ,0,0,0,0,0,0.5,3,2,1,0,1,0,0,0,0
25,Shaq Lawson,NYJ,0,0,0,0,0,0.5,3,2,1,0,1,0,0,0,0
26,C.J. Mosley,NYJ,0,0,0,0,0,0.0,17,11,6,0,0,0,0,0,0
27,Elijah Riley,NYJ,0,0,0,0,0,0.0,10,4,6,0,0,0,0,0,0
28,Quincy Williams,NYJ,0,0,0,0,1,0.0,8,5,3,1,0,0,0,0,0
29,Folorunso Fatukasi,NYJ,0,0,0,0,0,0.0,5,1,4,1,0,0,0,0,0
30,Jarrad Davis,NYJ,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
31,Brandin Echols,NYJ,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
32,Javelin Guidry,NYJ,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
33,Sheldon Rankins,NYJ,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
34,John Franklin-Myers,NYJ,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
35,Bryce Hall,NYJ,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
36,Quinnen Williams,NYJ,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
37,Tim Ward,NYJ,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
38,Daniel Brown,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Ryan Griffin,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,Justin Hardee,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Sharrod Neasman,NYJ,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
42,Del'Shawn Phillips,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Nathan Shepherd,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
44,Rachad Wildgoose,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
