,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Damien Wilson,JAX,0,0,0,0,0,1.0,10,6,4,2,1,0,0,0,0
1,Roy Robertson-Harris,JAX,0,0,0,0,0,1.0,5,4,1,2,2,0,0,0,0
2,Dawuane Smoot,JAX,0,0,0,0,0,1.0,2,2,0,1,3,0,0,0,0
3,Jihad Ward,JAX,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
4,Myles Jack,JAX,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
5,Andrew Wingard,JAX,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
6,Malcom Brown,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
7,Tyson Campbell,JAX,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
8,Shaquill Griffin,JAX,0,0,0,0,0,0.0,4,4,0,0,1,0,0,0,0
9,DaVon Hamilton,JAX,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
10,Rudy Ford,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
11,Rayshawn Jenkins,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
12,Josh Allen,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,K'Lavon Chaisson,JAX,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
14,Dare Ogunbowale,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
15,Tavon Austin,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Taven Bryan,JAX,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
17,Andre Cisco,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1
18,Chris Claybrooks,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Adam Gotsis,JAX,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
20,Marvin Jones,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Lerentee McCray,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,Jaydon Mickens,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
23,Shaquille Quarterman,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
24,James Robinson,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
25,Chapelle Russell,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
26,Laquon Treadwell,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
29,Rashaan Evans,TEN,1,1,0,1,1,0.0,6,1,5,1,0,0,0,0,0
30,Kristian Fulton,TEN,1,0,0,0,2,0.0,4,3,1,0,0,0,0,0,0
31,Buster Skrine,TEN,1,17,0,17,2,0.0,4,3,1,0,0,0,0,0,0
32,Jayon Brown,TEN,1,2,0,2,1,0.0,3,2,1,0,0,0,0,0,0
33,Derick Roberson,TEN,0,0,0,0,0,1.0,4,1,3,1,1,0,0,0,0
34,Harold Landry,TEN,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
35,Denico Autry,TEN,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
36,Kevin Byard,TEN,0,0,0,0,1,0.0,5,2,3,0,0,0,0,0,0
37,Elijah Molden,TEN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
38,Jeffery Simmons,TEN,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0
39,Amani Hooker,TEN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
40,Naquan Jones,TEN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
41,Chris Jones,TEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
42,Greg Mabin,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
43,Olasunkanmi Adeniyi,TEN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
44,Dane Cruikshank,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Matthias Farley,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
46,Dylan Cole,TEN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
47,Kyle Peko,TEN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
48,Chester Rogers,TEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
