,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Dexter Lawrence,NYG,0,0,0,0,0,1.0,7,4,3,1,3,0,0,0,0
1,Azeez Ojulari,NYG,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
2,Aaron Robinson,NYG,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
3,Logan Ryan,NYG,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
4,Tae Crowder,NYG,0,0,0,0,0,0.0,8,2,6,0,0,0,0,0,0
5,Austin Johnson,NYG,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
6,Julian Love,NYG,0,0,0,0,0,0.0,6,3,3,1,0,0,0,0,0
7,Benardrick McKinney,NYG,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0
8,Reggie Ragland,NYG,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
9,Lorenzo Carter,NYG,0,0,0,0,0,0.0,4,1,3,0,1,0,0,0,0
10,Danny Shelton,NYG,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
11,Jarren Williams,NYG,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
12,Xavier McKinney,NYG,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
13,James Bradberry,NYG,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
14,Raymond Johnson,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,J.R. Reed,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Quincy Roche,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Leonard Williams,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Nick Niemann,LAC,1,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
21,Justin Jones,LAC,0,0,0,0,0,1.0,5,3,2,1,1,1,0,0,0
22,Joey Bosa,LAC,0,0,0,0,0,1.0,1,1,0,0,4,0,0,0,1
23,Kyzir White,LAC,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0
24,Nasir Adderley,LAC,0,0,0,0,1,0.0,7,4,3,0,0,0,0,0,0
25,Amen Ogbongbemiga,LAC,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
26,Drue Tranquill,LAC,0,0,0,0,0,0.0,6,1,5,0,0,0,0,0,0
27,Jerry Tillery,LAC,0,0,0,0,0,0.0,5,1,4,0,1,0,0,0,0
28,Joe Gaziano,LAC,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
29,Michael Davis,LAC,0,0,0,0,4,0.0,3,3,0,1,0,0,0,0,0
30,Linval Joseph,LAC,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
31,Chris Rumph,LAC,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
32,Christian Covington,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
33,Chris Harris Jr.,LAC,0,0,0,0,3,0.0,2,2,0,0,0,0,0,0,0
34,Trey Marshall,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
35,Tevaughn Campbell,LAC,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
36,Emeke Egbule,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,Uchenna Nwosu,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Kemon Hall,LAC,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
