,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Taysom Hill,NOR,15,21,175,0,0,3,34,26,96.3,11,73,2,44,0,0,0,0,0,2,0
1,Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,27,120,1,16,5,4,25,0,13,0,0
2,Tony Jones,NOR,0,0,0,0,0,0,0,0,,6,10,0,5,1,1,19,0,19,0,0
3,Nick Vannett,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,44,0,19,0,0
4,Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,34,0,26,0,0
5,Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,33,0,21,0,0
6,Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
7,Easop Winston,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
10,Zach Wilson,NYJ,19,42,202,0,0,3,24,27,59.8,4,33,0,18,0,0,0,0,0,0,0
11,La'Mical Perine,NYJ,0,0,0,0,0,0,0,0,,7,28,0,14,0,0,0,0,0,0,0
12,Ty Johnson,NYJ,0,0,0,0,0,0,0,0,,6,17,0,7,7,4,40,0,16,0,0
13,Braxton Berrios,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,52,0,17,0,0
14,D.J. Montgomery,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,36,0,14,0,0
15,Ryan Griffin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,22,0,0
16,Keelan Cole,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,27,0,27,0,0
17,Jamison Crowder,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,19,0,11,0,0
18,Denzel Mims,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
19,Vyncint Smith,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
