,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Mike Glennon,NYG,17,36,191,2,1,2,10,60,70.5,1,7,1,7,0,0,0,0,0,1,1
1,Riley Dixon,NYG,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
2,Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,16,64,0,13,3,3,31,1,18,0,0
3,Devontae Booker,NYG,0,0,0,0,0,0,0,0,,8,56,0,9,5,4,28,0,17,0,0
4,Elijhaa Penny,NYG,0,0,0,0,0,0,0,0,,1,8,0,8,1,1,3,1,3,0,0
5,Kyle Rudolph,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,66,0,60,0,0
6,Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,27,0,24,0,0
7,Kenny Golladay,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,15,0,10,0,0
8,Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,8,0,8,0,0
9,John Ross,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
10,Pharoh Cooper,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
11,Keion Crossen,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
12,Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
13,Chris Myarick,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
16,Justin Herbert,LAC,23,31,275,3,0,2,4,59,133.1,4,19,0,10,0,0,0,0,0,0,0
17,Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,12,67,1,17,4,2,17,0,10,0,0
18,Justin Jackson,LAC,0,0,0,0,0,0,0,0,,9,35,0,9,1,1,7,0,7,0,0
19,Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,10,33,0,12,1,1,5,0,5,0,0
20,Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,87,1,59,0,0
21,Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,66,1,36,0,0
22,Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,61,0,25,0,0
23,Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,15,0,0
24,Stephen Anderson,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
25,Jared Cook,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,1,7,0,0
26,Chase Daniel,LAC,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0
