,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Mark Andrews,BAL,11,11,115,1,7,58,5.3,57,5.2,5.3,0,,0,0.0,0,140.5
1,Rashod Bateman,BAL,8,7,103,0,4,71,10.1,32,4.6,8.9,0,,0,0.0,0,118.7
2,Marquise Brown,BAL,8,5,41,0,2,22,4.4,19,3.8,12.3,0,,0,0.0,0,75.5
3,Devonta Freeman,BAL,5,5,8,0,1,3,0.6,5,1.0,0.6,1,5.0,0,0.0,0,79.2
4,Devin Duvernay,BAL,5,2,14,0,1,3,1.5,11,5.5,3.0,0,,0,0.0,0,47.9
5,Josh Oliver,BAL,1,1,6,0,,6,6.0,0,0.0,6.0,0,,0,0.0,0,91.7
6,Sammy Watkins,BAL,2,0,0,0,,0,,0,,22.0,0,,0,0.0,0,39.6
8,Austin Hooper,CLE,6,5,30,1,2,16,3.2,14,2.8,3.2,0,,1,16.7,0,127.1
9,Jarvis Landry,CLE,10,5,41,1,2,31,6.2,10,2.0,7.1,0,,1,10.0,1,54.6
10,Donovan Peoples-Jones,CLE,7,5,90,0,4,75,15.0,15,3.0,15.3,0,,0,0.0,0,113.7
11,Nick Chubb,CLE,4,3,6,0,0,-5,-1.7,11,3.7,-0.8,0,,0,0.0,0,77.1
12,Kareem Hunt,CLE,2,2,13,0,1,10,5.0,3,1.5,5.0,0,,0,0.0,0,93.7
13,Andy Janovich,CLE,1,1,3,0,,1,1.0,2,2.0,1.0,0,,0,0.0,0,79.2
14,D'Ernest Johnson,CLE,1,1,7,0,1,-2,-2.0,9,9.0,-2.0,0,,0,0.0,0,95.8
