,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Josh Jacobs,LVR,9,24,0,20,2.2,4,0.4,0,
1,Peyton Barber,LVR,1,7,0,6,6.0,1,1.0,0,
2,Dallin Leavitt,LVR,1,4,1,4,4.0,0,0.0,0,
3,Trey Ragas,LVR,1,9,1,7,7.0,2,2.0,0,
5,Clyde Edwards-Helaire,KAN,10,37,2,23,2.3,14,1.4,2,5.0
6,Derrick Gore,KAN,9,66,2,13,1.4,53,5.9,2,4.5
7,Patrick Mahomes,KAN,4,20,1,20,5.0,0,0.0,0,
8,Chad Henne,KAN,3,-2,,-2,-0.7,0,0.0,0,
9,Darrel Williams,KAN,2,8,0,8,4.0,0,0.0,0,
10,Michael Burton,KAN,1,3,1,0,0.0,3,3.0,0,
11,Mecole Hardman,KAN,1,0,0,0,0.0,0,0.0,0,
