,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Taylor Moton,T,CAR,64,100%,0,0%,3,13%
1,Dennis Daley,G,CAR,64,100%,0,0%,3,13%
2,Brady Christensen,T,CAR,64,100%,0,0%,3,13%
3,Pat Elflein,G,CAR,64,100%,0,0%,1,4%
4,Cameron Erving,T,CAR,63,98%,0,0%,0,0%
5,Robby Anderson,WR,CAR,62,97%,0,0%,0,0%
6,D.J. Moore,WR,CAR,57,89%,0,0%,0,0%
7,Cam Newton,QB,CAR,48,75%,0,0%,0,0%
8,Ameer Abdullah,RB,CAR,38,59%,0,0%,7,30%
9,Brandon Zylstra,WR,CAR,36,56%,0,0%,14,61%
10,Ian Thomas,TE,CAR,35,55%,0,0%,0,0%
11,Tommy Tremble,TE,CAR,34,53%,0,0%,12,52%
12,Terrace Marshall Jr.,WR,CAR,30,47%,0,0%,0,0%
13,Chuba Hubbard,RB,CAR,25,39%,0,0%,0,0%
14,P.J. Walker,QB,CAR,16,25%,0,0%,0,0%
15,Giovanni Ricci,FB,CAR,3,5%,0,0%,14,61%
16,Deonte Brown,G,CAR,1,2%,0,0%,3,13%
17,Jeremy Chinn,FS,CAR,0,0%,69,100%,10,43%
18,Shaq Thompson,LB,CAR,0,0%,69,100%,6,26%
19,Stephon Gilmore,CB,CAR,0,0%,69,100%,2,9%
20,Jermaine Carter Jr.,LB,CAR,0,0%,61,89%,8,35%
21,Haason Reddick,LB,CAR,0,0%,60,87%,5,22%
22,Brian Burns,DE,CAR,0,0%,57,83%,5,22%
23,Myles Hartsfield,FS,CAR,0,0%,57,83%,2,9%
24,Derrick Brown,DT,CAR,0,0%,48,70%,4,17%
25,Juston Burris,SS,CAR,0,0%,47,68%,6,26%
26,DaQuan Jones,DT,CAR,0,0%,43,62%,5,22%
27,Rashaan Melvin,CB,CAR,0,0%,37,54%,12,52%
28,Morgan Fox,DE,CAR,0,0%,31,45%,5,22%
29,Bravvion Roy,DT,CAR,0,0%,21,30%,3,13%
30,Yetur Gross-Matos,DE,CAR,0,0%,21,30%,1,4%
31,C.J. Henderson,CB,CAR,0,0%,18,26%,2,9%
32,A.J. Bouye,CB,CAR,0,0%,17,25%,3,13%
33,Keith Taylor,CB,CAR,0,0%,15,22%,14,61%
34,Marquis Haynes,DE,CAR,0,0%,11,16%,1,4%
35,Phil Hoskins,DT,CAR,0,0%,6,9%,0,0%
36,Sean Chandler,SS,CAR,0,0%,1,1%,12,52%
37,Kamal Martin,LB,CAR,0,0%,0,0%,14,61%
38,Julian Stanford,LB,CAR,0,0%,0,0%,14,61%
39,Sam Franklin,SS,CAR,0,0%,0,0%,14,61%
40,Colin Thompson,TE,CAR,0,0%,0,0%,10,43%
41,Zane Gonzalez,K,CAR,0,0%,0,0%,7,30%
42,Reggie Bonnafon,RB,CAR,0,0%,0,0%,7,30%
43,Alex Erickson,WR,CAR,0,0%,0,0%,6,26%
44,J.J. Jansen,LS,CAR,0,0%,0,0%,5,22%
45,Lac Edwards,P,CAR,0,0%,0,0%,5,22%
46,Sam Tecklenburg,C,CAR,0,0%,0,0%,3,13%
47,Patrick Omameh,G,CAR,0,0%,0,0%,2,9%
0,Kaleb McGary,T,ATL,69,100%,0,0%,5,22%
1,Jalen Mayfield,G,ATL,69,100%,0,0%,5,22%
2,Jake Matthews,T,ATL,69,100%,0,0%,5,22%
3,Chris Lindstrom,G,ATL,69,100%,0,0%,5,22%
4,Matt Ryan,QB,ATL,69,100%,0,0%,0,0%
5,Matt Hennessy,C,ATL,69,100%,0,0%,0,0%
6,Tajae Sharpe,WR,ATL,52,75%,0,0%,0,0%
7,Russell Gage,WR,ATL,52,75%,0,0%,0,0%
8,Hayden Hurst,TE,ATL,43,62%,0,0%,0,0%
9,Mike Davis,RB,ATL,39,57%,0,0%,0,0%
10,Kyle Pitts,TE,ATL,37,54%,0,0%,0,0%
11,Lee Smith,TE,ATL,34,49%,0,0%,5,22%
12,Cordarrelle Patterson,RB,ATL,34,49%,0,0%,0,0%
13,Olamide Zaccheaus,WR,ATL,29,42%,0,0%,6,26%
14,Keith Smith,FB,ATL,17,25%,0,0%,15,65%
15,Qadree Ollison,RB,ATL,6,9%,0,0%,9,39%
16,Christian Blake,WR,ATL,2,3%,0,0%,0,0%
17,Jaylinn Hawkins,FS,ATL,0,0%,64,100%,15,65%
18,Duron Harmon,SS,ATL,0,0%,64,100%,9,39%
19,AJ Terrell,CB,ATL,0,0%,64,100%,3,13%
20,Foyesade Oluokun,LB,ATL,0,0%,64,100%,1,4%
21,Fabian Moreau,CB,ATL,0,0%,64,100%,0,0%
22,Deion Jones,LB,ATL,0,0%,64,100%,0,0%
23,Darren Hall,CB,ATL,0,0%,51,80%,9,39%
24,Grady Jarrett,DT,ATL,0,0%,51,80%,0,0%
25,Steven Means,LB,ATL,0,0%,47,73%,5,22%
26,Dante Fowler,LB,ATL,0,0%,32,50%,0,0%
27,Brandon Copeland,LB,ATL,0,0%,24,38%,9,39%
28,Anthony Rush,DT,ATL,0,0%,24,38%,3,13%
29,Ta'Quon Graham,DE,ATL,0,0%,21,33%,3,13%
30,Marlon Davidson,DT,ATL,0,0%,20,31%,3,13%
31,James Vaughters,LB,ATL,0,0%,17,27%,16,70%
32,Mike Pennel,NT,ATL,0,0%,14,22%,0,0%
33,John Cominsky,DT,ATL,0,0%,8,13%,0,0%
34,Erik Harris,FS,ATL,0,0%,6,9%,0,0%
35,Mykal Walker,LB,ATL,0,0%,5,8%,15,65%
36,Shawn Williams,SS,ATL,0,0%,0,0%,18,78%
37,Avery Williams,CB,ATL,0,0%,0,0%,16,70%
38,Frank Darby,WR,ATL,0,0%,0,0%,13,57%
39,Emmanuel Ellerbee,LB,ATL,0,0%,0,0%,12,52%
40,Younghoe Koo,K,ATL,0,0%,0,0%,12,52%
41,Josh Harris,LS,ATL,0,0%,0,0%,7,30%
42,Kendall Sheffield,CB,ATL,0,0%,0,0%,7,30%
43,Thomas Morstead,P,ATL,0,0%,0,0%,7,30%
44,Jason Spriggs,T,ATL,0,0%,0,0%,5,22%
45,Colby Gossett,G,ATL,0,0%,0,0%,5,22%
46,Drew Dalman,C,ATL,0,0%,0,0%,5,22%
