,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Garett Bolles,T,DEN,68,100%,0,0%,6,27%
1,Quinn Meinerz,G,DEN,68,100%,0,0%,6,27%
2,Dalton Risner,G,DEN,68,100%,0,0%,6,27%
3,Bobby Massie,T,DEN,68,100%,0,0%,0,0%
4,Teddy Bridgewater,QB,DEN,68,100%,0,0%,0,0%
5,Lloyd Cushenberry III,C,DEN,68,100%,0,0%,0,0%
6,Courtland Sutton,WR,DEN,59,87%,0,0%,0,0%
7,Tim Patrick,WR,DEN,52,76%,0,0%,0,0%
8,Noah Fant,TE,DEN,50,74%,0,0%,0,0%
9,Jerry Jeudy,WR,DEN,41,60%,0,0%,0,0%
10,Albert Okwuegbunam,TE,DEN,38,56%,0,0%,0,0%
11,Melvin Gordon,RB,DEN,34,50%,0,0%,0,0%
12,Javonte Williams,RB,DEN,33,49%,0,0%,0,0%
13,Eric Saubert,TE,DEN,17,25%,0,0%,20,91%
14,Kendall Hinton,WR,DEN,10,15%,0,0%,2,9%
15,Diontae Spencer,WR,DEN,3,4%,0,0%,5,23%
16,Andrew Beck,TE,DEN,2,3%,0,0%,14,64%
17,Damarea Crockett,RB,DEN,1,1%,0,0%,11,50%
18,Justin Simmons,FS,DEN,0,0%,63,100%,2,9%
19,Ronald Darby,CB,DEN,0,0%,55,87%,0,0%
20,Patrick Surtain II,CB,DEN,0,0%,54,86%,0,0%
21,Baron Browning,LB,DEN,0,0%,54,86%,0,0%
22,Kareem Jackson,SS,DEN,0,0%,49,78%,0,0%
23,Kyle Fuller,CB,DEN,0,0%,47,75%,0,0%
24,Jonathon Cooper,LB,DEN,0,0%,41,65%,5,23%
25,Bradley Chubb,LB,DEN,0,0%,40,63%,0,0%
26,Stephen Weatherly,LB,DEN,0,0%,39,62%,3,14%
27,Shelby Harris,DE,DEN,0,0%,34,54%,2,9%
28,Mike Purcell,NT,DEN,0,0%,32,51%,8,36%
29,DeShawn Williams,DT,DEN,0,0%,32,51%,2,9%
30,Kenny Young,LB,DEN,0,0%,31,49%,0,0%
31,Shamar Stephen,DE,DEN,0,0%,25,40%,0,0%
32,Dre'Mont Jones,DE,DEN,0,0%,24,38%,2,9%
33,Jonas Griffith,LB,DEN,0,0%,23,37%,14,64%
34,Caden Sterns,FS,DEN,0,0%,19,30%,13,59%
35,Nate Hairston,CB,DEN,0,0%,9,14%,16,73%
36,Justin Strnad,LB,DEN,0,0%,9,14%,16,73%
37,Mike Ford,CB,DEN,0,0%,7,11%,16,73%
38,Aaron Patrick,LB,DEN,0,0%,6,10%,22,100%
39,Brandon McManus,K,DEN,0,0%,0,0%,12,55%
40,Sam Martin,P,DEN,0,0%,0,0%,9,41%
41,Micah Kiser,LB,DEN,0,0%,0,0%,9,41%
42,Jacob Bobenmoyer,LS,DEN,0,0%,0,0%,9,41%
43,Austin Schlottmann,G,DEN,0,0%,0,0%,6,27%
