,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Orlando Brown Jr.,T,KAN,66,100%,0,0%,8,31%
1,Trey Smith,G,KAN,66,100%,0,0%,8,31%
2,Andrew Wylie,G,KAN,62,94%,0,0%,8,31%
3,Creed Humphrey,C,KAN,62,94%,0,0%,7,27%
4,Patrick Mahomes,QB,KAN,62,94%,0,0%,0,0%
5,Joe Thuney,G,KAN,62,94%,0,0%,0,0%
6,Travis Kelce,TE,KAN,49,74%,0,0%,0,0%
7,Tyreek Hill,WR,KAN,44,67%,0,0%,0,0%
8,Byron Pringle,WR,KAN,40,61%,0,0%,6,23%
9,Demarcus Robinson,WR,KAN,30,45%,0,0%,0,0%
10,Josh Gordon,WR,KAN,24,36%,0,0%,0,0%
11,Mecole Hardman,WR,KAN,23,35%,0,0%,4,15%
12,Darrel Williams,RB,KAN,23,35%,0,0%,3,12%
13,Clyde Edwards-Helaire,RB,KAN,23,35%,0,0%,0,0%
14,Noah Gray,TE,KAN,22,33%,0,0%,24,92%
15,Blake Bell,TE,KAN,22,33%,0,0%,10,38%
16,Derrick Gore,RB,KAN,20,30%,0,0%,9,35%
17,Michael Burton,FB,KAN,5,8%,0,0%,12,46%
18,Nick Allegretti,G,KAN,5,8%,0,0%,8,31%
19,Marcus Kemp,WR,KAN,4,6%,0,0%,18,69%
20,Lucas Niang,T,KAN,4,6%,0,0%,8,31%
21,Austin Blythe,C,KAN,4,6%,0,0%,1,4%
22,Chad Henne,QB,KAN,4,6%,0,0%,0,0%
23,Mike Hughes,CB,KAN,0,0%,63,100%,11,42%
24,Juan Thornhill,FS,KAN,0,0%,63,100%,0,0%
25,Daniel Sorensen,FS,KAN,0,0%,57,90%,8,31%
26,Charvarius Ward,CB,KAN,0,0%,47,75%,2,8%
27,Tyrann Mathieu,SS,KAN,0,0%,47,75%,0,0%
28,Jarran Reed,DT,KAN,0,0%,43,68%,0,0%
29,Chris Jones,DT,KAN,0,0%,39,62%,0,0%
30,Melvin Ingram,LB,KAN,0,0%,37,59%,0,0%
31,Frank Clark,DE,KAN,0,0%,36,57%,0,0%
32,Rashad Fenton,CB,KAN,0,0%,35,56%,0,0%
33,Willie Gay Jr.,LB,KAN,0,0%,33,52%,0,0%
34,Nick Bolton,LB,KAN,0,0%,28,44%,1,4%
35,Tershawn Wharton,DT,KAN,0,0%,27,43%,2,8%
36,Alex Okafor,DE,KAN,0,0%,26,41%,2,8%
37,Michael Danna,DE,KAN,0,0%,26,41%,2,8%
38,Anthony Hitchens,LB,KAN,0,0%,22,35%,2,8%
39,Derrick Nnadi,DT,KAN,0,0%,18,29%,2,8%
40,Ben Niemann,LB,KAN,0,0%,17,27%,18,69%
41,Deandre Baker,CB,KAN,0,0%,16,25%,13,50%
42,Armani Watts,SS,KAN,0,0%,13,21%,18,69%
43,Josh Jackson,CB,KAN,0,0%,0,0%,18,69%
44,Dorian O'Daniel,LB,KAN,0,0%,0,0%,18,69%
45,Harrison Butker,K,KAN,0,0%,0,0%,17,65%
46,Tommy Townsend,P,KAN,0,0%,0,0%,9,35%
47,James Winchester,LS,KAN,0,0%,0,0%,9,35%
0,Kolton Miller,T,LVR,63,100%,0,0%,2,8%
1,John Simpson,G,LVR,63,100%,0,0%,2,8%
2,Alex Leatherwood,T,LVR,63,100%,0,0%,2,8%
3,Andre James,C,LVR,63,100%,0,0%,0,0%
4,Derek Carr,QB,LVR,63,100%,0,0%,0,0%
5,Foster Moreau,TE,LVR,62,98%,0,0%,9,35%
6,Brandon Parker,T,LVR,62,98%,0,0%,2,8%
7,Hunter Renfrow,WR,LVR,59,94%,0,0%,1,4%
8,Zay Jones,WR,LVR,53,84%,0,0%,0,0%
9,Josh Jacobs,RB,LVR,47,75%,0,0%,0,0%
10,Bryan Edwards,WR,LVR,39,62%,0,0%,0,0%
11,DeSean Jackson,WR,LVR,32,51%,0,0%,0,0%
12,Trey Ragas,RB,LVR,9,14%,0,0%,9,35%
13,Peyton Barber,RB,LVR,7,11%,0,0%,0,0%
14,Jackson Barton,T,LVR,3,5%,0,0%,0,0%
15,Sutton Smith,FB,LVR,2,3%,0,0%,9,35%
16,Daniel Helm,TE,LVR,1,2%,0,0%,15,58%
17,Tyron Johnson,WR,LVR,1,2%,0,0%,9,35%
18,Marcus Mariota,QB,LVR,1,2%,0,0%,0,0%
19,Trevon Moehrig,FS,LVR,0,0%,66,100%,11,42%
20,Johnathan Abram,SS,LVR,0,0%,66,100%,2,8%
21,Casey Hayward,CB,LVR,0,0%,64,97%,0,0%
22,Nate Hobbs,CB,LVR,0,0%,61,92%,10,38%
23,Maxx Crosby,DE,LVR,0,0%,54,82%,8,31%
24,Divine Deablo,LB,LVR,0,0%,52,79%,6,23%
25,K.J. Wright,LB,LVR,0,0%,49,74%,0,0%
26,Yannick Ngakoue,DE,LVR,0,0%,47,71%,0,0%
27,Quinton Jefferson,DT,LVR,0,0%,43,65%,8,31%
28,Johnathan Hankins,NT,LVR,0,0%,43,65%,7,27%
29,Trayvon Mullen,CB,LVR,0,0%,40,61%,0,0%
30,Solomon Thomas,DT,LVR,0,0%,29,44%,8,31%
31,Brandon Facyson,CB,LVR,0,0%,26,39%,9,35%
32,Cory Littleton,LB,LVR,0,0%,19,29%,12,46%
33,Clelin Ferrell,DE,LVR,0,0%,17,26%,15,58%
34,Darius Philon,DT,LVR,0,0%,15,23%,3,12%
35,Malcolm Koonce,DE,LVR,0,0%,15,23%,1,4%
36,Dallin Leavitt,FS,LVR,0,0%,13,20%,24,92%
37,Marquel Lee,LB,LVR,0,0%,5,8%,24,92%
38,Desmond Trufant,CB,LVR,0,0%,2,3%,0,0%
39,Keisean Nixon,CB,LVR,0,0%,0,0%,16,62%
40,Roderic Teamer,CB,LVR,0,0%,0,0%,16,62%
41,William Compton,LB,LVR,0,0%,0,0%,15,58%
42,Javin White,LB,LVR,0,0%,0,0%,11,42%
43,Trent Sieg,LS,LVR,0,0%,0,0%,6,23%
44,AJ Cole III,P,LVR,0,0%,0,0%,6,23%
45,Daniel Carlson,K,LVR,0,0%,0,0%,4,15%
46,Jordan Simmons,G,LVR,0,0%,0,0%,2,8%
47,Nick Martin,C,LVR,0,0%,0,0%,2,8%
