,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,David Quessenberry,G,TEN,71,100%,0,0%,5,24%
1,Nate Davis,G,TEN,71,100%,0,0%,5,24%
2,Taylor Lewan,T,TEN,68,96%,0,0%,5,24%
3,Ben Jones,C,TEN,68,96%,0,0%,3,14%
4,Ryan Tannehill,QB,TEN,68,96%,0,0%,0,0%
5,Geoff Swaim,TE,TEN,54,76%,0,0%,10,48%
6,Nick Westbrook-Ikhine,WR,TEN,52,73%,0,0%,1,5%
7,Cody Hollister,WR,TEN,43,61%,0,0%,10,48%
8,Rodger Saffold,G,TEN,40,56%,0,0%,2,10%
9,MyCole Pruitt,TE,TEN,33,46%,0,0%,6,29%
10,Julio Jones,WR,TEN,32,45%,0,0%,0,0%
11,Aaron Brewer,C,TEN,31,44%,0,0%,0,0%
12,Anthony Firkser,TE,TEN,30,42%,0,0%,4,19%
13,Jeremy McNichols,RB,TEN,27,38%,0,0%,0,0%
14,Dontrell Hilliard,RB,TEN,24,34%,0,0%,1,5%
15,D'Onta Foreman,RB,TEN,23,32%,0,0%,0,0%
16,Chester Rogers,WR,TEN,16,23%,0,0%,6,29%
17,Tory Carter,TE,TEN,11,15%,0,0%,4,19%
18,Racey McMath,WR,TEN,10,14%,0,0%,15,71%
19,Kendall Lamm,T,TEN,3,4%,0,0%,5,24%
20,Corey Levin,C,TEN,3,4%,0,0%,5,24%
21,Logan Woodside,QB,TEN,3,4%,0,0%,0,0%
22,Buster Skrine,CB,TEN,0,0%,55,100%,0,0%
23,Amani Hooker,FS,TEN,0,0%,53,97%,5,24%
24,Elijah Molden,CB,TEN,0,0%,52,95%,0,0%
25,Jayon Brown,LB,TEN,0,0%,51,93%,0,0%
26,Kevin Byard,FS,TEN,0,0%,48,87%,0,0%
27,Kristian Fulton,CB,TEN,0,0%,47,86%,3,14%
28,Harold Landry,LB,TEN,0,0%,42,76%,0,0%
29,Jeffery Simmons,DT,TEN,0,0%,41,75%,0,0%
30,Denico Autry,DE,TEN,0,0%,35,64%,0,0%
31,Rashaan Evans,LB,TEN,0,0%,33,60%,0,0%
32,Naquan Jones,DT,TEN,0,0%,31,56%,0,0%
33,Derick Roberson,LB,TEN,0,0%,24,44%,5,24%
34,Olasunkanmi Adeniyi,LB,TEN,0,0%,23,42%,15,71%
35,Greg Mabin,CB,TEN,0,0%,21,38%,5,24%
36,Kyle Peko,DT,TEN,0,0%,13,24%,5,24%
37,Chris Jones,CB,TEN,0,0%,9,16%,2,10%
38,Kevin Strong,DE,TEN,0,0%,9,16%,0,0%
39,Dane Cruikshank,SS,TEN,0,0%,7,13%,11,52%
40,Dylan Cole,LB,TEN,0,0%,4,7%,16,76%
41,Matthias Farley,FS,TEN,0,0%,3,5%,15,71%
42,Larrell Murchison,DT,TEN,0,0%,3,5%,0,0%
43,Nick Dzubnar,LB,TEN,0,0%,0,0%,16,76%
44,Joseph Jones,LB,TEN,0,0%,0,0%,16,76%
45,Morgan Cox,LS,TEN,0,0%,0,0%,10,48%
