,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Darious Williams,LAR,0,13,6,46.2%,115,19.2,8.8,0,77.4,12.9,96,19,0,0,0,0.0,0,6,0,0.0%
1,Kareem Orr,LAR,0,5,5,100.0%,66,13.2,13.2,0,118.7,9.8,49,17,0,0,0,0.0,0,4,1,20.0%
2,Jordan Fuller,LAR,0,6,5,83.3%,75,15.0,12.5,0,118.7,15.3,59,16,0,0,0,0.0,0,6,2,25.0%
3,Ernest Jones,LAR,1,5,4,80.0%,39,9.8,7.8,0,59.6,2.6,8,31,2,0,0,0.0,0,7,1,12.5%
4,Leonard Floyd,LAR,1,3,3,100.0%,16,5.3,5.3,0,49.3,0.3,1,15,11,4,1,0.0,5,8,0,0.0%
5,David Long,LAR,0,9,3,33.3%,17,5.7,1.9,0,42.4,12.0,10,7,1,0,0,0.0,0,6,1,14.3%
6,Nick Scott,LAR,0,3,2,66.7%,22,11.0,7.3,0,88.2,14.3,16,6,0,0,0,0.0,0,4,0,0.0%
7,Taylor Rapp,LAR,0,2,2,100.0%,25,12.5,12.5,0,118.7,11.5,23,2,2,0,0,0.0,0,4,1,20.0%
8,Ogbonnia Okoronkwo,LAR,0,1,1,100.0%,7,7.0,7.0,0,95.8,-1.0,-1,8,4,1,1,0.0,2,0,0,
9,Von Miller,LAR,0,2,1,50.0%,2,2.0,1.0,0,56.2,14.0,-5,7,8,2,0,0.0,2,4,1,20.0%
10,Justin Hollins,LAR,0,1,1,100.0%,12,12.0,12.0,0,116.7,5.0,5,7,4,2,0,0.0,2,2,0,0.0%
11,Terrell Burgess,LAR,0,1,1,100.0%,10,10.0,10.0,0,108.3,-4.0,-4,14,0,0,0,0.0,0,1,1,50.0%
12,Aaron Donald,LAR,0,0,0,,,,,,,,,,0,4,0,3.0,7,5,1,16.7%
13,Greg Gaines,LAR,0,0,0,,,,,,,,,,0,0,0,1.0,1,5,0,0.0%
15,Byron Murphy,ARI,0,7,6,85.7%,80,13.3,11.4,0,114.3,14.4,59,21,1,1,0,0.0,1,3,1,25.0%
16,Jalen Thompson,ARI,0,6,6,100.0%,94,15.7,15.7,1,158.3,12.2,73,21,0,0,0,0.0,0,9,0,0.0%
17,Robert Alford,ARI,0,6,4,66.7%,40,10.0,6.7,0,85.4,5.2,22,18,0,0,0,0.0,0,7,0,0.0%
18,Jordan Hicks,ARI,0,3,3,100.0%,53,17.7,17.7,0,118.7,4.7,14,39,3,1,0,0.0,1,7,1,12.5%
19,Antonio Hamilton,ARI,0,2,2,100.0%,-2,-1.0,-1.0,1,118.7,-1.0,-2,0,0,0,0,0.0,0,1,0,0.0%
20,Markus Golden,ARI,0,1,1,100.0%,2,2.0,2.0,0,79.2,-2.0,-2,4,8,1,1,0.0,2,0,3,100.0%
21,Marco Wilson,ARI,0,3,1,33.3%,4,4.0,1.3,1,81.9,7.3,4,0,0,0,0,0.0,0,2,1,33.3%
22,Budda Baker,ARI,0,1,1,100.0%,23,23.0,23.0,0,118.7,21.0,21,2,1,0,0,0.0,0,5,1,16.7%
23,Zach Allen,ARI,0,0,0,,,,,,,,,,0,1,1,1.0,3,4,0,0.0%
24,Chandler Jones,ARI,0,0,0,,,,,,,,,,7,1,0,1.0,2,3,1,25.0%
25,Jordan Phillips,ARI,0,1,0,0.0%,,,0.0,,39.6,1.0,,,0,0,0,1.0,1,5,0,0.0%
26,Devon Kennard,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
27,Isaiah Simmons,ARI,0,1,0,0.0%,,,0.0,,39.6,-3.0,,,2,0,0,0.0,0,4,0,0.0%
28,Dennis Gardeck,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
