,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Sean Harlow,G,ARI,78,100%,0,0%,5,19%
1,Kelvin Beachum,T,ARI,78,100%,0,0%,5,19%
2,D.J. Humphries,T,ARI,78,100%,0,0%,5,19%
3,Max Garcia,C,ARI,78,100%,0,0%,5,19%
4,Rodney Hudson,C,ARI,78,100%,0,0%,0,0%
5,Kyler Murray,QB,ARI,78,100%,0,0%,0,0%
6,James Conner,RB,ARI,75,96%,0,0%,0,0%
7,DeAndre Hopkins,WR,ARI,68,87%,0,0%,0,0%
8,Zach Ertz,TE,ARI,65,83%,0,0%,0,0%
9,Christian Kirk,WR,ARI,58,74%,0,0%,1,4%
10,A.J. Green,WR,ARI,56,72%,0,0%,0,0%
11,Rondale Moore,WR,ARI,34,44%,0,0%,9,33%
12,Demetrius Harris,TE,ARI,17,22%,0,0%,13,48%
13,Antoine Wesley,WR,ARI,7,9%,0,0%,0,0%
14,Darrell Daniels,TE,ARI,4,5%,0,0%,13,48%
15,Jonathan Ward,RB,ARI,3,4%,0,0%,11,41%
16,Eno Benjamin,RB,ARI,3,4%,0,0%,0,0%
17,Byron Murphy,CB,ARI,0,0%,58,100%,1,4%
18,Jordan Hicks,LB,ARI,0,0%,57,98%,6,22%
19,Isaiah Simmons,LB,ARI,0,0%,57,98%,5,19%
20,Budda Baker,SS,ARI,0,0%,56,97%,1,4%
21,Jalen Thompson,FS,ARI,0,0%,55,95%,11,41%
22,Marco Wilson,CB,ARI,0,0%,53,91%,9,33%
23,Chandler Jones,LB,ARI,0,0%,50,86%,6,22%
24,Zach Allen,DE,ARI,0,0%,45,78%,6,22%
25,Jordan Phillips,DE,ARI,0,0%,41,71%,0,0%
26,Markus Golden,LB,ARI,0,0%,40,69%,0,0%
27,Robert Alford,CB,ARI,0,0%,35,60%,7,26%
28,Corey Peters,DT,ARI,0,0%,30,52%,6,22%
29,Devon Kennard,LB,ARI,0,0%,19,33%,0,0%
30,Leki Fotu,DT,ARI,0,0%,12,21%,11,41%
31,Rashard Lawrence,NT,ARI,0,0%,12,21%,0,0%
32,Dennis Gardeck,LB,ARI,0,0%,9,16%,22,81%
33,Michael Dogbe,DE,ARI,0,0%,3,5%,0,0%
34,Joe Walker,LB,ARI,0,0%,2,3%,22,81%
35,Antonio Hamilton,CB,ARI,0,0%,2,3%,16,59%
36,Deionte Thompson,SS,ARI,0,0%,2,3%,15,56%
37,Chris Banjo,FS,ARI,0,0%,0,0%,22,81%
38,Zaven Collins,LB,ARI,0,0%,0,0%,16,59%
39,Victor Dimukeje,LB,ARI,0,0%,0,0%,16,59%
40,Matt Prater,K,ARI,0,0%,0,0%,10,37%
41,Aaron Brewer,LS,ARI,0,0%,0,0%,6,22%
42,Andy Lee,P,ARI,0,0%,0,0%,6,22%
43,Justin Pugh,G,ARI,0,0%,0,0%,5,19%
44,Josh Jones,G,ARI,0,0%,0,0%,5,19%
0,Joseph Noteboom,T,LAR,58,100%,0,0%,6,22%
1,David Edwards,G,LAR,58,100%,0,0%,6,22%
2,Austin Corbett,G,LAR,58,100%,0,0%,6,22%
3,Coleman Shelton,G,LAR,58,100%,0,0%,6,22%
4,Sony Michel,RB,LAR,58,100%,0,0%,0,0%
5,Andrew Whitworth,T,LAR,58,100%,0,0%,0,0%
6,Matthew Stafford,QB,LAR,58,100%,0,0%,0,0%
7,Kendall Blanton,TE,LAR,52,90%,0,0%,7,26%
8,Cooper Kupp,WR,LAR,52,90%,0,0%,1,4%
9,Van Jefferson,WR,LAR,46,79%,0,0%,1,4%
10,Odell Beckham Jr.,WR,LAR,42,72%,0,0%,0,0%
11,Brycen Hopkins,TE,LAR,20,34%,0,0%,4,15%
12,Ben Skowronek,WR,LAR,14,24%,0,0%,15,56%
13,Bobby Evans,G,LAR,6,10%,0,0%,6,22%
14,Taylor Rapp,FS,LAR,0,0%,78,100%,1,4%
15,Darious Williams,CB,LAR,0,0%,78,100%,0,0%
16,David Long,CB,LAR,0,0%,78,100%,0,0%
17,Jordan Fuller,SS,LAR,0,0%,78,100%,0,0%
18,Aaron Donald,DT,LAR,0,0%,74,95%,0,0%
19,Greg Gaines,NT,LAR,0,0%,74,95%,0,0%
20,Ernest Jones,LB,LAR,0,0%,68,87%,1,4%
21,Leonard Floyd,LB,LAR,0,0%,65,83%,0,0%
22,Von Miller,LB,LAR,0,0%,61,78%,0,0%
23,Kareem Orr,CB,LAR,0,0%,40,51%,0,0%
24,Nick Scott,SS,LAR,0,0%,39,50%,21,78%
25,A'Shawn Robinson,DT,LAR,0,0%,38,49%,5,19%
26,Terrell Burgess,FS,LAR,0,0%,33,42%,18,67%
27,Ogbonnia Okoronkwo,LB,LAR,0,0%,19,24%,0,0%
28,Justin Hollins,LB,LAR,0,0%,17,22%,3,11%
29,Marquise Copeland,DT,LAR,0,0%,11,14%,5,19%
30,Troy Reeder,LB,LAR,0,0%,7,9%,21,78%
31,Michael Hoecht,DT,LAR,0,0%,0,0%,26,97%
32,Christian Rozeboom,LB,LAR,0,0%,0,0%,21,78%
33,Jamir Jones,LB,LAR,0,0%,0,0%,20,74%
34,Antoine Brooks Jr.,DB,LAR,0,0%,0,0%,15,56%
35,Matt Gay,K,LAR,0,0%,0,0%,13,48%
36,Mekhi Sargent,RB,LAR,0,0%,0,0%,12,45%
37,Brandon Powell,WR,LAR,0,0%,0,0%,10,37%
38,Juju Hughes,FS,LAR,0,0%,0,0%,10,37%
39,Matthew Orzech,LS,LAR,0,0%,0,0%,9,33%
40,Johnny Hekker,P,LAR,0,0%,0,0%,9,33%
41,Grant Haley,CB,LAR,0,0%,0,0%,7,26%
42,Alaric Jackson,T,LAR,0,0%,0,0%,6,22%
43,Bobby Brown,NT,LAR,0,0%,0,0%,5,19%
