,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Anthony Hitchens,KAN,1,0,0,0,1,0.0,8,5,3,0,1,0,0,0,0
1,Nick Bolton,KAN,0,0,0,0,3,0.0,14,10,4,0,1,0,0,0,0
2,Charvarius Ward,KAN,0,0,0,0,2,0.0,10,7,3,0,0,0,0,0,0
3,Ben Niemann,KAN,0,0,0,0,0,0.0,9,6,3,1,0,1,0,0,0
4,Mike Hughes,KAN,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
5,Juan Thornhill,KAN,0,0,0,0,0,0.0,4,4,0,0,1,0,0,0,0
6,Rashad Fenton,KAN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
7,Melvin Ingram,KAN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
8,Jarran Reed,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
9,Deandre Baker,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
10,Frank Clark,KAN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Tyrann Mathieu,KAN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Derrick Nnadi,KAN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
13,Daniel Sorensen,KAN,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,0
14,Tershawn Wharton,KAN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,1
15,Michael Danna,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Patrick Mahomes,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Alex Okafor,KAN,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
18,Armani Watts,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Uchenna Nwosu,LAC,1,2,0,2,2,0.0,1,0,1,0,1,0,0,0,0
22,Joey Bosa,LAC,0,0,0,0,0,1.0,5,3,2,0,1,0,0,0,1
23,Kyzir White,LAC,0,0,0,0,0,0.0,9,9,0,1,1,0,0,0,0
24,Trey Marshall,LAC,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
25,Tevaughn Campbell,LAC,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
26,Chris Harris Jr.,LAC,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
27,Michael Davis,LAC,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
28,Nasir Adderley,LAC,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
29,Derwin James,LAC,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
30,Justin Jones,LAC,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
31,Linval Joseph,LAC,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
32,Chris Rumph,LAC,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
33,Jerry Tillery,LAC,0,0,0,0,0,0.0,3,2,1,0,2,0,0,0,0
34,Drue Tranquill,LAC,0,0,0,0,0,0.0,3,2,1,0,0,1,16,0,0
35,Davontae Harris,LAC,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
36,Justin Jackson,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Nick Niemann,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
