,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Devin McCourty,NWE,1,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
1,Deatrich Wise Jr.,NWE,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
2,Adrian Phillips,NWE,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0
3,Kyle Van Noy,NWE,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
4,Jamie Collins,NWE,0,0,0,0,2,0.0,5,2,3,1,0,0,0,0,0
5,Kyle Dugger,NWE,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
6,Davon Godchaux,NWE,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
7,Matt Judon,NWE,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
8,Christian Barmore,NWE,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0
9,Lawrence Guy,NWE,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
10,Dont'a Hightower,NWE,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
11,J.C. Jackson,NWE,0,0,0,0,3,0.0,3,0,3,0,0,0,0,0,0
12,Carl Davis,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Jalen Mills,NWE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
14,Jahlani Tavai,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
15,Ja'Whaun Bentley,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Brandon Bolden,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Myles Bryant,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Cody Davis,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
19,Jakob Johnson,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Brandon King,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Gunner Olszewski,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
22,Jonnu Smith,NWE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
25,Darius Leonard,IND,1,-3,0,-3,1,0.0,10,8,2,1,1,0,0,0,1
26,Bobby Okereke,IND,1,16,0,16,1,0.0,3,3,0,0,0,0,0,0,0
27,DeForest Buckner,IND,0,0,0,0,0,1.0,4,3,1,1,2,0,0,0,0
28,Khari Willis,IND,0,0,0,0,0,0.0,9,5,4,1,0,0,0,0,0
29,Kenny Moore,IND,0,0,0,0,2,0.0,6,5,1,1,0,0,0,0,0
30,Isaiah Rodgers,IND,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
31,Andrew Sendejo,IND,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
32,Zaire Franklin,IND,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
33,Xavier Rhodes,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
34,Isaac Rochell,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,E.J. Speed,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
36,Grover Stewart,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
37,T.J. Carrie,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,George Odum,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
39,Kwity Paye,IND,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
40,Rock Ya-Sin,IND,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
41,Kemoko Turay,IND,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
