,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Mac Jones,NWE,26,45,299,2,2,1,15,43,74.2,1,12,0,12,0,0,0,0,0,0,0
1,Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,10,36,0,13,1,1,4,0,4,1,0
2,Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,2,19,0,18,3,3,44,0,20,0,0
3,Jakobi Meyers,NWE,0,0,0,0,0,0,0,0,,1,9,0,9,12,6,44,0,10,0,0
4,Brandon Bolden,NWE,0,0,0,0,0,0,0,0,,4,3,0,3,5,3,41,0,16,0,0
5,Jonnu Smith,NWE,0,0,0,0,0,0,0,0,,1,2,0,2,3,1,3,0,3,0,0
6,Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,77,2,25,0,0
7,N'Keal Harry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,52,0,43,0,0
8,Nelson Agholor,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,34,0,10,0,0
9,Gunner Olszewski,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
12,Carson Wentz,IND,5,12,57,1,1,1,8,23,49.7,8,17,0,11,0,0,0,0,0,0,0
13,Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,29,170,1,67,0,0,0,0,0,0,0
14,Ashton Dulin,IND,0,0,0,0,0,0,0,0,,2,39,0,37,0,0,0,0,0,0,0
15,Zach Pascal,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,23,0,23,0,0
16,T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0
17,Nyheim Hines,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,1,8,0,0
18,Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,7,0,7,0,0
19,Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
20,Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
