,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Danny Pinter,G,IND,52,100%,0,0%,7,28%
1,Eric Fisher,T,IND,52,100%,0,0%,7,28%
2,Quenton Nelson,G,IND,52,100%,0,0%,7,28%
3,Carson Wentz,QB,IND,52,100%,0,0%,0,0%
4,Braden Smith,T,IND,52,100%,0,0%,0,0%
5,Mark Glowinski,G,IND,52,100%,0,0%,0,0%
6,Jonathan Taylor,RB,IND,51,98%,0,0%,0,0%
7,Jack Doyle,TE,IND,41,79%,0,0%,2,8%
8,Mo Alie-Cox,TE,IND,40,77%,0,0%,9,36%
9,Zach Pascal,WR,IND,34,65%,0,0%,4,16%
10,Ashton Dulin,WR,IND,28,54%,0,0%,14,56%
11,Michael Pittman Jr.,WR,IND,28,54%,0,0%,0,0%
12,T.Y. Hilton,WR,IND,14,27%,0,0%,0,0%
13,Nyheim Hines,RB,IND,10,19%,0,0%,4,16%
14,Kylen Granson,TE,IND,10,19%,0,0%,0,0%
15,Matt Pryor,T,IND,3,6%,0,0%,7,28%
16,Dezmon Patmon,WR,IND,1,2%,0,0%,0,0%
17,Kenny Moore,CB,IND,0,0%,68,100%,6,24%
18,Darius Leonard,LB,IND,0,0%,67,99%,3,12%
19,Khari Willis,SS,IND,0,0%,67,99%,3,12%
20,Bobby Okereke,LB,IND,0,0%,67,99%,2,8%
21,Andrew Sendejo,FS,IND,0,0%,65,96%,8,32%
22,DeForest Buckner,DT,IND,0,0%,59,87%,11,44%
23,Xavier Rhodes,CB,IND,0,0%,49,72%,0,0%
24,Al-Quadin Muhammad,DE,IND,0,0%,47,69%,0,0%
25,Kwity Paye,DE,IND,0,0%,46,68%,0,0%
26,Rock Ya-Sin,CB,IND,0,0%,42,62%,8,32%
27,Grover Stewart,DT,IND,0,0%,34,50%,11,44%
28,Isaiah Rodgers,CB,IND,0,0%,31,46%,9,36%
29,Kemoko Turay,DE,IND,0,0%,27,40%,0,0%
30,Taylor Stallworth,DT,IND,0,0%,25,37%,3,12%
31,Dayo Odeyingbo,DE,IND,0,0%,15,22%,0,0%
32,Zaire Franklin,LB,IND,0,0%,12,18%,16,64%
33,Isaac Rochell,DE,IND,0,0%,12,18%,3,12%
34,Chris Williams,DT,IND,0,0%,6,9%,2,8%
35,E.J. Speed,LB,IND,0,0%,5,7%,14,56%
36,George Odum,FS,IND,0,0%,3,4%,18,72%
37,T.J. Carrie,CB,IND,0,0%,1,1%,9,36%
38,Matthew Adams,LB,IND,0,0%,0,0%,17,68%
39,Rigoberto Sanchez,P,IND,0,0%,0,0%,15,60%
40,Jordan Glasgow,LB,IND,0,0%,0,0%,14,56%
41,Jahleel Addae,FS,IND,0,0%,0,0%,11,44%
42,Luke Rhodes,LS,IND,0,0%,0,0%,10,40%
43,Deon Jackson,RB,IND,0,0%,0,0%,7,28%
44,Chris Reed,G,IND,0,0%,0,0%,7,28%
45,Michael Badgley,K,IND,0,0%,0,0%,7,28%
0,Isaiah Wynn,T,NWE,68,100%,0,0%,3,12%
1,Shaq Mason,G,NWE,68,100%,0,0%,3,12%
2,Ted Karras,C,NWE,68,100%,0,0%,3,12%
3,Trent Brown,T,NWE,68,100%,0,0%,3,12%
4,David Andrews,C,NWE,68,100%,0,0%,0,0%
5,Mac Jones,QB,NWE,68,100%,0,0%,0,0%
6,Jakobi Meyers,WR,NWE,64,94%,0,0%,1,4%
7,Hunter Henry,TE,NWE,55,81%,0,0%,6,24%
8,Kendrick Bourne,WR,NWE,48,71%,0,0%,1,4%
9,Brandon Bolden,RB,NWE,38,56%,0,0%,13,52%
10,N'Keal Harry,WR,NWE,36,53%,0,0%,6,24%
11,Nelson Agholor,WR,NWE,32,47%,0,0%,0,0%
12,Rhamondre Stevenson,RB,NWE,31,46%,0,0%,0,0%
13,Jonnu Smith,TE,NWE,17,25%,0,0%,0,0%
14,Jakob Johnson,FB,NWE,10,15%,0,0%,12,48%
15,Michael Onwenu,G,NWE,6,9%,0,0%,3,12%
16,Gunner Olszewski,WR,NWE,3,4%,0,0%,12,48%
17,Devin McCourty,FS,NWE,0,0%,52,100%,8,32%
18,Jalen Mills,CB,NWE,0,0%,52,100%,2,8%
19,J.C. Jackson,CB,NWE,0,0%,52,100%,0,0%
20,Dont'a Hightower,LB,NWE,0,0%,48,92%,2,8%
21,Matt Judon,LB,NWE,0,0%,47,90%,9,36%
22,Kyle Van Noy,LB,NWE,0,0%,47,90%,0,0%
23,Davon Godchaux,NT,NWE,0,0%,44,85%,7,28%
24,Adrian Phillips,SS,NWE,0,0%,42,81%,4,16%
25,Jamie Collins,LB,NWE,0,0%,37,71%,12,48%
26,Christian Barmore,DT,NWE,0,0%,35,67%,7,28%
27,Lawrence Guy,DT,NWE,0,0%,33,63%,12,48%
28,Kyle Dugger,FS,NWE,0,0%,29,56%,1,4%
29,Myles Bryant,CB,NWE,0,0%,21,40%,7,28%
30,Carl Davis,NT,NWE,0,0%,16,31%,0,0%
31,Ja'Whaun Bentley,LB,NWE,0,0%,11,21%,0,0%
32,Deatrich Wise Jr.,DE,NWE,0,0%,4,8%,0,0%
33,Daniel Ekuale,DT,NWE,0,0%,2,4%,0,0%
34,Justin Bethel,FS,NWE,0,0%,0,0%,22,88%
35,Brandon King,LB,NWE,0,0%,0,0%,22,88%
36,Matthew Slater,WR,NWE,0,0%,0,0%,22,88%
37,Cody Davis,FS,NWE,0,0%,0,0%,22,88%
38,Jahlani Tavai,LB,NWE,0,0%,0,0%,14,56%
39,Chase Winovich,DE,NWE,0,0%,0,0%,12,48%
40,Jake Bailey,P,NWE,0,0%,0,0%,9,36%
41,Joe Cardona,LS,NWE,0,0%,0,0%,6,24%
42,Nick Folk,K,NWE,0,0%,0,0%,4,16%
43,Justin Herron,T,NWE,0,0%,0,0%,3,12%
44,Shaun Wade,CB,NWE,0,0%,0,0%,2,8%
