,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Garret Wallow,HOU,0,6,5,83.3%,53,10.6,8.8,0,103.5,6.3,35,18,2,0,0,1.0,1,11,0,0.0%
1,Tavierre Thomas,HOU,0,6,5,83.3%,51,10.2,8.5,0,102.1,5.2,27,24,3,0,0,0.0,0,11,0,0.0%
2,Neville Hewitt,HOU,0,5,3,60.0%,25,8.3,5.0,0,72.9,3.4,17,8,1,0,0,0.0,0,10,0,0.0%
3,Lonnie Johnson Jr.,HOU,0,4,2,50.0%,13,6.5,3.3,0,57.3,11.5,1,12,0,0,0,0.0,0,3,3,50.0%
4,Jonathan Owens,HOU,0,2,2,100.0%,23,11.5,11.5,0,114.6,7.5,15,8,0,0,0,0.0,0,8,1,11.1%
5,Eric Murray,HOU,0,3,2,66.7%,18,9.0,6.0,0,82.6,8.3,5,13,0,0,0,0.0,0,8,0,0.0%
6,Desmond King,HOU,0,9,2,22.2%,20,10.0,2.2,0,39.6,6.4,5,15,0,0,0,0.0,0,3,1,25.0%
7,Tremon Smith,HOU,0,1,1,100.0%,7,7.0,7.0,0,95.8,7.0,7,0,0,1,0,0.0,1,2,0,0.0%
8,Chris Smith,HOU,0,0,0,,,,,,,,,,0,1,1,1.0,3,5,1,16.7%
9,Derek Rivers,HOU,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%
11,Rudy Ford,JAX,0,6,6,100.0%,39,6.5,6.5,0,93.7,2.3,14,25,5,0,0,0.0,0,3,0,0.0%
12,Tyson Campbell,JAX,1,9,6,66.7%,77,12.8,8.6,1,90.7,10.2,28,49,0,0,0,0.0,0,4,0,0.0%
13,Shaquill Griffin,JAX,0,4,4,100.0%,73,18.3,18.3,1,158.3,11.5,46,27,0,0,0,0.0,0,5,1,16.7%
14,Myles Jack,JAX,0,4,2,50.0%,8,4.0,2.0,0,56.2,2.8,5,3,6,0,0,0.0,0,6,0,0.0%
15,Andre Cisco,JAX,0,1,1,100.0%,6,6.0,6.0,0,91.7,2.0,2,4,0,0,0,0.0,0,1,0,0.0%
16,Daniel Thomas,JAX,0,2,1,50.0%,6,6.0,3.0,0,56.2,6.5,6,0,1,0,0,0.0,0,3,0,0.0%
17,Damien Wilson,JAX,0,2,0,0.0%,,,0.0,,39.6,13.5,,,4,1,1,0.0,2,4,0,0.0%
18,Taven Bryan,JAX,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
19,Malcom Brown,JAX,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
20,Andrew Wingard,JAX,0,0,0,,,,,,,,,,1,0,0,0.0,0,9,0,0.0%
21,Josh Allen,JAX,0,1,0,0.0%,,,0.0,,39.6,6.0,,,0,0,0,0.0,0,2,0,0.0%
22,Dawuane Smoot,JAX,0,0,0,,,,,,,,,,1,0,0,0.0,0,5,0,0.0%
23,Lerentee McCray,JAX,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
24,K'Lavon Chaisson,JAX,0,1,0,0.0%,,,0.0,,39.6,0.0,,,0,0,0,0.0,0,2,0,0.0%
