,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Larry Ogunjobi,CIN,0,0,0,0,0,1.5,4,1,3,1,3,0,0,0,0
1,Germaine Pratt,CIN,0,0,0,0,0,0.5,15,9,6,0,1,0,0,0,0
2,Markus Bailey,CIN,0,0,0,0,1,0.5,5,1,4,0,1,0,0,0,0
3,Trey Hendrickson,CIN,0,0,0,0,0,0.5,3,1,2,1,2,0,0,0,0
4,Joe Bachie,CIN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
5,Vonn Bell,CIN,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
6,Jessie Bates III,CIN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
7,B.J. Hill,CIN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
8,D.J. Reader,CIN,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
9,Mike Hilton,CIN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
10,Khalid Kareem,CIN,0,0,0,0,0,0.0,2,2,0,1,1,1,4,0,1
11,Josh Tupou,CIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
12,Trae Waynes,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Eli Apple,CIN,0,0,0,0,2,0.0,1,1,0,1,0,0,0,0,0
14,Tre Flowers,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Sam Hubbard,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Keandre Jones,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Samaje Perine,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Mitchell Wilcox,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Justin Simmons,DEN,0,0,0,0,0,1.5,4,2,2,1,2,0,0,0,0
22,Shelby Harris,DEN,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
23,Jonathon Cooper,DEN,0,0,0,0,0,0.5,6,4,2,0,1,0,0,0,0
24,Baron Browning,DEN,0,0,0,0,0,0.0,10,6,4,0,0,0,0,0,0
25,Jonas Griffith,DEN,0,0,0,0,0,0.0,9,8,1,1,2,0,0,0,0
26,Patrick Surtain II,DEN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
27,Bradley Chubb,DEN,0,0,0,0,1,0.0,4,1,3,0,1,0,0,0,0
28,Mike Purcell,DEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
29,Bryce Callahan,DEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
30,Ronald Darby,DEN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
31,Kareem Jackson,DEN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
32,Justin Strnad,DEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
33,Andrew Beck,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
34,Nate Hairston,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
35,Drew Lock,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
36,Stephen Weatherly,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,DeShawn Williams,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
