,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Markus Golden,ARI,0,0,0,0,0,1.0,8,8,0,2,2,0,0,0,0
1,Jordan Phillips,ARI,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
2,Jalen Thompson,ARI,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,0
3,Chandler Jones,ARI,0,0,0,0,1,0.0,6,4,2,1,0,0,0,0,0
4,Isaiah Simmons,ARI,0,0,0,0,1,0.0,6,6,0,0,0,0,0,0,0
5,Budda Baker,ARI,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
6,Jordan Hicks,ARI,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
7,Zach Allen,ARI,0,0,0,0,0,0.0,4,2,2,0,2,0,0,0,0
8,Dennis Gardeck,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
9,Antonio Hamilton,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
10,Rashard Lawrence,ARI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
11,Leki Fotu,ARI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,1
12,Michael Dogbe,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,Byron Murphy,ARI,0,0,0,0,0,0.0,2,2,0,0,0,1,0,0,0
14,James Conner,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Demetrius Harris,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Corey Peters,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Deionte Thompson,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Charles Washington,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Marco Wilson,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Kyler Murray,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,-4,0,0
23,Amani Oruwariye,DET,1,50,0,50,2,0.0,5,4,1,0,0,0,0,0,0
24,Charles Harris,DET,0,0,0,0,0,1.5,12,7,5,3,2,0,0,0,0
25,Jessie Lemonier,DET,0,0,0,0,0,0.5,4,2,2,0,1,0,0,0,0
26,AJ Parker,DET,0,0,0,0,2,0.0,6,6,0,0,0,0,0,0,0
27,Derrick Barnes,DET,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
28,Will Harris,DET,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
29,Dean Marlowe,DET,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
30,Jalen Reeves-Maybin,DET,0,0,0,0,2,0.0,5,4,1,0,0,0,0,0,0
31,Brady Breeze,DET,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
32,Michael Brockers,DET,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
33,Curtis Bolton,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
34,Jason Cabinda,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
35,C.J. Moore,DET,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0
36,Rashod Berry,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
37,Austin Bryant,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Alim McNeill,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Levi Onwuzurike,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Anthony Pittman,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Saivion Smith,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Nick Williams,DET,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
