,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Davis Mills,HOU,19,30,209,2,1,1,3,43,92.2,1,2,0,2,0,0,0,0,0,0,0
1,Rex Burkhead,HOU,0,0,0,0,0,0,0,0,,16,41,0,8,3,1,6,0,6,0,0
2,David Johnson,HOU,0,0,0,0,0,0,0,0,,6,24,0,6,1,1,3,0,3,0,0
3,Royce Freeman,HOU,0,0,0,0,0,0,0,0,,3,8,0,4,0,0,0,0,0,0,0
4,Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,102,2,43,0,0
5,Phillip Dorsett,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,43,0,33,0,0
6,Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,18,0,0
7,Nico Collins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,0,7,0,0
8,Chris Conley,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,0,11,0,0
9,Pharaoh Brown,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,3,0,0
12,Trevor Lawrence,JAX,22,38,210,0,0,3,21,30,73.4,5,21,0,10,0,0,0,0,0,0,0
13,James Robinson,JAX,0,0,0,0,0,0,0,0,,18,75,1,16,6,3,13,0,5,0,0
14,Laviska Shenault Jr.,JAX,0,0,0,0,0,0,0,0,,1,10,0,10,7,4,39,0,11,0,0
15,Dare Ogunbowale,JAX,0,0,0,0,0,0,0,0,,1,1,0,1,2,1,5,0,5,0,0
16,James O'Shaughnessy,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,60,0,30,0,0
17,Laquon Treadwell,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,57,0,21,0,0
18,Marvin Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,0,9,0,0
19,Chris Manhertz,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
20,Tavon Austin,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0
