,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Matt Ryan,ATL,19,32,236,1,0,3,23,49,92.7,5,20,0,8,0,0,0,0,0,1,1
1,Mike Davis,ATL,0,0,0,0,0,0,0,0,,6,21,0,7,1,0,0,0,0,0,0
2,Cordarrelle Patterson,ATL,0,0,0,0,0,0,0,0,,11,18,0,4,2,2,5,0,5,0,0
3,Qadree Ollison,ATL,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,4,0,4,0,0
4,Russell Gage,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,91,1,21,0,0
5,Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,77,0,49,0,0
6,Olamide Zaccheaus,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,53,0,49,0,0
7,Hayden Hurst,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,4,0,0
8,Christian Blake,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
9,Tajae Sharpe,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
10,Lee Smith,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
13,Jimmy Garoppolo,SFO,18,23,235,1,0,0,0,36,123.7,3,4,0,2,0,0,0,0,0,1,0
14,Deebo Samuel,SFO,0,1,0,0,0,0,0,0,39.6,6,29,1,10,5,4,60,0,30,0,0
15,Jeff Wilson,SFO,0,0,0,0,0,0,0,0,,21,110,1,17,2,2,9,0,6,0,0
16,Jamycal Hasty,SFO,0,0,0,0,0,0,0,0,,1,13,0,13,1,1,3,0,3,1,1
17,Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,1,6,1,6,1,1,6,0,6,0,0
18,George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,93,0,28,0,0
19,Brandon Aiyuk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,36,0,36,0,0
20,Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,28,1,15,0,0
21,Trent Sherfield,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
