,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Taysom Hill,NOR,13,27,154,0,0,2,3,40,66.0,11,33,0,9,0,0,0,0,0,0,0
1,Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,11,18,0,8,6,2,13,0,7,0,0
2,Mark Ingram,NOR,0,0,0,0,0,0,0,0,,9,10,0,6,2,2,8,0,5,0,0
3,Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,112,0,40,0,0
4,Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,9,1,0
5,Adam Trautman,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
6,Nick Vannett,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
7,Ty Montgomery,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
10,Tom Brady,TAM,26,48,214,0,1,4,30,23,57.1,1,2,0,2,0,0,0,0,0,1,1
11,Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,8,63,0,30,2,2,8,0,5,0,0
12,Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,9,34,0,8,7,7,33,0,8,0,0
13,Ke'Shawn Vaughn,TAM,0,0,0,0,0,0,0,0,,3,19,0,17,2,0,0,0,0,0,0
14,Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,49,0,23,0,0
15,Tyler Johnson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,41,0,18,0,0
16,Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,2,29,0,19,0,0
17,Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,16,0,0
18,Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,13,0,0
19,Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0
20,O.J. Howard,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
21,Jaelon Darden,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
