,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Jamison Crowder,NYJ,8,5,40,0,2,32,6.4,8,1.6,6.3,0,,0,0.0,0,75.0
1,Tyler Kroft,NYJ,2,2,35,0,2,-1,-0.5,36,18.0,-0.5,0,,0,0.0,0,118.7
2,Ryan Griffin,NYJ,2,2,39,0,2,9,4.5,30,15.0,4.5,0,,0,0.0,0,118.7
3,Michael Carter,NYJ,2,1,2,0,1,-3,-3.0,5,5.0,-2.0,0,,0,0.0,0,56.2
4,Trevon Wesco,NYJ,1,1,19,0,1,3,3.0,16,16.0,3.0,0,,0,0.0,0,118.7
5,Keelan Cole,NYJ,2,1,9,0,,9,9.0,0,0.0,10.0,0,,0,0.0,0,62.5
6,Braxton Berrios,NYJ,1,1,26,0,0,17,17.0,9,9.0,-5.0,0,,0,0.0,0,118.7
7,Denzel Mims,NYJ,3,0,0,0,,0,,0,,10.3,0,,0,0.0,0,39.6
8,Zach Wilson,NYJ,1,0,0,0,0,0,,0,,8.0,0,,0,0.0,0,39.6
10,Mike Gesicki,MIA,8,5,43,0,2,21,4.2,22,4.4,8.4,0,,0,0.0,1,37.0
11,DeVante Parker,MIA,8,4,68,1,3,53,13.3,15,3.8,11.5,0,,0,0.0,0,118.7
12,Isaiah Ford,MIA,3,3,51,0,2,40,13.3,11,3.7,13.3,0,,0,0.0,0,118.7
13,Duke Johnson,MIA,1,1,20,0,1,-8,-8.0,28,28.0,-8.0,2,0.5,0,0.0,0,118.7
14,Durham Smythe,MIA,1,1,4,0,,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3
15,Christian Wilkins,MIA,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
16,Albert Wilson,MIA,2,1,9,0,1,12,12.0,-3,-3.0,24.5,1,1.0,0,0.0,0,62.5
17,Mack Hollins,MIA,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6
18,Hunter Long,MIA,1,0,0,0,,0,,0,,4.0,0,,0,0.0,1,0.0
