,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Garett Bolles,T,DEN,75,100%,0,0%,3,12%
1,Dalton Risner,G,DEN,75,100%,0,0%,3,12%
2,Quinn Meinerz,G,DEN,75,100%,0,0%,3,12%
3,Lloyd Cushenberry III,C,DEN,75,100%,0,0%,0,0%
4,Bobby Massie,T,DEN,75,100%,0,0%,0,0%
5,Tim Patrick,WR,DEN,71,95%,0,0%,0,0%
6,Courtland Sutton,WR,DEN,69,92%,0,0%,0,0%
7,Noah Fant,TE,DEN,60,80%,0,0%,0,0%
8,Jerry Jeudy,WR,DEN,52,69%,0,0%,0,0%
9,Javonte Williams,RB,DEN,44,59%,0,0%,0,0%
10,Teddy Bridgewater,QB,DEN,43,57%,0,0%,0,0%
11,Drew Lock,QB,DEN,32,43%,0,0%,0,0%
12,Melvin Gordon,RB,DEN,31,41%,0,0%,0,0%
13,Albert Okwuegbunam,TE,DEN,30,40%,0,0%,0,0%
14,Kendall Hinton,WR,DEN,11,15%,0,0%,0,0%
15,Eric Saubert,TE,DEN,3,4%,0,0%,22,85%
16,Andrew Beck,TE,DEN,2,3%,0,0%,19,73%
17,Diontae Spencer,WR,DEN,2,3%,0,0%,11,42%
18,Justin Simmons,FS,DEN,0,0%,53,100%,3,12%
19,Patrick Surtain II,CB,DEN,0,0%,53,100%,0,0%
20,Baron Browning,LB,DEN,0,0%,53,100%,0,0%
21,Kareem Jackson,SS,DEN,0,0%,52,98%,0,0%
22,Bryce Callahan,CB,DEN,0,0%,50,94%,1,4%
23,Ronald Darby,CB,DEN,0,0%,48,91%,0,0%
24,Bradley Chubb,LB,DEN,0,0%,44,83%,0,0%
25,Jonas Griffith,LB,DEN,0,0%,42,79%,6,23%
26,Jonathon Cooper,LB,DEN,0,0%,39,74%,10,38%
27,DeShawn Williams,DT,DEN,0,0%,29,55%,4,15%
28,Shelby Harris,DE,DEN,0,0%,28,53%,3,12%
29,Stephen Weatherly,LB,DEN,0,0%,22,42%,7,27%
30,Mike Purcell,NT,DEN,0,0%,21,40%,6,23%
31,Shamar Stephen,DE,DEN,0,0%,17,32%,4,15%
32,McTelvin Agim,DE,DEN,0,0%,13,25%,1,4%
33,Nate Hairston,CB,DEN,0,0%,10,19%,19,73%
34,Kyle Fuller,CB,DEN,0,0%,6,11%,1,4%
35,P.J. Locke,FS,DEN,0,0%,2,4%,23,88%
36,Aaron Patrick,LB,DEN,0,0%,1,2%,23,88%
37,Justin Strnad,LB,DEN,0,0%,0,0%,23,88%
38,Mike Ford,CB,DEN,0,0%,0,0%,22,85%
39,Damarea Crockett,RB,DEN,0,0%,0,0%,13,50%
40,Micah Kiser,LB,DEN,0,0%,0,0%,13,50%
41,Jamar Johnson,FS,DEN,0,0%,0,0%,13,50%
42,Sam Martin,P,DEN,0,0%,0,0%,9,35%
43,Jacob Bobenmoyer,LS,DEN,0,0%,0,0%,9,35%
44,Brandon McManus,K,DEN,0,0%,0,0%,6,23%
45,Netane Muti,G,DEN,0,0%,0,0%,3,12%
46,Austin Schlottmann,G,DEN,0,0%,0,0%,3,12%
0,Fred Johnson,T,CIN,53,100%,0,0%,3,12%
1,Jonah Williams,T,CIN,53,100%,0,0%,3,12%
2,Quinton Spain,G,CIN,53,100%,0,0%,3,12%
3,Trey Hopkins,C,CIN,53,100%,0,0%,0,0%
4,Joe Burrow,QB,CIN,53,100%,0,0%,0,0%
5,Ja'Marr Chase,WR,CIN,51,96%,0,0%,0,0%
6,Tee Higgins,WR,CIN,46,87%,0,0%,0,0%
7,Tyler Boyd,WR,CIN,46,87%,0,0%,0,0%
8,C.J. Uzomah,TE,CIN,42,79%,0,0%,4,15%
9,Jackson Carman,G,CIN,33,62%,0,0%,3,12%
10,Joe Mixon,RB,CIN,31,58%,0,0%,0,0%
11,Hakeem Adeniji,G,CIN,20,38%,0,0%,3,12%
12,Samaje Perine,RB,CIN,16,30%,0,0%,20,77%
13,Drew Sample,TE,CIN,16,30%,0,0%,13,50%
14,Chris Evans,RB,CIN,6,11%,0,0%,2,8%
15,Mike Thomas,WR,CIN,5,9%,0,0%,13,50%
16,D'Ante Smith,G,CIN,3,6%,0,0%,0,0%
17,Stanley Morgan Jr.,WR,CIN,2,4%,0,0%,20,77%
18,Mitchell Wilcox,TE,CIN,1,2%,0,0%,20,77%
19,Jessie Bates III,FS,CIN,0,0%,75,100%,3,12%
20,Germaine Pratt,LB,CIN,0,0%,75,100%,3,12%
21,Eli Apple,CB,CIN,0,0%,75,100%,0,0%
22,Vonn Bell,SS,CIN,0,0%,70,93%,3,12%
23,Trae Waynes,CB,CIN,0,0%,69,92%,0,0%
24,Sam Hubbard,DE,CIN,0,0%,68,91%,3,12%
25,Mike Hilton,CB,CIN,0,0%,58,77%,0,0%
26,Trey Hendrickson,DE,CIN,0,0%,58,77%,0,0%
27,Larry Ogunjobi,DT,CIN,0,0%,50,67%,3,12%
28,D.J. Reader,NT,CIN,0,0%,44,59%,3,12%
29,B.J. Hill,DT,CIN,0,0%,44,59%,3,12%
30,Markus Bailey,LB,CIN,0,0%,34,45%,18,69%
31,Joe Bachie,LB,CIN,0,0%,28,37%,2,8%
32,Josh Tupou,NT,CIN,0,0%,22,29%,6,23%
33,Ricardo Allen,SS,CIN,0,0%,18,24%,4,15%
34,Cameron Sample,DE,CIN,0,0%,15,20%,0,0%
35,Khalid Kareem,DE,CIN,0,0%,13,17%,0,0%
36,Tre Flowers,CB,CIN,0,0%,8,11%,20,77%
37,Wyatt Ray,DE,CIN,0,0%,1,1%,3,12%
