,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Ben Bartch,T,JAX,70,100%,0,0%,4,13%
1,Jawaan Taylor,T,JAX,70,100%,0,0%,4,13%
2,Andrew Norwell,G,JAX,70,100%,0,0%,4,13%
3,Brandon Linder,G,JAX,70,100%,0,0%,0,0%
4,Trevor Lawrence,QB,JAX,70,100%,0,0%,0,0%
5,Laquon Treadwell,WR,JAX,68,97%,0,0%,6,19%
6,Marvin Jones,WR,JAX,65,93%,0,0%,0,0%
7,James Robinson,RB,JAX,59,84%,0,0%,0,0%
8,Laviska Shenault Jr.,WR,JAX,47,67%,0,0%,0,0%
9,James O'Shaughnessy,TE,JAX,44,63%,0,0%,0,0%
10,Walker Little,T,JAX,38,54%,0,0%,0,0%
11,Cam Robinson,T,JAX,33,47%,0,0%,2,6%
12,Jacob Hollister,TE,JAX,20,29%,0,0%,11,34%
13,Chris Manhertz,TE,JAX,18,26%,0,0%,2,6%
14,Tavon Austin,WR,JAX,16,23%,0,0%,0,0%
15,Dare Ogunbowale,RB,JAX,10,14%,0,0%,5,16%
16,Malcom Brown,DT,JAX,1,1%,35,59%,6,19%
17,Jaydon Mickens,WR,JAX,1,1%,0,0%,12,38%
18,Andrew Wingard,FS,JAX,0,0%,59,100%,8,25%
19,Shaquill Griffin,CB,JAX,0,0%,59,100%,1,3%
20,Myles Jack,LB,JAX,0,0%,59,100%,0,0%
21,Tyson Campbell,CB,JAX,0,0%,56,95%,11,34%
22,Damien Wilson,LB,JAX,0,0%,49,83%,0,0%
23,Dawuane Smoot,DE,JAX,0,0%,48,81%,0,0%
24,Josh Allen,LB,JAX,0,0%,41,69%,6,19%
25,Rudy Ford,SS,JAX,0,0%,39,66%,14,44%
26,Roy Robertson-Harris,DT,JAX,0,0%,37,63%,0,0%
27,Andre Cisco,SS,JAX,0,0%,28,47%,23,72%
28,Daniel Thomas,SS,JAX,0,0%,26,44%,18,56%
29,DaVon Hamilton,DT,JAX,0,0%,25,42%,10,31%
30,Adam Gotsis,DE,JAX,0,0%,22,37%,14,44%
31,Taven Bryan,DT,JAX,0,0%,19,32%,6,19%
32,K'Lavon Chaisson,LB,JAX,0,0%,17,29%,11,34%
33,Rayshawn Jenkins,SS,JAX,0,0%,15,25%,3,9%
34,Jihad Ward,LB,JAX,0,0%,12,20%,3,9%
35,Lerentee McCray,DE,JAX,0,0%,3,5%,24,75%
36,Chris Claybrooks,CB,JAX,0,0%,0,0%,28,88%
37,Dakota Allen,LB,JAX,0,0%,0,0%,22,69%
38,Shaquille Quarterman,LB,JAX,0,0%,0,0%,22,69%
39,Chapelle Russell,LB,JAX,0,0%,0,0%,17,53%
40,Logan Cooke,P,JAX,0,0%,0,0%,12,38%
41,Tre Herndon,CB,JAX,0,0%,0,0%,12,38%
42,Ross Matiscik,LS,JAX,0,0%,0,0%,9,28%
43,Nathan Cottrell,RB,JAX,0,0%,0,0%,7,22%
44,Matthew Wright,K,JAX,0,0%,0,0%,6,19%
45,Tyler Shatley,G,JAX,0,0%,0,0%,4,13%
46,KC McDermott,T,JAX,0,0%,0,0%,4,13%
0,Charlie Heck,T,HOU,59,100%,0,0%,6,19%
1,Tytus Howard,T,HOU,59,100%,0,0%,6,19%
2,Max Scharping,G,HOU,59,100%,0,0%,6,19%
3,Geron Christian,T,HOU,59,100%,0,0%,6,19%
4,Justin Britt,C,HOU,59,100%,0,0%,0,0%
5,Davis Mills,QB,HOU,59,100%,0,0%,0,0%
6,Brandin Cooks,WR,HOU,49,83%,0,0%,0,0%
7,Pharaoh Brown,TE,HOU,45,76%,0,0%,6,19%
8,Rex Burkhead,RB,HOU,38,64%,0,0%,0,0%
9,Chris Conley,WR,HOU,38,64%,0,0%,0,0%
10,Nico Collins,WR,HOU,36,61%,0,0%,0,0%
11,Jordan Akins,TE,HOU,20,34%,0,0%,0,0%
12,Antony Auclair,TE,HOU,18,31%,0,0%,17,53%
13,Jordan Veasy,WR,HOU,15,25%,0,0%,20,63%
14,Phillip Dorsett,WR,HOU,15,25%,0,0%,0,0%
15,David Johnson,RB,HOU,12,20%,0,0%,0,0%
16,Royce Freeman,RB,HOU,9,15%,0,0%,5,16%
