,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Chukwuma Okorafor,T,PIT,49,100%,0,0%,6,22%
1,Dan Moore,T,PIT,49,100%,0,0%,6,22%
2,Trai Turner,G,PIT,49,100%,0,0%,0,0%
3,Ben Roethlisberger,QB,PIT,49,100%,0,0%,0,0%
4,John Leglue,T,PIT,49,100%,0,0%,0,0%
5,Najee Harris,RB,PIT,49,100%,0,0%,0,0%
6,Kendrick Green,C,PIT,49,100%,0,0%,0,0%
7,Diontae Johnson,WR,PIT,48,98%,0,0%,0,0%
8,Zach Gentry,TE,PIT,37,76%,0,0%,10,37%
9,Ray-Ray McCloud,WR,PIT,33,67%,0,0%,7,26%
10,Chase Claypool,WR,PIT,31,63%,0,0%,0,0%
11,Pat Freiermuth,TE,PIT,22,45%,0,0%,2,7%
12,James Washington,WR,PIT,17,35%,0,0%,0,0%
13,Derek Watt,FB,PIT,6,12%,0,0%,18,67%
14,Minkah Fitzpatrick,SS,PIT,1,2%,80,100%,3,11%
15,Zach Banner,T,PIT,1,2%,0,0%,6,22%
16,Terrell Edmunds,SS,PIT,0,0%,80,100%,3,11%
17,Cameron Sutton,CB,PIT,0,0%,79,99%,3,11%
18,Cameron Heyward,DT,PIT,0,0%,73,91%,7,26%
19,T.J. Watt,LB,PIT,0,0%,67,84%,2,7%
20,Alex Highsmith,LB,PIT,0,0%,66,83%,3,11%
21,Joe Schobert,LB,PIT,0,0%,57,71%,3,11%
22,Chris Wormley,DE,PIT,0,0%,56,70%,8,30%
23,Ahkello Witherspoon,CB,PIT,0,0%,56,70%,2,7%
24,Devin Bush Jr.,LB,PIT,0,0%,53,66%,3,11%
25,Arthur Maulet,CB,PIT,0,0%,44,55%,5,19%
26,Robert Spillane,LB,PIT,0,0%,34,43%,16,59%
27,Joe Haden,CB,PIT,0,0%,27,34%,1,4%
28,Isaiahh Loudermilk,DE,PIT,0,0%,24,30%,2,7%
29,Henry Mondeaux,DE,PIT,0,0%,21,26%,3,11%
30,Derrek Tuszka,LB,PIT,0,0%,20,25%,11,41%
31,Carlos Davis,DT,PIT,0,0%,15,19%,1,4%
32,Marcus Allen,LB,PIT,0,0%,8,10%,18,67%
33,Tre Norwood,FS,PIT,0,0%,8,10%,10,37%
34,Taco Charlton,DE,PIT,0,0%,7,9%,0,0%
35,Miles Killebrew,FS,PIT,0,0%,5,6%,18,67%
36,Ulysees Gilbert,LB,PIT,0,0%,0,0%,18,67%
37,Benny Snell Jr.,RB,PIT,0,0%,0,0%,18,67%
38,Justin Layne,CB,PIT,0,0%,0,0%,14,52%
39,James Pierre,CB,PIT,0,0%,0,0%,14,52%
40,Chris Boswell,K,PIT,0,0%,0,0%,12,44%
41,Christian Kuntz,LS,PIT,0,0%,0,0%,11,41%
42,Pressley Harvin III,P,PIT,0,0%,0,0%,11,41%
43,Cody White,WR,PIT,0,0%,0,0%,8,30%
44,Rashaad Coward,T,PIT,0,0%,0,0%,6,22%
45,Joe Haeg,T,PIT,0,0%,0,0%,4,15%
46,Kalen Ballage,RB,PIT,0,0%,0,0%,4,15%
0,Taylor Lewan,T,TEN,80,100%,0,0%,3,11%
1,David Quessenberry,G,TEN,80,100%,0,0%,3,11%
2,Nate Davis,G,TEN,80,100%,0,0%,3,11%
3,Ben Jones,C,TEN,80,100%,0,0%,0,0%
4,Aaron Brewer,C,TEN,80,100%,0,0%,0,0%
5,Ryan Tannehill,QB,TEN,80,100%,0,0%,0,0%
6,Nick Westbrook-Ikhine,WR,TEN,71,89%,0,0%,5,19%
7,Geoff Swaim,TE,TEN,59,74%,0,0%,12,44%
8,Cody Hollister,WR,TEN,56,70%,0,0%,10,37%
9,D'Onta Foreman,RB,TEN,31,39%,0,0%,0,0%
10,Dontrell Hilliard,RB,TEN,29,36%,0,0%,2,7%
11,Chester Rogers,WR,TEN,28,35%,0,0%,12,44%
12,MyCole Pruitt,TE,TEN,27,34%,0,0%,3,11%
13,Julio Jones,WR,TEN,27,34%,0,0%,0,0%
14,Jeremy McNichols,RB,TEN,23,29%,0,0%,6,22%
15,Racey McMath,WR,TEN,22,28%,0,0%,16,59%
16,Anthony Firkser,TE,TEN,17,21%,0,0%,6,22%
17,Khari Blasingame,FB,TEN,5,6%,0,0%,17,63%
18,Kendall Lamm,T,TEN,5,6%,0,0%,3,11%
19,Buster Skrine,CB,TEN,0,0%,49,100%,11,41%
20,Kristian Fulton,CB,TEN,0,0%,49,100%,2,7%
21,Kevin Byard,FS,TEN,0,0%,49,100%,0,0%
22,Amani Hooker,FS,TEN,0,0%,46,94%,5,19%
23,Jeffery Simmons,DT,TEN,0,0%,44,90%,7,26%
24,Harold Landry,LB,TEN,0,0%,44,90%,0,0%
25,Elijah Molden,CB,TEN,0,0%,43,88%,0,0%
26,Rashaan Evans,LB,TEN,0,0%,36,73%,0,0%
27,Zach Cunningham,LB,TEN,0,0%,33,67%,0,0%
28,Naquan Jones,DT,TEN,0,0%,31,63%,6,22%
29,Denico Autry,DE,TEN,0,0%,29,59%,7,26%
30,Bud Dupree,LB,TEN,0,0%,29,59%,0,0%
31,Jayon Brown,LB,TEN,0,0%,16,33%,0,0%
32,Kyle Peko,DT,TEN,0,0%,14,29%,10,37%
33,Greg Mabin,CB,TEN,0,0%,13,27%,3,11%
