,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,D.J. Wonnum,MIN,0,0,0,0,0,3.0,8,7,1,2,4,0,0,0,1
1,Harrison Smith,MIN,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
2,Cameron Dantzler,MIN,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,1
3,Eric Kendricks,MIN,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0
4,Patrick Peterson,MIN,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
5,Anthony Barr,MIN,0,0,0,0,0,0.0,5,2,3,0,0,1,0,0,0
6,Nick Vigil,MIN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
7,Mackensie Alexander,MIN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
8,James Lynch,MIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
9,Michael Pierce,MIN,0,0,0,0,0,0.0,3,1,2,1,1,0,0,0,0
10,Sheldon Richardson,MIN,0,0,0,0,0,0.0,3,2,1,1,2,1,0,0,1
11,Xavier Woods,MIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
12,Patrick Jones II,MIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,Ezra Cleveland,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Myles Dorn,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
15,Troy Dye,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Blake Lynch,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Tye Smith,MIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
18,Luke Stocker,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Kris Boyd,MIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
20,Christian Darrisaw,MIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
23,Deon Bush,CHI,1,27,0,27,1,0.0,4,3,1,0,0,0,0,0,0
24,Akiem Hicks,CHI,0,0,0,0,0,2.0,5,4,1,2,3,0,0,0,0
25,Robert Quinn,CHI,0,0,0,0,0,2.0,4,2,2,1,1,0,0,0,1
26,Roquan Smith,CHI,0,0,0,0,0,0.0,10,3,7,0,0,0,0,0,0
27,Alec Ogletree,CHI,0,0,0,0,0,0.0,8,6,2,1,1,0,0,0,0
28,Thomas Graham,CHI,0,0,0,0,3,0.0,7,2,5,0,0,0,0,0,0
29,Teez Tabor,CHI,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
30,Bilal Nichols,CHI,0,0,0,0,0,0.0,5,1,4,0,1,0,0,0,0
31,Bruce Irvin,CHI,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
32,Kindle Vildor,CHI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
33,Angelo Blackson,CHI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
34,Dee Virgin,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
35,Marqui Christian,CHI,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
36,Margus Hunt,CHI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
37,Eddie Goldman,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
38,Jesper Horsted,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Ledarius Mack,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Darnell Mooney,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Nsimba Webster,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Damien Williams,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
43,Justin Fields,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
