,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Foster Moreau,LVR,9,7,65,0,2,14,2.0,51,7.3,2.6,1,7.0,1,11.1,0,96.8
1,Zay Jones,LVR,9,6,67,0,4,56,9.3,11,1.8,18.9,0,,0,0.0,1,49.1
2,Bryan Edwards,LVR,4,3,8,1,2,12,4.0,-4,-1.3,4.5,1,3.0,0,0.0,0,116.7
3,Josh Jacobs,LVR,4,3,42,0,2,11,3.7,31,10.3,4.3,1,3.0,1,25.0,0,108.3
4,Hunter Renfrow,LVR,5,3,32,0,2,21,7.0,11,3.7,5.8,0,,0,0.0,0,78.7
5,Peyton Barber,LVR,1,1,12,0,1,6,6.0,6,6.0,6.0,0,,0,0.0,0,116.7
6,Daniel Helm,LVR,1,1,-1,0,,-3,-3.0,2,2.0,-3.0,0,,0,0.0,0,79.2
7,DeSean Jackson,LVR,3,1,11,0,1,11,11.0,0,0.0,21.7,0,,1,33.3,0,45.1
9,D'Ernest Johnson,CLE,4,4,17,0,,-4,-1.0,21,5.3,-1.0,1,4.0,0,0.0,0,84.4
10,Donovan Peoples-Jones,CLE,8,4,48,0,2,38,9.5,10,2.5,13.9,0,,1,12.5,0,68.7
11,Demetric Felton,CLE,4,3,16,0,1,10,3.3,6,2.0,2.8,0,,1,25.0,0,81.2
12,Rashard Higgins,CLE,5,3,24,0,1,18,6.0,6,2.0,7.4,0,,0,0.0,0,72.1
13,David Njoku,CLE,5,3,29,0,3,3,1.0,26,8.7,7.6,0,,0,0.0,0,76.2
14,Harrison Bryant,CLE,2,2,11,1,2,11,5.5,0,0.0,5.5,0,,0,0.0,0,129.2
15,Nick Chubb,CLE,1,1,2,0,0,0,0.0,2,2.0,0.0,0,,0,0.0,0,79.2
