,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Cody Whitehair,G,CHI,73,100%,0,0%,2,10%
1,James Daniels,G,CHI,73,100%,0,0%,2,10%
2,Sam Mustipher,C,CHI,73,100%,0,0%,2,10%
3,Teven Jenkins,T,CHI,73,100%,0,0%,2,10%
4,Germain Ifedi,T,CHI,73,100%,0,0%,2,10%
5,Justin Fields,QB,CHI,73,100%,0,0%,0,0%
6,Darnell Mooney,WR,CHI,70,96%,0,0%,0,0%
7,Cole Kmet,TE,CHI,69,95%,0,0%,4,19%
8,Damiere Byrd,WR,CHI,66,90%,0,0%,5,24%
9,David Montgomery,RB,CHI,51,70%,0,0%,0,0%
10,Dazz Newsome,WR,CHI,48,66%,0,0%,2,10%
11,Jimmy Graham,TE,CHI,19,26%,0,0%,0,0%
12,Khalil Herbert,RB,CHI,17,23%,0,0%,13,62%
13,Jakeem Grant,WR,CHI,10,14%,0,0%,2,10%
14,J.P. Holtz,TE,CHI,7,10%,0,0%,9,43%
15,Damien Williams,RB,CHI,5,7%,0,0%,11,52%
16,Jesper Horsted,TE,CHI,2,3%,0,0%,15,71%
17,Nsimba Webster,WR,CHI,1,1%,0,0%,6,29%
18,Deon Bush,SS,CHI,0,0%,64,100%,7,33%
19,Thomas Graham,CB,CHI,0,0%,64,100%,5,24%
20,Roquan Smith,LB,CHI,0,0%,64,100%,4,19%
21,Kindle Vildor,CB,CHI,0,0%,64,100%,4,19%
22,Teez Tabor,FS,CHI,0,0%,64,100%,3,14%
23,Alec Ogletree,LB,CHI,0,0%,64,100%,1,5%
24,Robert Quinn,LB,CHI,0,0%,49,77%,0,0%
25,Bilal Nichols,DE,CHI,0,0%,42,66%,3,14%
26,Trevis Gipson,LB,CHI,0,0%,37,58%,5,24%
27,Angelo Blackson,DT,CHI,0,0%,34,53%,4,19%
28,Akiem Hicks,DT,CHI,0,0%,34,53%,0,0%
29,Marqui Christian,SS,CHI,0,0%,32,50%,19,90%
30,Bruce Irvin,LB,CHI,0,0%,32,50%,3,14%
31,Eddie Goldman,NT,CHI,0,0%,26,41%,0,0%
32,Margus Hunt,DT,CHI,0,0%,20,31%,10,48%
33,Ledarius Mack,DE,CHI,0,0%,10,16%,2,10%
34,Michael Joseph,CB,CHI,0,0%,3,5%,6,29%
35,LaCale London,DT,CHI,0,0%,1,2%,0,0%
36,Caleb Johnson,LB,CHI,0,0%,0,0%,18,86%
37,Christian Jones,LB,CHI,0,0%,0,0%,18,86%
38,Dee Virgin,CB,CHI,0,0%,0,0%,14,67%
39,Patrick Scales,LS,CHI,0,0%,0,0%,5,24%
40,Charles Snowden,LB,CHI,0,0%,0,0%,5,24%
41,Pat O'Donnell,P,CHI,0,0%,0,0%,5,24%
42,Thakarius Keyes,CB,CHI,0,0%,0,0%,5,24%
43,Cairo Santos,K,CHI,0,0%,0,0%,4,19%
44,Elijah Wilkinson,T,CHI,0,0%,0,0%,2,10%
45,Alex Bars,G,CHI,0,0%,0,0%,2,10%
0,Christian Darrisaw,T,MIN,64,100%,0,0%,3,14%
1,Brian O'Neill,T,MIN,64,100%,0,0%,3,14%
2,Ezra Cleveland,G,MIN,64,100%,0,0%,3,14%
3,Mason Cole,C,MIN,64,100%,0,0%,3,14%
4,Garrett Bradbury,C,MIN,64,100%,0,0%,0,0%
5,Kirk Cousins,QB,MIN,64,100%,0,0%,0,0%
6,Justin Jefferson,WR,MIN,59,92%,0,0%,0,0%
7,Dalvin Cook,RB,MIN,57,89%,0,0%,0,0%
8,K.J. Osborn,WR,MIN,56,88%,0,0%,3,14%
9,Tyler Conklin,TE,MIN,47,73%,0,0%,0,0%
10,Ihmir Smith-Marsette,WR,MIN,31,48%,0,0%,0,0%
11,C.J. Ham,FB,MIN,25,39%,0,0%,0,0%
12,Luke Stocker,TE,MIN,19,30%,0,0%,15,71%
13,Blake Brandel,T,MIN,10,16%,0,0%,3,14%
14,Chris Herndon,TE,MIN,10,16%,0,0%,2,10%
15,Kene Nwangwu,RB,MIN,5,8%,0,0%,3,14%
16,Myron Mitchell,WR,MIN,1,2%,0,0%,0,0%
17,Patrick Peterson,CB,MIN,0,0%,73,100%,2,10%
18,Harrison Smith,SS,MIN,0,0%,73,100%,2,10%
19,Xavier Woods,FS,MIN,0,0%,73,100%,2,10%
20,Anthony Barr,LB,MIN,0,0%,73,100%,0,0%
21,Cameron Dantzler,CB,MIN,0,0%,73,100%,0,0%
22,D.J. Wonnum,DE,MIN,0,0%,64,88%,2,10%
23,Mackensie Alexander,CB,MIN,0,0%,59,81%,4,19%
