,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,David Quessenberry,G,TEN,62,100%,0,0%,4,17%
1,Aaron Brewer,C,TEN,62,100%,0,0%,4,17%
2,Dillon Radunz,T,TEN,62,100%,0,0%,4,17%
3,Nate Davis,G,TEN,62,100%,0,0%,4,17%
4,Ben Jones,C,TEN,62,100%,0,0%,0,0%
5,Ryan Tannehill,QB,TEN,62,100%,0,0%,0,0%
6,A.J. Brown,WR,TEN,46,74%,0,0%,0,0%
7,Geoff Swaim,TE,TEN,39,63%,0,0%,13,57%
8,Nick Westbrook-Ikhine,WR,TEN,39,63%,0,0%,2,9%
9,Chester Rogers,WR,TEN,31,50%,0,0%,6,26%
10,Julio Jones,WR,TEN,31,50%,0,0%,0,0%
11,MyCole Pruitt,TE,TEN,27,44%,0,0%,0,0%
12,Jeremy McNichols,RB,TEN,26,42%,0,0%,0,0%
13,D'Onta Foreman,RB,TEN,21,34%,0,0%,0,0%
14,Anthony Firkser,TE,TEN,16,26%,0,0%,4,17%
15,Dontrell Hilliard,RB,TEN,13,21%,0,0%,1,4%
16,Racey McMath,WR,TEN,10,16%,0,0%,14,61%
17,Khari Blasingame,FB,TEN,9,15%,0,0%,14,61%
18,Corey Levin,C,TEN,2,3%,0,0%,4,17%
19,Kevin Byard,FS,TEN,0,0%,59,100%,0,0%
20,Kristian Fulton,CB,TEN,0,0%,59,100%,0,0%
21,Amani Hooker,FS,TEN,0,0%,58,98%,6,26%
22,Buster Skrine,CB,TEN,0,0%,58,98%,5,22%
23,Jeffery Simmons,DT,TEN,0,0%,54,92%,4,17%
24,Harold Landry,LB,TEN,0,0%,54,92%,0,0%
25,Rashaan Evans,LB,TEN,0,0%,44,75%,0,0%
26,Zach Cunningham,LB,TEN,0,0%,43,73%,5,22%
27,Denico Autry,DE,TEN,0,0%,38,64%,4,17%
28,Janoris Jenkins,CB,TEN,0,0%,37,63%,0,0%
29,Bud Dupree,LB,TEN,0,0%,37,63%,0,0%
30,Naquan Jones,DT,TEN,0,0%,35,59%,3,13%
31,Teair Tart,DT,TEN,0,0%,17,29%,4,17%
32,Jayon Brown,LB,TEN,0,0%,16,27%,9,39%
33,Dane Cruikshank,SS,TEN,0,0%,15,25%,18,78%
34,Kyle Peko,DT,TEN,0,0%,14,24%,5,22%
35,Kevin Strong,DE,TEN,0,0%,7,12%,0,0%
36,Nick Dzubnar,LB,TEN,0,0%,1,2%,19,83%
37,Dylan Cole,LB,TEN,0,0%,1,2%,19,83%
38,Matthias Farley,FS,TEN,0,0%,1,2%,18,78%
39,Greg Mabin,CB,TEN,0,0%,1,2%,0,0%
40,Olasunkanmi Adeniyi,LB,TEN,0,0%,0,0%,19,83%
41,Chris Jackson,CB,TEN,0,0%,0,0%,10,43%
42,Morgan Cox,LS,TEN,0,0%,0,0%,9,39%
43,Randy Bullock,K,TEN,0,0%,0,0%,9,39%
44,Brett Kern,P,TEN,0,0%,0,0%,9,39%
45,Christian DiLauro,T,TEN,0,0%,0,0%,4,17%
0,Laken Tomlinson,G,SFO,59,100%,0,0%,3,13%
1,Tom Compton,T,SFO,59,100%,0,0%,3,13%
2,Daniel Brunskill,G,SFO,59,100%,0,0%,3,13%
3,George Kittle,TE,SFO,59,100%,0,0%,0,0%
4,Alex Mack,C,SFO,59,100%,0,0%,0,0%
5,Jimmy Garoppolo,QB,SFO,59,100%,0,0%,0,0%
6,Trent Williams,T,SFO,59,100%,0,0%,0,0%
7,Brandon Aiyuk,WR,SFO,55,93%,0,0%,5,22%
8,Deebo Samuel,WR,SFO,45,76%,0,0%,0,0%
9,Jeff Wilson,RB,SFO,44,75%,0,0%,0,0%
10,Kyle Juszczyk,FB,SFO,32,54%,0,0%,2,9%
11,Jauan Jennings,WR,SFO,27,46%,0,0%,0,0%
12,Trent Sherfield,WR,SFO,12,20%,0,0%,12,52%
13,Jamycal Hasty,RB,SFO,11,19%,0,0%,5,22%
14,Charlie Woerner,TE,SFO,5,8%,0,0%,18,78%
