,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,George Odum,IND,0,0,0,0,1,0.0,9,8,1,0,0,0,0,0,0
1,E.J. Speed,IND,0,0,0,0,1,0.0,9,8,1,0,0,0,0,0,0
2,Bobby Okereke,IND,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
3,Jahleel Addae,IND,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
4,Isaiah Rodgers,IND,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
5,Kenny Moore,IND,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
6,Xavier Rhodes,IND,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
7,Zaire Franklin,IND,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
8,Al-Quadin Muhammad,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
9,DeForest Buckner,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
10,Grover Stewart,IND,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
11,Matthew Adams,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
12,T.J. Carrie,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
13,Jordan Glasgow,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
14,Dayo Odeyingbo,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Kwity Paye,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Budda Baker,ARI,0,0,0,0,1,1.0,13,7,6,2,2,0,0,0,0
19,Josh Mauro,ARI,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
20,Antonio Hamilton,ARI,0,0,0,0,1,0.0,7,6,1,0,0,0,0,0,0
21,Leki Fotu,ARI,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
22,Jalen Thompson,ARI,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
23,Joe Walker,ARI,0,0,0,0,0,0.0,5,2,3,1,0,0,0,0,0
24,Zach Allen,ARI,0,0,0,0,0,0.0,4,3,1,1,1,0,0,0,0
25,Jordan Hicks,ARI,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
26,Byron Murphy,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
27,Chandler Jones,ARI,0,0,0,0,0,0.0,3,1,2,1,1,0,0,0,0
28,Devon Kennard,ARI,0,0,0,0,0,0.0,3,2,1,2,0,0,0,0,0
29,Corey Peters,ARI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
30,Marco Wilson,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
31,Markus Golden,ARI,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
32,Rashard Lawrence,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
33,Isaiah Simmons,ARI,0,0,0,0,1,0.0,2,2,0,0,1,0,0,0,0
34,Michael Dogbe,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
35,Kyler Murray,ARI,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0
