,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,D.J. Humphries,T,ARI,65,100%,0,0%,5,21%
1,Kelvin Beachum,T,ARI,65,100%,0,0%,5,21%
2,Josh Jones,G,ARI,65,100%,0,0%,5,21%
3,Justin Pugh,G,ARI,65,100%,0,0%,5,21%
4,Max Garcia,C,ARI,65,100%,0,0%,0,0%
5,Kyler Murray,QB,ARI,65,100%,0,0%,0,0%
6,Zach Ertz,TE,ARI,63,97%,0,0%,0,0%
7,Chase Edmonds,RB,ARI,60,92%,0,0%,0,0%
8,A.J. Green,WR,ARI,56,86%,0,0%,0,0%
9,Christian Kirk,WR,ARI,55,85%,0,0%,3,13%
10,Antoine Wesley,WR,ARI,50,77%,0,0%,0,0%
11,Demetrius Harris,TE,ARI,21,32%,0,0%,11,46%
12,Jonathan Ward,RB,ARI,9,14%,0,0%,14,58%
13,Darrell Daniels,TE,ARI,6,9%,0,0%,6,25%
14,Andy Isabella,WR,ARI,5,8%,0,0%,0,0%
15,Jordan Hicks,LB,ARI,0,0%,70,100%,5,21%
16,Byron Murphy,CB,ARI,0,0%,70,100%,3,13%
17,Budda Baker,SS,ARI,0,0%,70,100%,3,13%
18,Jalen Thompson,FS,ARI,0,0%,66,94%,9,38%
19,Chandler Jones,LB,ARI,0,0%,62,89%,1,4%
20,Antonio Hamilton,CB,ARI,0,0%,57,81%,3,13%
21,Zach Allen,DE,ARI,0,0%,51,73%,5,21%
22,Markus Golden,LB,ARI,0,0%,51,73%,0,0%
23,Leki Fotu,DT,ARI,0,0%,40,57%,10,42%
24,Isaiah Simmons,LB,ARI,0,0%,40,57%,0,0%
25,Corey Peters,DT,ARI,0,0%,38,54%,0,0%
26,Joe Walker,LB,ARI,0,0%,30,43%,19,79%
27,Marco Wilson,CB,ARI,0,0%,27,39%,2,8%
28,Kevin Peterson,CB,ARI,0,0%,24,34%,10,42%
29,Rashard Lawrence,NT,ARI,0,0%,22,31%,5,21%
30,Michael Dogbe,DE,ARI,0,0%,18,26%,0,0%
31,Devon Kennard,LB,ARI,0,0%,17,24%,0,0%
32,Josh Mauro,DE,ARI,0,0%,8,11%,4,17%
33,Dennis Gardeck,LB,ARI,0,0%,7,10%,19,79%
34,Deionte Thompson,SS,ARI,0,0%,2,3%,13,54%
35,Chris Banjo,FS,ARI,0,0%,0,0%,19,79%
36,Charles Washington,FS,ARI,0,0%,0,0%,15,63%
37,Victor Dimukeje,LB,ARI,0,0%,0,0%,14,58%
38,Zaven Collins,LB,ARI,0,0%,0,0%,14,58%
39,Matt Prater,K,ARI,0,0%,0,0%,9,38%
40,Aaron Brewer,LS,ARI,0,0%,0,0%,6,25%
41,Sean Harlow,G,ARI,0,0%,0,0%,5,21%
42,Greg Dortch,WR,ARI,0,0%,0,0%,5,21%
43,Joshua Miles,T,ARI,0,0%,0,0%,5,21%
44,Ryan Winslow,P,ARI,0,0%,0,0%,5,21%
45,Colt McCoy,QB,ARI,0,0%,0,0%,2,8%
0,Danny Pinter,G,IND,70,100%,0,0%,5,21%
1,Matt Pryor,T,IND,70,100%,0,0%,5,21%
2,Braden Smith,T,IND,70,100%,0,0%,3,13%
3,Carson Wentz,QB,IND,70,100%,0,0%,0,0%
4,Michael Pittman Jr.,WR,IND,68,97%,0,0%,1,4%
5,Mo Alie-Cox,TE,IND,63,90%,0,0%,9,38%
6,Chris Reed,G,IND,59,84%,0,0%,2,8%
7,Jonathan Taylor,RB,IND,55,79%,0,0%,0,0%
8,Julie'n Davenport,T,IND,52,74%,0,0%,5,21%
9,T.Y. Hilton,WR,IND,47,67%,0,0%,0,0%
10,Kylen Granson,TE,IND,32,46%,0,0%,3,13%
11,Keke Coutee,WR,IND,29,41%,0,0%,0,0%
12,Ashton Dulin,WR,IND,28,40%,0,0%,14,58%
13,Eric Fisher,T,IND,20,29%,0,0%,2,8%
14,Nyheim Hines,RB,IND,18,26%,0,0%,3,13%
15,Will Fries,G,IND,12,17%,0,0%,3,13%
16,Dezmon Patmon,WR,IND,5,7%,0,0%,0,0%
17,Jack Doyle,TE,IND,2,3%,0,0%,0,0%
18,George Odum,FS,IND,0,0%,65,100%,19,79%
19,Kenny Moore,CB,IND,0,0%,65,100%,8,33%
20,E.J. Speed,LB,IND,0,0%,65,100%,7,29%
21,Bobby Okereke,LB,IND,0,0%,65,100%,3,13%
22,Xavier Rhodes,CB,IND,0,0%,65,100%,0,0%
23,Jahleel Addae,FS,IND,0,0%,61,94%,6,25%
24,Isaiah Rodgers,CB,IND,0,0%,55,85%,10,42%
25,DeForest Buckner,DT,IND,0,0%,50,77%,10,42%
26,Al-Quadin Muhammad,DE,IND,0,0%,48,74%,0,0%
27,Kwity Paye,DE,IND,0,0%,43,66%,0,0%
28,Grover Stewart,DT,IND,0,0%,31,48%,10,42%
29,Dayo Odeyingbo,DE,IND,0,0%,27,42%,0,0%
30,Taylor Stallworth,DT,IND,0,0%,24,37%,5,21%
31,Isaac Rochell,DE,IND,0,0%,17,26%,5,21%
32,Ben Banogu,DE,IND,0,0%,14,22%,0,0%
33,Zaire Franklin,LB,IND,0,0%,10,15%,19,79%
34,Chris Williams,DT,IND,0,0%,6,9%,0,0%
35,T.J. Carrie,CB,IND,0,0%,4,6%,13,54%
36,Jordan Glasgow,LB,IND,0,0%,0,0%,19,79%
37,Matthew Adams,LB,IND,0,0%,0,0%,19,79%
38,Rigoberto Sanchez,P,IND,0,0%,0,0%,13,54%
39,Luke Rhodes,LS,IND,0,0%,0,0%,9,38%
40,Will Redmond,SS,IND,0,0%,0,0%,9,38%
41,Malik Jefferson,LB,IND,0,0%,0,0%,9,38%
42,Deon Jackson,RB,IND,0,0%,0,0%,6,25%
43,Anthony Chesley,CB,IND,0,0%,0,0%,5,21%
44,Michael Badgley,K,IND,0,0%,0,0%,5,21%
