,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Dane Jackson,BUF,0,5,4,80.0%,50,12.5,10.0,0,108.3,11.2,39,11,0,0,0,0.0,0,3,0,0.0%
1,Tremaine Edmunds,BUF,0,6,3,50.0%,23,7.7,3.8,0,59.7,4.7,11,12,8,1,0,0.0,1,8,0,0.0%
2,Levi Wallace,BUF,0,6,3,50.0%,15,5.0,2.5,0,56.2,12.3,1,14,0,0,0,0.0,0,1,0,0.0%
3,Taron Johnson,BUF,0,4,2,50.0%,33,16.5,8.3,0,78.1,11.5,21,12,1,0,0,0.0,0,4,0,0.0%
4,Mario Addison,BUF,0,1,1,100.0%,6,6.0,6.0,0,91.7,1.0,1,5,0,3,0,0.0,3,1,0,0.0%
5,Matt Milano,BUF,0,5,1,20.0%,9,9.0,1.8,0,39.6,7.4,4,5,0,0,0,0.0,0,4,0,0.0%
6,Micah Hyde,BUF,2,3,1,33.3%,9,9.0,3.0,0,2.8,18.0,4,5,3,0,0,0.0,0,6,2,25.0%
7,Gregory Rousseau,BUF,0,0,0,,,,,,,,,,0,1,2,0.0,3,0,0,
8,Ed Oliver,BUF,0,0,0,,,,,,,,,,0,0,1,1.0,2,4,0,0.0%
9,Jordan Poyer,BUF,0,2,0,0.0%,,,0.0,,39.6,34.0,,,1,0,0,0.0,0,3,2,40.0%
10,Siran Neal,BUF,0,1,0,0.0%,,,0.0,,39.6,,,,0,0,0,0.0,0,1,0,0.0%
11,Cameron Lewis,BUF,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
13,Myles Bryant,NWE,0,9,7,77.8%,77,11.0,8.6,0,102.3,12.2,62,15,1,0,0,0.0,0,9,1,10.0%
14,J.C. Jackson,NWE,0,11,4,36.4%,69,17.3,6.3,1,88.8,9.4,40,29,0,0,0,0.0,0,3,3,50.0%
15,Jalen Mills,NWE,0,5,4,80.0%,33,8.3,6.6,1,133.7,4.2,19,14,0,0,0,0.0,0,6,0,0.0%
16,Ja'Whaun Bentley,NWE,0,4,3,75.0%,38,12.7,9.5,0,104.2,3.8,14,24,6,2,0,0.0,2,6,2,25.0%
17,Dont'a Hightower,NWE,0,3,3,100.0%,31,10.3,10.3,0,109.7,6.3,19,12,6,0,0,0.0,0,6,1,14.3%
18,Adrian Phillips,NWE,0,4,3,75.0%,19,6.3,4.8,1,124.0,1.5,8,11,1,0,0,0.0,0,5,0,0.0%
19,Kyle Dugger,NWE,0,2,2,100.0%,39,19.5,19.5,0,118.7,13.5,27,12,2,0,1,0.0,1,5,0,0.0%
20,Kyle Van Noy,NWE,0,1,1,100.0%,1,1.0,1.0,0,79.2,-3.0,-3,4,12,3,1,0.0,4,8,1,11.1%
21,Carl Davis,NWE,0,1,1,100.0%,8,8.0,8.0,0,100.0,-1.0,-1,9,0,0,0,0.0,0,0,0,
22,Christian Barmore,NWE,0,0,0,,,,,,,,,,0,2,1,0.0,3,3,1,25.0%
23,Chase Winovich,NWE,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
24,D'Angelo Ross,NWE,0,0,0,,,,,,,,,,1,1,0,0.0,1,0,0,
25,Matt Judon,NWE,0,0,0,,,,,,,,,,11,1,0,0.0,1,3,1,25.0%
26,Lawrence Guy,NWE,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
27,Jamie Collins,NWE,0,0,0,,,,,,,,,,6,1,0,0.0,1,2,0,0.0%
28,Devin McCourty,NWE,0,2,0,0.0%,,,0.0,,39.6,2.0,,,0,0,0,0.0,0,6,1,14.3%
