,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Derrick Barnes,DET,0,0,0,0,0,1.0,3,3,0,0,1,0,0,0,0
1,Austin Bryant,DET,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
2,Alim McNeill,DET,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
3,Jalen Reeves-Maybin,DET,0,0,0,0,1,0.0,8,4,4,0,0,0,0,0,1
4,Will Harris,DET,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
5,Ifeatu Melifonwu,DET,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
6,Anthony Pittman,DET,0,0,0,0,1,0.0,5,1,4,0,0,0,0,0,0
7,Michael Brockers,DET,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
8,Tracy Walker,DET,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
9,Charles Harris,DET,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
10,Dean Marlowe,DET,0,0,0,0,0,0.0,3,1,2,0,0,1,0,0,0
11,Brady Breeze,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Levi Onwuzurike,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,AJ Parker,DET,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
14,Nick Williams,DET,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
15,Curtis Bolton,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,John Penisini,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Rashod Berry,DET,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
20,Foyesade Oluokun,ATL,1,6,0,6,1,0.0,14,8,6,1,0,0,0,0,0
21,Deion Jones,ATL,0,0,0,0,1,0.0,10,8,2,0,0,0,0,0,0
22,Duron Harmon,ATL,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
23,Richie Grant,ATL,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
24,AJ Terrell,ATL,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
25,Mykal Walker,ATL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
26,Jaylinn Hawkins,ATL,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
27,Jonathan Bullard,ATL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
28,Brandon Copeland,ATL,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
29,Dante Fowler,ATL,0,0,0,0,0,0.0,3,0,3,0,1,0,0,0,0
30,Darren Hall,ATL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
31,Grady Jarrett,ATL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Fabian Moreau,ATL,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
33,Steven Means,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
34,Mike Pennel,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
35,Anthony Rush,ATL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
36,Ta'Quon Graham,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
37,Adetokunbo Ogundeji,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
38,Keith Smith,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,Avery Williams,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,James Vaughters,ATL,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
