,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Tony Jefferson,BAL,0,0,0,0,1,1.0,10,6,4,1,1,0,0,0,0
1,Isaiah Mack,BAL,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0
2,Broderick Washington Jr.,BAL,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
3,Patrick Queen,BAL,0,0,0,0,1,0.0,9,4,5,1,0,0,0,0,0
4,Kevon Seymour,BAL,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0
5,Josh Bynes,BAL,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
6,Chuck Clark,BAL,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
7,Brandon Stephens,BAL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
8,Daryl Worley,BAL,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
9,Tyus Bowser,BAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
10,Tavon Young,BAL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
11,Anthony Averett,BAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
12,Anthony Levine,BAL,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
13,Justin Ellis,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
14,Jaylon Ferguson,BAL,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
15,Malik Harrison,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
16,Robert Jackson,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
17,Josh Johnson,BAL,0,0,0,0,0,0.0,1,1,0,0,0,2,10,0,0
18,Kahlil McKenzie,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Nick Moore,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Odafe Oweh,BAL,0,0,0,0,0,0.0,1,0,1,0,2,0,0,0,0
21,Jordan Richards,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,Joe Thomas,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
23,Eric Tomlinson,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
24,Brandon Williams,BAL,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
27,Vonn Bell,CIN,1,15,0,15,2,0.0,5,2,3,0,0,0,0,0,0
28,Trey Hendrickson,CIN,0,0,0,0,0,1.0,2,2,0,2,3,0,0,0,0
29,Markus Bailey,CIN,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
30,Chidobe Awuzie,CIN,0,0,0,0,2,0.0,7,2,5,0,0,0,0,0,0
31,Mike Hilton,CIN,0,0,0,0,0,0.0,6,5,1,2,0,0,0,0,0
32,Germaine Pratt,CIN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
33,Eli Apple,CIN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
34,Jessie Bates III,CIN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
35,B.J. Hill,CIN,0,0,0,0,0,0.0,4,4,0,0,1,0,0,0,0
36,Sam Hubbard,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,1
37,Samaje Perine,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
38,Tre Flowers,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
39,Clay Johnston,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
40,Stanley Morgan Jr.,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Noah Spence,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
42,Michael Thomas,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
43,Trae Waynes,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Mitchell Wilcox,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Larry Ogunjobi,CIN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
