,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Travin Howard,LAR,1,19,0,19,2,0.0,5,4,1,0,0,0,0,0,0
1,Aaron Donald,LAR,0,0,0,0,0,1.0,6,5,1,3,2,0,0,0,1
2,Greg Gaines,LAR,0,0,0,0,0,1.0,2,2,0,2,1,0,0,0,0
3,Von Miller,LAR,0,0,0,0,0,1.0,2,2,0,0,0,0,0,0,1
4,Jalen Ramsey,LAR,0,0,0,0,1,0.0,7,6,1,0,0,0,0,0,0
5,Taylor Rapp,LAR,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
6,Troy Reeder,LAR,0,0,0,0,1,0.0,6,6,0,1,0,0,0,0,0
7,Jordan Fuller,LAR,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
8,Leonard Floyd,LAR,0,0,0,0,0,0.0,4,3,1,1,1,0,0,0,0
9,Justin Hollins,LAR,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
10,Darious Williams,LAR,0,0,0,0,1,0.0,4,3,1,1,0,0,0,0,0
11,Nick Scott,LAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
12,Ernest Jones,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
13,A'Shawn Robinson,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
14,Austin Corbett,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
15,Donte Deayon,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
16,Michael Hoecht,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
17,Van Jefferson,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,David Long,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Sony Michel,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
20,Ben Skowronek,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
21,Matthew Stafford,LAR,0,0,0,0,0,0.0,0,0,0,0,0,1,2,0,0
24,Anthony Barr,MIN,2,11,0,8,2,0.0,6,5,1,0,1,0,0,0,0
25,Xavier Woods,MIN,1,15,0,15,1,0.0,8,5,3,0,0,0,0,0,0
26,Mackensie Alexander,MIN,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
27,Harrison Smith,MIN,0,0,0,0,1,0.0,9,7,2,0,1,0,0,0,0
28,Eric Kendricks,MIN,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
29,Cameron Dantzler,MIN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
30,Sheldon Richardson,MIN,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
31,Michael Pierce,MIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
32,Dalvin Tomlinson,MIN,0,0,0,0,1,0.0,3,3,0,0,2,0,0,0,0
33,D.J. Wonnum,MIN,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
34,Camryn Bynum,MIN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
35,Patrick Peterson,MIN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
36,Nick Vigil,MIN,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
37,Armon Watts,MIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
38,Troy Dye,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
39,James Lynch,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
40,K.J. Osborn,MIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
41,Kirk Cousins,MIN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
42,Christian Darrisaw,MIN,0,0,0,0,0,0.0,0,0,0,0,0,1,5,0,0
43,Alexander Mattison,MIN,0,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
