,Player,Tm,DefInt,DefIntYrds,DefIntTD,DefIntLng,DefPD,DefSk,DefCombo,DefSolo,DefAst,DefTFL,DefQBHit,DefFR,Defyds,DefTD,DefFF
0,Lorenzo Carter,NYG,0,0,0,0,1,1.0,3,2,1,0,1,0,0,0,1
1,Julian Love,NYG,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,0
2,Xavier McKinney,NYG,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
3,Logan Ryan,NYG,0,0,0,0,2,0.0,6,5,1,0,0,0,0,0,0
4,Jarren Williams,NYG,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
5,Tae Crowder,NYG,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
6,Leonard Williams,NYG,0,0,0,0,1,0.0,4,2,2,0,1,0,0,0,0
7,Azeez Ojulari,NYG,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
8,Jaylon Smith,NYG,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
9,James Bradberry,NYG,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
10,Cam Brown,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
11,Darqueze Dennard,NYG,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
12,Austin Johnson,NYG,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
13,David Moa,NYG,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
14,Steven Parker,NYG,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
15,Quincy Roche,NYG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
16,Elerson Smith,NYG,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,1
17,Devontae Booker,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
18,Raymond Johnson,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
19,Dexter Lawrence,NYG,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0
20,Benardrick McKinney,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
21,Elijhaa Penny,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
22,Andrew Thomas,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
23,Kadarius Toney,NYG,0,0,0,0,0,0.0,0,0,0,0,0,1,-8,0,0
26,Alex Singleton,PHI,1,29,1,29,1,0.0,12,10,2,0,0,0,0,0,0
27,Rodney McLeod,PHI,1,24,0,24,2,0.0,1,0,1,0,0,0,0,0,0
28,Josh Sweat,PHI,0,0,0,0,1,1.0,4,2,2,0,0,0,0,0,1
29,Milton Williams,PHI,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
30,T.J. Edwards,PHI,0,0,0,0,1,0.0,16,6,10,0,0,0,0,0,0
31,Anthony Harris,PHI,0,0,0,0,1,0.0,5,2,3,1,0,0,0,0,0
32,Derek Barnett,PHI,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
33,Steven Nelson,PHI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
34,Fletcher Cox,PHI,0,0,0,0,0,0.0,3,3,0,2,0,0,0,0,0
35,Marcus Epps,PHI,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
36,Avonte Maddox,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
37,Jared Mayden,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
38,Javon Hargrave,PHI,0,0,0,0,1,0.0,2,2,0,0,1,0,0,0,0
39,Zech McPhearson,PHI,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
40,Josiah Scott,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
41,Darius Slay,PHI,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
42,JJ Arcega-Whiteside,PHI,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
43,Genard Avery,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
44,Andre Chachere,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
45,Tarron Jackson,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
46,Cameron Malveaux,PHI,0,0,0,0,0,0.0,1,0,1,0,2,0,0,0,0
47,Hassan Ridgeway,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
48,Boston Scott,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
49,Jack Stoll,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
50,Dallas Goedert,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
