,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Tim Boyle,DET,24,34,187,1,1,0,0,24,81.4,0,0,0,0,0,0,0,0,0,0,0
1,Jack Fox,DET,1,1,21,0,0,0,0,21,118.7,0,0,0,0,0,0,0,0,0,0,0
2,Jamaal Williams,DET,0,0,0,0,0,0,0,0,,19,77,0,14,0,0,0,0,0,0,0
3,Craig Reynolds,DET,0,0,0,0,0,0,0,0,,11,29,0,5,4,3,22,0,14,0,0
4,Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,2,19,0,12,11,9,91,1,24,0,0
5,Kalif Raymond,DET,0,0,0,0,0,0,0,0,,1,5,0,5,5,3,12,0,6,0,0
6,Josh Reynolds,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,36,0,23,0,0
7,KhaDarel Hodge,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0
8,Tom Kennedy,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,8,0,0
9,Jason Cabinda,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,4,0,0
10,Brock Wright,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,4,0,5,0,0
13,Matt Ryan,ATL,18,24,215,1,0,3,8,35,115.8,4,5,0,3,0,0,0,0,0,0,0
14,Mike Davis,ATL,0,0,0,0,0,0,0,0,,7,28,0,9,1,1,7,0,7,0,0
15,Cordarrelle Patterson,ATL,0,0,0,0,0,0,0,0,,7,14,1,6,2,1,-1,0,-1,0,0
16,Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,102,0,35,0,0
17,Russell Gage,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,39,0,15,1,1
18,Olamide Zaccheaus,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,32,0,17,0,0
19,Hayden Hurst,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,1,12,0,0
20,Marvin Hall,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
21,Christian Blake,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
