,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Tom Brady,TAM,18,30,232,1,0,0,0,62,95.4,1,11,0,11,0,0,0,0,0,0,0
1,Blaine Gabbert,TAM,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
2,Ke'Shawn Vaughn,TAM,0,0,0,0,0,0,0,0,,7,70,1,55,1,0,0,0,0,0,0
3,Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,20,65,1,16,3,2,16,0,13,0,0
4,Cyril Grayson,TAM,0,0,0,0,0,0,0,0,,1,14,0,14,3,3,81,0,62,0,0
5,Antonio Brown,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,15,10,101,0,22,0,0
6,Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,23,0,23,0,0
7,Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,11,1,7,0,0
8,Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
9,Le'Veon Bell,TAM,0,0,0,0,0,0,0,0,,2,-1,0,0,0,0,0,0,0,0,0
12,Sam Darnold,CAR,15,32,190,0,0,4,21,63,65.9,1,11,0,11,0,0,0,0,0,1,0
13,Cam Newton,CAR,7,13,61,0,1,3,24,15,34.5,5,42,0,33,0,0,0,0,0,0,0
14,Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,6,9,0,4,1,0,0,0,0,0,0
15,Reggie Bonnafon,CAR,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,12,0,6,0,0
16,Ameer Abdullah,CAR,0,0,0,0,0,0,0,0,,2,1,0,3,6,3,8,0,6,0,0
17,Shi Smith,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,86,0,63,0,0
18,Robby Anderson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,58,0,18,0,0
19,D.J. Moore,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,12,5,55,0,19,0,0
20,Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,14,0,0
21,Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
22,Ian Thomas,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
23,Alex Erickson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
24,Giovanni Ricci,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
25,Stephen Sullivan,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
