,Player,Tm,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassSk,PassYds/Cmp,PassLng,PassRate,R_Att,R_Yds,R_TD,R_Lng,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_Lng,Re_Fmb,Re_Fl
0,Josh Johnson,BAL,28,40,304,2,1,1,9,28,98.3,5,10,0,7,0,0,0,0,0,2,0
1,Devonta Freeman,BAL,0,0,0,0,0,0,0,0,,6,17,1,8,2,2,3,0,4,0,0
2,Latavius Murray,BAL,0,0,0,0,0,0,0,0,,5,12,0,6,1,1,12,0,12,0,0
3,Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,125,1,28,0,0
4,James Proche,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,76,0,17,0,0
5,Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,44,0,15,0,0
6,Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,26,1,11,0,0
7,Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,18,0,18,0,0
10,Joe Burrow,CIN,37,46,525,4,0,3,27,68,143.2,2,11,0,12,0,0,0,0,0,0,0
11,Joe Mixon,CIN,0,0,0,0,0,0,0,0,,18,65,1,19,6,6,70,1,52,0,0
12,Chris Evans,CIN,0,0,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,0
13,Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,194,2,52,0,0
14,Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,125,0,22,0,0
15,Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,85,1,68,0,0
16,C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,36,0,16,0,0
17,Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,5,0,0
18,Samaje Perine,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,3,0,0
