,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Terry McLaurin,WAS,6,3,40,0,2,30,10.0,10,3.3,19.0,0,,0,0.0,1,31.9
1,Dyami Brown,WAS,2,2,53,0,1,49,24.5,4,2.0,24.5,0,,0,0.0,0,118.7
2,Adam Humphries,WAS,6,2,4,0,1,2,1.0,2,1.0,4.8,0,,0,0.0,0,42.4
3,Antonio Gibson,WAS,4,2,29,1,2,3,1.5,26,13.0,2.5,0,,2,50.0,0,113.5
4,John Bates,WAS,3,2,45,1,2,13,6.5,32,16.0,4.3,2,1.0,0,0.0,0,149.3
5,DeAndre Carter,WAS,2,1,5,0,0,5,5.0,0,0.0,5.0,0,,0,0.0,0,56.2
6,Dax Milne,WAS,1,1,14,0,1,4,4.0,10,10.0,4.0,0,,0,0.0,0,118.7
7,Ricky Seals-Jones,WAS,1,1,-4,0,,-4,-4.0,0,0.0,-4.0,0,,0,0.0,0,79.2
8,Jonathan Williams,WAS,2,1,2,0,0,-5,-5.0,7,7.0,-4.0,0,,0,0.0,1,16.7
9,Cam Sims,WAS,3,0,0,0,,0,,0,,10.3,0,,0,0.0,0,39.6
11,Dalton Schultz,DAL,9,8,82,1,5,48,6.0,34,4.3,7.8,0,,0,0.0,0,141.7
12,Amari Cooper,DAL,11,7,85,1,4,74,10.6,11,1.6,15.1,1,7.0,2,18.2,0,117.6
13,CeeDee Lamb,DAL,5,4,66,0,3,58,14.5,8,2.0,11.2,0,,0,0.0,0,118.7
14,Malik Turner,DAL,3,3,82,1,3,14,4.7,68,22.7,4.7,2,1.5,0,0.0,0,158.3
15,Michael Gallup,DAL,5,2,53,0,2,38,19.0,15,7.5,18.0,0,,0,0.0,0,79.6
16,Tony Pollard,DAL,3,2,16,0,1,2,1.0,14,7.0,2.0,0,,0,0.0,0,79.9
17,Cedrick Wilson Jr.,DAL,3,2,10,0,,6,3.0,4,2.0,11.0,0,,0,0.0,0,71.5
18,Ezekiel Elliott,DAL,1,1,5,1,1,2,2.0,3,3.0,2.0,0,,0,0.0,0,127.1
19,Terence Steele,DAL,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
