,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Ronald Jones II,TAM,20,65,4,38,1.9,27,1.4,0,
1,Ke'Shawn Vaughn,TAM,7,70,2,10,1.4,60,8.6,2,3.5
2,Le'Veon Bell,TAM,2,-1,,-1,-0.5,0,0.0,0,
3,Tom Brady,TAM,1,11,1,11,11.0,0,0.0,0,
4,Cyril Grayson,TAM,1,14,1,14,14.0,0,0.0,0,
6,Chuba Hubbard,CAR,6,9,2,3,0.5,6,1.0,0,
7,Cam Newton,CAR,5,42,1,42,8.4,0,0.0,0,
8,Ameer Abdullah,CAR,2,1,,1,0.5,0,0.0,0,
9,Reggie Bonnafon,CAR,1,4,0,4,4.0,0,0.0,0,
10,Sam Darnold,CAR,1,11,1,11,11.0,0,0.0,0,
