,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Jaret Patterson,WAS,9,33,1,28,3.1,5,0.6,1,9.0
1,Antonio Gibson,WAS,6,29,1,25,4.2,4,0.7,0,
2,Jonathan Williams,WAS,3,9,1,4,1.3,5,1.7,1,3.0
3,DeAndre Carter,WAS,1,15,1,15,15.0,0,0.0,0,
4,Taylor Heinicke,WAS,1,-1,0,-1,-1.0,0,0.0,0,
6,Ezekiel Elliott,DAL,9,37,3,30,3.3,7,0.8,2,4.5
7,Tony Pollard,DAL,8,34,1,29,3.6,5,0.6,0,
8,Corey Clement,DAL,4,18,1,10,2.5,8,2.0,1,4.0
9,Dak Prescott,DAL,4,21,2,20,5.0,1,0.3,0,
10,Cooper Rush,DAL,2,0,0,0,0.0,0,0.0,0,
11,CeeDee Lamb,DAL,1,-2,0,-2,-2.0,0,0.0,0,
