,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Connor Williams,G,DAL,73,100%,0,0%,1,3%
1,Tyler Biadasz,C,DAL,66,90%,0,0%,8,24%
2,La'el Collins,T,DAL,66,90%,0,0%,0,0%
3,Zack Martin,G,DAL,61,84%,0,0%,7,21%
4,Dak Prescott,QB,DAL,61,84%,0,0%,0,0%
5,Terence Steele,T,DAL,55,75%,0,0%,8,24%
6,Dalton Schultz,TE,DAL,55,75%,0,0%,6,18%
7,CeeDee Lamb,WR,DAL,54,74%,0,0%,6,18%
8,Amari Cooper,WR,DAL,52,71%,0,0%,0,0%
9,Michael Gallup,WR,DAL,48,66%,0,0%,0,0%
10,Ezekiel Elliott,RB,DAL,42,58%,0,0%,0,0%
11,Ty Nsekhe,T,DAL,26,36%,0,0%,8,24%
12,Cedrick Wilson Jr.,WR,DAL,26,36%,0,0%,2,6%
13,Tony Pollard,RB,DAL,25,34%,0,0%,0,0%
14,Connor McGovern,G,DAL,20,27%,0,0%,8,24%
15,Jeremy Sprinkle,TE,DAL,17,23%,0,0%,21,64%
16,Sean McKeon,TE,DAL,17,23%,0,0%,10,30%
17,Malik Turner,WR,DAL,13,18%,0,0%,21,64%
18,Cooper Rush,QB,DAL,12,16%,0,0%,0,0%
19,Corey Clement,RB,DAL,7,10%,0,0%,23,70%
20,Matt Farniok,G,DAL,7,10%,0,0%,8,24%
21,Kelvin Joseph,CB,DAL,0,0%,57,95%,0,0%
22,Damontae Kazee,SS,DAL,0,0%,50,83%,6,18%
23,Jayron Kearse,FS,DAL,0,0%,48,80%,0,0%
24,Trevon Diggs,CB,DAL,0,0%,48,80%,0,0%
25,Anthony Brown,CB,DAL,0,0%,48,80%,0,0%
26,Leighton Vander Esch,LB,DAL,0,0%,41,68%,5,15%
27,Keanu Neal,LB,DAL,0,0%,40,67%,11,33%
28,Dorance Armstrong Jr.,DE,DAL,0,0%,33,55%,4,12%
29,Micah Parsons,LB,DAL,0,0%,33,55%,0,0%
30,Osa Odighizuwa,DT,DAL,0,0%,29,48%,2,6%
