,Player,Position,Tm,OffNum,Off%,DefNum,Def%,STNum,ST%
0,Landon Dickerson,G,PHI,63,100%,0,0%,7,23%
1,Jordan Mailata,T,PHI,63,100%,0,0%,7,23%
2,Nate Herbig,G,PHI,56,89%,0,0%,7,23%
3,Jason Kelce,C,PHI,56,89%,0,0%,0,0%
4,Lane Johnson,T,PHI,56,89%,0,0%,0,0%
5,Jalen Hurts,QB,PHI,56,89%,0,0%,0,0%
6,DeVonta Smith,WR,PHI,54,86%,0,0%,1,3%
7,Dallas Goedert,TE,PHI,53,84%,0,0%,1,3%
8,Quez Watkins,WR,PHI,51,81%,0,0%,1,3%
9,Jalen Reagor,WR,PHI,32,51%,0,0%,8,26%
10,Jack Stoll,TE,PHI,26,41%,0,0%,14,45%
11,Jordan Howard,RB,PHI,22,35%,0,0%,0,0%
12,Boston Scott,RB,PHI,20,32%,0,0%,13,42%
13,Miles Sanders,RB,PHI,19,30%,0,0%,0,0%
14,Tyree Jackson,TE,PHI,14,22%,0,0%,15,48%
15,JJ Arcega-Whiteside,WR,PHI,13,21%,0,0%,19,61%
16,Brett Toth,T,PHI,8,13%,0,0%,7,23%
17,Greg Ward,WR,PHI,8,13%,0,0%,3,10%
18,Sua Opeta,G,PHI,7,11%,0,0%,7,23%
19,Jack Anderson,G,PHI,7,11%,0,0%,0,0%
20,Gardner Minshew II,QB,PHI,7,11%,0,0%,0,0%
21,Kenneth Gainwell,RB,PHI,2,3%,0,0%,8,26%
22,T.J. Edwards,LB,PHI,0,0%,72,95%,9,29%
23,Alex Singleton,LB,PHI,0,0%,65,86%,10,32%
24,Darius Slay,CB,PHI,0,0%,51,67%,0,0%
25,Steven Nelson,CB,PHI,0,0%,49,64%,0,0%
26,Marcus Epps,SS,PHI,0,0%,47,62%,21,68%
27,Avonte Maddox,CB,PHI,0,0%,46,61%,3,10%
28,Anthony Harris,FS,PHI,0,0%,46,61%,0,0%
29,Milton Williams,DT,PHI,0,0%,42,55%,3,10%
30,Javon Hargrave,DT,PHI,0,0%,40,53%,1,3%
31,Fletcher Cox,DT,PHI,0,0%,40,53%,1,3%
32,Derek Barnett,DE,PHI,0,0%,39,51%,2,6%
33,Rodney McLeod,FS,PHI,0,0%,38,50%,3,10%
34,Hassan Ridgeway,DT,PHI,0,0%,36,47%,10,32%
35,Tarron Jackson,DE,PHI,0,0%,36,47%,8,26%
36,Cameron Malveaux,DE,PHI,0,0%,34,45%,3,10%
37,Josh Sweat,DE,PHI,0,0%,32,42%,1,3%
38,Zech McPhearson,CB,PHI,0,0%,27,36%,23,74%
