,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,AJ Terrell,ATL,1,7,4,57.1%,37,9.3,5.3,0,32.1,15.9,32,5,0,0,0,1.0,1,7,0,0.0%
1,Darren Hall,ATL,0,4,2,50.0%,21,10.5,5.3,0,65.6,9.0,15,6,3,0,0,0.0,0,1,0,0.0%
2,Deion Jones,ATL,0,5,2,40.0%,28,14.0,5.6,0,58.7,7.4,15,13,2,0,0,0.0,0,8,1,11.1%
3,Shawn Williams,ATL,0,1,1,100.0%,15,15.0,15.0,0,118.7,7.0,7,8,0,0,0,0.0,0,9,3,25.0%
4,Mykal Walker,ATL,0,1,1,100.0%,13,13.0,13.0,0,118.7,13.0,13,0,2,0,0,0.0,0,2,0,0.0%
5,Duron Harmon,ATL,1,3,1,33.3%,15,15.0,5.0,0,11.1,5.3,6,9,0,0,0,0.0,0,5,0,0.0%
6,Kendall Sheffield,ATL,0,2,1,50.0%,10,10.0,5.0,0,64.6,6.5,10,0,0,0,0,0.0,0,4,0,0.0%
7,Foyesade Oluokun,ATL,1,2,1,50.0%,9,9.0,4.5,0,22.9,6.0,5,4,0,0,0,0.0,0,13,1,7.1%
8,Dante Fowler,ATL,0,0,0,,,,,,,,,,1,3,1,0.0,4,3,2,40.0%
9,Nick Thurman,ATL,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
10,Mike Pennel,ATL,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,1,33.3%
11,Steven Means,ATL,0,0,0,,,,,,,,,,0,1,0,0.0,1,5,0,0.0%
12,Adetokunbo Ogundeji,ATL,0,1,0,0.0%,,,0.0,,39.6,1.0,,,0,1,0,0.0,1,0,2,100.0%
13,John Cominsky,ATL,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
14,Grady Jarrett,ATL,0,0,0,,,,,,,,,,0,0,0,0.0,0,5,1,16.7%
16,Taron Johnson,BUF,0,4,3,75.0%,37,12.3,9.3,0,103.1,2.5,-6,43,1,0,0,1.0,1,4,1,20.0%
17,Dane Jackson,BUF,0,4,3,75.0%,87,29.0,21.8,0,116.7,17.0,44,43,0,0,0,0.0,0,5,1,16.7%
18,Tremaine Edmunds,BUF,0,5,3,60.0%,42,14.0,8.4,0,87.1,2.6,13,29,3,0,0,0.0,0,6,0,0.0%
19,Levi Wallace,BUF,0,5,3,60.0%,31,10.3,6.2,0,77.9,10.2,2,29,0,0,0,0.0,0,5,0,0.0%
20,Micah Hyde,BUF,0,2,1,50.0%,0,0.0,0.0,0,56.2,18.0,0,0,0,0,0,0.0,0,6,1,14.3%
21,Harrison Phillips,BUF,0,0,0,,,,,,,,,,0,0,2,1.0,3,4,0,0.0%
22,Ed Oliver,BUF,0,0,0,,,,,,,,,,0,1,0,1.0,2,4,0,0.0%
23,Gregory Rousseau,BUF,0,0,0,,,,,,,,,,0,1,0,1.0,2,3,0,0.0%
24,Mario Addison,BUF,0,0,0,,,,,,,,,,0,1,0,1.0,2,1,0,0.0%
25,Efe Obada,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
26,Jerry Hughes,BUF,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
27,Matt Milano,BUF,0,1,0,0.0%,,,0.0,,39.6,12.0,,,2,0,0,0.0,0,5,0,0.0%
28,Jordan Poyer,BUF,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%
