,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Julian Love,NYG,0,5,4,80.0%,34,8.5,6.8,0,95.0,3.8,14,20,0,0,0,0.0,0,2,1,33.3%
1,Aaron Robinson,NYG,0,6,3,50.0%,24,8.0,4.0,1,100.0,8.3,14,10,2,0,0,0.0,0,2,0,0.0%
2,James Bradberry,NYG,1,5,2,40.0%,33,16.5,6.6,0,23.3,10.6,23,10,0,0,0,0.0,0,1,0,0.0%
3,Logan Ryan,NYG,0,3,2,66.7%,30,15.0,10.0,0,99.3,6.7,17,13,3,0,0,0.0,0,5,0,0.0%
4,Xavier McKinney,NYG,0,3,2,66.7%,11,5.5,3.7,0,72.9,13.0,-4,15,0,0,0,0.0,0,6,1,14.3%
5,Adoree' Jackson,NYG,0,3,2,66.7%,21,10.5,7.0,0,86.8,4.0,14,7,0,0,0,0.0,0,4,0,0.0%
6,Jaylon Smith,NYG,0,2,1,50.0%,6,6.0,3.0,0,56.2,2.5,3,3,2,0,0,1.0,1,7,0,0.0%
7,Jarren Williams,NYG,0,4,1,25.0%,8,8.0,2.0,0,39.6,15.8,7,1,0,0,0,0.0,0,1,0,0.0%
8,Tae Crowder,NYG,1,2,1,50.0%,6,6.0,3.0,0,16.7,3.5,-2,8,2,0,0,0.0,0,6,0,0.0%
9,Leonard Williams,NYG,0,0,0,,,,,,,,,,0,1,1,0.0,2,8,0,0.0%
10,Austin Johnson,NYG,0,0,0,,,,,,,,,,0,1,1,0.0,2,5,0,0.0%
11,Lorenzo Carter,NYG,0,0,0,,,,,,,,,,3,1,0,1.0,2,6,0,0.0%
12,Elerson Smith,NYG,0,0,0,,,,,,,,,,1,0,1,0.0,1,3,0,0.0%
13,David Moa,NYG,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
14,Azeez Ojulari,NYG,0,0,0,,,,,,,,,,1,1,0,0.0,1,1,0,0.0%
15,Quincy Roche,NYG,0,0,0,,,,,,,,,,4,0,0,0.0,0,3,0,0.0%
17,Alec Ogletree,CHI,0,1,1,100.0%,12,12.0,12.0,0,116.7,-1.0,-1,13,1,0,0,0.0,0,8,0,0.0%
18,Roquan Smith,CHI,0,3,1,33.3%,-4,-4.0,-1.3,0,42.4,0.0,-4,0,2,0,0,0.0,0,9,0,0.0%
19,Eddie Jackson,CHI,0,2,1,50.0%,12,12.0,6.0,0,68.7,8.0,12,0,1,0,0,0.0,0,8,2,20.0%
20,Robert Quinn,CHI,0,0,0,,,,,,,,,,1,1,1,1.0,3,1,0,0.0%
21,Trevis Gipson,CHI,0,0,0,,,,,,,,,,1,0,0,2.0,2,3,0,0.0%
22,Bilal Nichols,CHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
23,Angelo Blackson,CHI,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%
24,Artie Burns,CHI,0,2,0,0.0%,,,0.0,,39.6,8.5,,,0,0,0,0.0,0,2,0,0.0%
25,Deon Bush,CHI,1,2,0,0.0%,,,0.0,,0.0,11.0,,,0,0,0,0.0,0,3,0,0.0%
26,Sam Kamara,CHI,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%
27,Bruce Irvin,CHI,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,
28,Akiem Hicks,CHI,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
