,Player,Tm,DefInt,DefTgt,DefCmp,DefCmp%,DefAllowYds,DefYds/Cmp,DefYds/Tgt,DefAllowTD,DefAllowPassRating,DefDADOT,DefAir,DefAllowYAC,DefBlitz,DefQBHrry,DefQBKD,DefSk,DefPrss,DefCombo,DefMTKI,DefMTKI%
0,Byron Murphy,ARI,0,10,8,80.0%,74,9.3,7.4,1,130.8,6.3,49,25,3,1,0,0.0,1,7,0,0.0%
1,Isaiah Simmons,ARI,0,9,7,77.8%,72,10.3,8.0,0,100.0,3.9,17,55,5,0,0,0.0,0,10,3,23.1%
2,Kevin Peterson,ARI,0,7,5,71.4%,46,9.2,6.6,2,128.6,7.7,36,10,0,0,0,0.0,0,7,0,0.0%
3,Budda Baker,ARI,0,2,1,50.0%,7,7.0,3.5,0,58.3,1.5,7,0,6,0,0,1.0,1,3,0,0.0%
4,Victor Dimukeje,ARI,0,1,1,100.0%,7,7.0,7.0,0,95.8,5.0,5,2,2,0,1,0.0,1,1,1,50.0%
5,Dennis Gardeck,ARI,0,1,1,100.0%,31,31.0,31.0,0,118.7,15.0,15,16,4,0,1,0.0,1,3,0,0.0%
6,Tanner Vallejo,ARI,0,2,1,50.0%,11,11.0,5.5,0,66.7,-1.0,-2,13,0,0,0,0.0,0,1,1,50.0%
7,Jordan Hicks,ARI,0,3,1,33.3%,9,9.0,3.0,0,42.4,1.7,5,4,6,0,0,0.0,0,1,0,0.0%
8,Chandler Jones,ARI,0,0,0,,,,,,,,,,6,2,1,0.0,3,3,0,0.0%
9,Zach Allen,ARI,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%
10,Jalen Thompson,ARI,0,1,0,0.0%,,,0.0,,39.6,2.0,,,1,0,1,0.0,1,6,0,0.0%
11,Antonio Hamilton,ARI,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,0.0,0,0,0,
12,Zaven Collins,ARI,0,1,0,0.0%,,,0.0,,39.6,-1.0,,,5,0,0,0.0,0,2,0,0.0%
14,Jourdan Lewis,DAL,0,6,6,100.0%,83,13.8,13.8,0,118.7,10.5,63,20,0,0,0,0.0,0,5,0,0.0%
15,Anthony Brown,DAL,0,9,4,44.4%,50,12.5,5.6,1,99.3,14.7,41,9,0,0,0,0.0,0,2,0,0.0%
16,Leighton Vander Esch,DAL,0,3,3,100.0%,8,2.7,2.7,1,118.7,2.7,8,0,1,0,0,0.0,0,10,0,0.0%
17,Micah Parsons,DAL,0,3,2,66.7%,-2,-1.0,-0.7,0,70.1,-3.0,-6,4,16,1,1,0.0,2,5,1,16.7%
18,Malik Hooker,DAL,0,2,2,100.0%,19,9.5,9.5,0,106.2,0.5,1,18,1,0,0,0.0,0,3,0,0.0%
19,Kelvin Joseph,DAL,0,2,2,100.0%,23,11.5,11.5,0,114.6,3.0,6,17,0,0,0,0.0,0,2,0,0.0%
20,Trevon Diggs,DAL,0,4,2,50.0%,54,27.0,13.5,0,95.8,19.8,47,7,0,0,0,0.0,0,3,0,0.0%
21,Jayron Kearse,DAL,0,3,2,66.7%,7,3.5,2.3,0,70.1,4.3,5,2,1,0,0,0.0,0,6,0,0.0%
22,Donovan Wilson,DAL,0,3,2,66.7%,14,7.0,4.7,0,77.1,6.0,1,13,2,0,0,0.0,0,5,1,16.7%
23,DeMarcus Lawrence,DAL,0,1,1,100.0%,3,3.0,3.0,0,79.2,-6.0,-6,9,0,2,0,0.0,2,1,0,0.0%
24,Nahshon Wright,DAL,0,1,1,100.0%,23,23.0,23.0,0,118.7,19.0,19,4,0,0,0,0.0,0,1,0,0.0%
25,Tarell Basham,DAL,0,1,1,100.0%,7,7.0,7.0,0,95.8,-5.0,-5,12,2,0,0,0.0,0,4,0,0.0%
26,Dorance Armstrong Jr.,DAL,0,0,0,,,,,,,,,,1,0,1,1.0,2,5,0,0.0%
27,Randy Gregory,DAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,5,1,16.7%
28,Damontae Kazee,DAL,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%
